block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,tinydl_revision,n256,B0,2026-09-09T13:07:52Z,2026-09-09T13:07:56Z,0x0,0x0,30.558,30.558,40,40,1,
1,tinydl_revision,n16,B1,2026-09-09T13:07:56Z,2026-09-09T13:08:01Z,0x0,0x0,31.096,31.634,40,40,1,
2,fisvdd_revision,n64,B2,2026-09-09T13:08:01Z,2026-09-09T13:08:06Z,0x0,0x0,31.096,32.710,40,40,1,
3,oi_svdd_as_elm_revision,n1024,B0,2026-09-09T13:08:06Z,2026-09-09T13:08:11Z,0x0,0x0,32.172,32.172,40,40,1,
4,lucid_revision,n1,B1,2026-09-09T13:08:11Z,2026-09-09T13:08:16Z,0x0,0x0,32.172,32.172,40,40,1,
5,tinydl_revision,n16,B2,2026-09-09T13:08:16Z,2026-09-09T13:08:20Z,0x0,0x0,32.172,32.172,40,40,1,
6,oi_svdd_as_elm_revision,n512,B1,2026-09-09T13:08:20Z,2026-09-09T13:08:25Z,0x0,0x0,33.248,33.248,40,40,1,
7,tinydl_revision,n1024,B2,2026-09-09T13:08:25Z,2026-09-09T13:08:30Z,0x0,0x0,33.248,34.324,40,40,1,
8,tinydl_revision,n1,B1,2026-09-09T13:08:30Z,2026-09-09T13:08:35Z,0x0,0x0,34.324,33.786,40,40,1,
9,fisvdd_revision,n256,B1,2026-09-09T13:08:35Z,2026-09-09T13:08:40Z,0x0,0x0,33.248,33.248,40,40,1,
10,fisvdd_revision,n64,B0,2026-09-09T13:08:40Z,2026-09-09T13:08:44Z,0x0,0x0,33.248,31.634,40,40,1,
11,lucid_revision,n256,B2,2026-09-09T13:08:44Z,2026-09-09T13:08:52Z,0x0,0x0,32.172,34.862,40,40,1,
12,oi_svdd_as_elm_revision,n64,B1,2026-09-09T13:08:52Z,2026-09-09T13:08:57Z,0x0,0x0,35.400,34.324,40,40,1,
13,lucid_revision,n256,B0,2026-09-09T13:08:57Z,2026-09-09T13:09:05Z,0x0,0x0,33.786,34.324,40,40,1,
14,tinydl_revision,n256,B1,2026-09-09T13:09:05Z,2026-09-09T13:09:10Z,0x0,0x0,34.324,33.786,40,40,1,
15,tinydl_revision,n64,B2,2026-09-09T13:09:10Z,2026-09-09T13:09:15Z,0x0,0x0,33.786,33.786,40,40,1,
16,lucid_revision,n16,B0,2026-09-09T13:09:15Z,2026-09-09T13:09:19Z,0x0,0x0,34.324,32.710,40,40,1,
17,lucid_revision,n512,B2,2026-09-09T13:09:19Z,2026-09-09T13:09:34Z,0x0,0x0,32.172,36.476,40,40,1,
18,oi_svdd_as_elm_revision,n256,B0,2026-09-09T13:09:34Z,2026-09-09T13:09:39Z,0x0,0x0,36.476,34.324,40,40,1,
19,fisvdd_revision,n1,B0,2026-09-09T13:09:39Z,2026-09-09T13:09:44Z,0x0,0x0,33.248,32.710,40,40,1,
20,fisvdd_revision,n1024,B2,2026-09-09T13:09:44Z,2026-09-09T13:09:48Z,0x0,0x0,33.248,35.400,40,40,1,
21,tinydl_revision,n512,B1,2026-09-09T13:09:48Z,2026-09-09T13:09:53Z,0x0,0x0,35.400,35.400,40,40,1,
22,tinydl_revision,n64,B1,2026-09-09T13:09:53Z,2026-09-09T13:09:58Z,0x0,0x0,34.324,33.248,40,40,1,
23,fisvdd_revision,n512,B0,2026-09-09T13:09:58Z,2026-09-09T13:10:03Z,0x0,0x0,33.786,33.248,40,40,1,
24,oi_svdd_as_elm_revision,n256,B2,2026-09-09T13:10:03Z,2026-09-09T13:10:07Z,0x0,0x0,33.786,34.324,40,40,1,
25,oi_svdd_as_elm_revision,n16,B1,2026-09-09T13:10:07Z,2026-09-09T13:10:12Z,0x0,0x0,34.862,33.248,40,40,1,
26,fisvdd_revision,n512,B2,2026-09-09T13:10:12Z,2026-09-09T13:10:17Z,0x0,0x0,33.786,34.324,40,40,1,
27,tinydl_revision,n64,B0,2026-09-09T13:10:17Z,2026-09-09T13:10:22Z,0x0,0x0,34.862,32.710,40,40,1,
28,lucid_revision,n16,B1,2026-09-09T13:10:22Z,2026-09-09T13:10:26Z,0x0,0x0,32.172,33.248,40,40,1,
29,tinydl_revision,n16,B0,2026-09-09T13:10:26Z,2026-09-09T13:10:31Z,0x0,0x0,33.248,32.172,40,40,1,
30,lucid_revision,n64,B2,2026-09-09T13:10:31Z,2026-09-09T13:10:36Z,0x0,0x0,32.172,34.324,40,40,1,
31,fisvdd_revision,n1024,B0,2026-09-09T13:10:36Z,2026-09-09T13:10:41Z,0x0,0x0,34.324,33.248,40,40,1,
32,lucid_revision,n1024,B2,2026-09-09T13:10:41Z,2026-09-09T13:11:10Z,0x0,0x0,33.786,37.552,40,40,1,
33,lucid_revision,n512,B0,2026-09-09T13:11:10Z,2026-09-09T13:11:23Z,0x0,0x0,38.090,35.400,40,40,1,
34,lucid_revision,n64,B0,2026-09-09T13:11:23Z,2026-09-09T13:11:28Z,0x0,0x0,35.400,34.324,40,40,1,
35,lucid_revision,n1024,B1,2026-09-09T13:11:28Z,2026-09-09T13:11:57Z,0x0,0x0,34.324,36.476,40,40,1,
36,lucid_revision,n512,B1,2026-09-09T13:11:57Z,2026-09-09T13:12:11Z,0x0,0x0,36.476,37.014,40,40,1,
37,oi_svdd_as_elm_revision,n16,B2,2026-09-09T13:12:11Z,2026-09-09T13:12:16Z,0x0,0x0,36.476,35.400,40,40,1,
38,oi_svdd_as_elm_revision,n512,B2,2026-09-09T13:12:16Z,2026-09-09T13:12:21Z,0x0,0x0,35.400,35.400,40,40,1,
39,tinydl_revision,n256,B2,2026-09-09T13:12:21Z,2026-09-09T13:12:26Z,0x0,0x0,36.476,35.938,40,40,1,
40,oi_svdd_as_elm_revision,n1,B1,2026-09-09T13:12:26Z,2026-09-09T13:12:31Z,0x0,0x0,35.400,34.324,40,40,1,
41,oi_svdd_as_elm_revision,n64,B2,2026-09-09T13:12:31Z,2026-09-09T13:12:35Z,0x0,0x0,34.324,34.862,40,40,1,
42,oi_svdd_as_elm_revision,n1024,B1,2026-09-09T13:12:35Z,2026-09-09T13:12:40Z,0x0,0x0,35.400,36.476,40,40,1,
43,fisvdd_revision,n1,B2,2026-09-09T13:12:40Z,2026-09-09T13:12:45Z,0x0,0x0,35.938,34.862,40,40,1,
44,tinydl_revision,n1,B0,2026-09-09T13:12:45Z,2026-09-09T13:12:50Z,0x0,0x0,35.400,33.248,40,40,1,
45,tinydl_revision,n1024,B0,2026-09-09T13:12:50Z,2026-09-09T13:12:54Z,0x0,0x0,33.248,33.786,40,40,1,
46,tinydl_revision,n512,B2,2026-09-09T13:12:54Z,2026-09-09T13:12:59Z,0x0,0x0,33.248,35.400,40,40,1,
47,oi_svdd_as_elm_revision,n512,B0,2026-09-09T13:12:59Z,2026-09-09T13:13:04Z,0x0,0x0,35.400,33.786,40,40,1,
