sample,timestamp_utc,temperature_c,throttled,load1
0,2026-09-09T13:07:22Z,30.558,0x0,0.4228515625
1,2026-09-09T13:07:23Z,30.558,0x0,0.4228515625
2,2026-09-09T13:07:24Z,31.096,0x0,0.4228515625
3,2026-09-09T13:07:25Z,30.558,0x0,0.4228515625
4,2026-09-09T13:07:26Z,30.558,0x0,0.4228515625
5,2026-09-09T13:07:27Z,30.558,0x0,0.388671875
6,2026-09-09T13:07:28Z,30.558,0x0,0.388671875
7,2026-09-09T13:07:29Z,30.558,0x0,0.388671875
8,2026-09-09T13:07:30Z,30.02,0x0,0.388671875
9,2026-09-09T13:07:31Z,30.558,0x0,0.388671875
10,2026-09-09T13:07:32Z,30.558,0x0,0.357421875
11,2026-09-09T13:07:33Z,30.02,0x0,0.357421875
12,2026-09-09T13:07:34Z,30.558,0x0,0.357421875
13,2026-09-09T13:07:35Z,30.02,0x0,0.357421875
14,2026-09-09T13:07:36Z,30.02,0x0,0.357421875
15,2026-09-09T13:07:37Z,30.02,0x0,0.32861328125
16,2026-09-09T13:07:38Z,30.558,0x0,0.32861328125
17,2026-09-09T13:07:39Z,30.558,0x0,0.32861328125
18,2026-09-09T13:07:40Z,30.558,0x0,0.32861328125
19,2026-09-09T13:07:41Z,30.02,0x0,0.32861328125
20,2026-09-09T13:07:42Z,30.558,0x0,0.30224609375
21,2026-09-09T13:07:43Z,30.558,0x0,0.30224609375
22,2026-09-09T13:07:44Z,30.02,0x0,0.30224609375
23,2026-09-09T13:07:45Z,30.558,0x0,0.30224609375
24,2026-09-09T13:07:46Z,30.02,0x0,0.30224609375
25,2026-09-09T13:07:47Z,30.558,0x0,0.27783203125
26,2026-09-09T13:07:48Z,30.02,0x0,0.27783203125
27,2026-09-09T13:07:49Z,30.02,0x0,0.27783203125
28,2026-09-09T13:07:50Z,30.558,0x0,0.27783203125
29,2026-09-09T13:07:51Z,30.02,0x0,0.27783203125
