run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,0,0,2026-09-09T13:07:52Z,2022123141603,tinydl_revision,n256,256,B0,0.0,30.558,31.096,1400.000,1400.000,1400.000,1400.000,1.876023,18.001798,0.893220,1.483214,0.200779,23.597940,101.941736,0.000000,0.665547763,0.649367287,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,1,1,2026-09-09T13:07:52Z,2022226099267,tinydl_revision,n256,256,B0,0.0,30.558,30.558,1400.000,1400.000,1400.000,1400.000,1.617484,17.131130,0.871293,1.509932,0.156092,22.316129,101.892778,0.000000,0.685525381,0.651012268,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,2,2,2026-09-09T13:07:53Z,2022329067034,tinydl_revision,n256,256,B0,0.0,31.096,30.558,1400.000,1400.000,1400.000,1400.000,1.642275,16.844310,0.807648,1.460819,0.151249,21.957175,101.857309,0.000000,0.723391826,0.685520764,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,3,3,2026-09-09T13:07:53Z,2022431899177,tinydl_revision,n256,256,B0,0.0,30.558,30.020,1400.000,1400.000,1400.000,1400.000,1.714826,16.740301,0.881501,1.419413,0.146092,21.887593,101.890122,0.000000,0.705336526,0.658394627,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,4,4,2026-09-09T13:07:53Z,2022534774237,tinydl_revision,n256,256,B0,0.0,30.558,30.020,1400.000,1400.000,1400.000,1400.000,1.677119,16.778113,0.818533,1.505766,0.150832,21.914311,101.765748,0.000000,0.654582577,0.639510518,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,5,5,2026-09-09T13:07:53Z,2022637525704,tinydl_revision,n256,256,B0,0.0,31.096,30.558,1400.000,1400.000,1400.000,1400.000,1.611807,16.746811,0.825460,1.411079,0.152342,21.805719,101.842935,0.000000,0.669470189,0.627332443,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,6,6,2026-09-09T13:07:53Z,2022740435868,tinydl_revision,n256,256,B0,0.0,30.558,31.096,1400.000,1400.000,1400.000,1400.000,1.635505,16.735352,0.884834,1.415195,0.147186,21.810770,101.865643,0.000000,0.677675582,0.670046619,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,7,7,2026-09-09T13:07:53Z,2022843288272,tinydl_revision,n256,256,B0,0.0,30.558,30.558,1400.000,1400.000,1400.000,1400.000,1.703212,16.788581,0.815929,1.486078,0.166092,21.953529,102.392043,0.000000,0.666093188,0.634548858,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,8,8,2026-09-09T13:07:53Z,2022946677441,tinydl_revision,n256,256,B0,0.0,30.020,31.096,1400.000,1400.000,1400.000,1400.000,1.676389,16.874414,0.811502,1.520610,0.154113,22.032330,101.929080,0.000000,0.672399980,0.632564047,1
pi3bplus_v2_coverage_20260909T130714Z,pi3bplus,2,1,coverage,true,0,9,9,2026-09-09T13:07:53Z,2023049586719,tinydl_revision,n256,256,B0,0.0,31.096,30.558,1400.000,1400.000,1400.000,1400.000,1.606859,17.140452,0.808481,1.419674,0.150311,22.117330,101.853039,0.000000,0.705115130,0.666181010,1
