split,action,metric,n,rank,value,ecdf
fit,fisvdd_revision,tau_residual_ms,720,1,-7.807287000000002,0.001388888888888889
fit,fisvdd_revision,tau_residual_ms,720,2,-7.754943999999995,0.002777777777777778
fit,fisvdd_revision,tau_residual_ms,720,3,-7.6997360000000015,0.004166666666666667
fit,fisvdd_revision,tau_residual_ms,720,4,-7.668173999999993,0.005555555555555556
fit,fisvdd_revision,tau_residual_ms,720,5,-7.645156,0.006944444444444444
fit,fisvdd_revision,tau_residual_ms,720,6,-7.631509999999992,0.008333333333333333
fit,fisvdd_revision,tau_residual_ms,720,7,-7.61083099999999,0.009722222222222222
fit,fisvdd_revision,tau_residual_ms,720,8,-7.609165000000004,0.011111111111111112
fit,fisvdd_revision,tau_residual_ms,720,9,-7.60629999999999,0.0125
fit,fisvdd_revision,tau_residual_ms,720,10,-7.594323000000003,0.013888888888888888
fit,fisvdd_revision,tau_residual_ms,720,11,-7.582707999999997,0.015277777777777777
fit,fisvdd_revision,tau_residual_ms,720,12,-7.576353999999995,0.016666666666666666
fit,fisvdd_revision,tau_residual_ms,720,13,-7.558590999999993,0.018055555555555554
fit,fisvdd_revision,tau_residual_ms,720,14,-7.546039999999991,0.019444444444444445
fit,fisvdd_revision,tau_residual_ms,720,15,-7.509793000000002,0.020833333333333332
fit,fisvdd_revision,tau_residual_ms,720,16,-7.489010999999991,0.022222222222222223
fit,fisvdd_revision,tau_residual_ms,720,17,-7.486042999999995,0.02361111111111111
fit,fisvdd_revision,tau_residual_ms,720,18,-7.466773000000003,0.025
fit,fisvdd_revision,tau_residual_ms,720,19,-7.466458000000003,0.02638888888888889
fit,fisvdd_revision,tau_residual_ms,720,20,-7.4465119999999985,0.027777777777777776
fit,fisvdd_revision,tau_residual_ms,720,21,-7.443750999999992,0.029166666666666667
fit,fisvdd_revision,tau_residual_ms,720,22,-7.440833999999995,0.030555555555555555
fit,fisvdd_revision,tau_residual_ms,720,23,-7.438696999999991,0.03194444444444444
fit,fisvdd_revision,tau_residual_ms,720,24,-7.413960000000003,0.03333333333333333
fit,fisvdd_revision,tau_residual_ms,720,25,-7.411092999999994,0.034722222222222224
fit,fisvdd_revision,tau_residual_ms,720,26,-7.316096000000002,0.03611111111111111
fit,fisvdd_revision,tau_residual_ms,720,27,-7.314223999999996,0.0375
fit,fisvdd_revision,tau_residual_ms,720,28,-7.311616999999998,0.03888888888888889
fit,fisvdd_revision,tau_residual_ms,720,29,-7.284379999999999,0.04027777777777778
fit,fisvdd_revision,tau_residual_ms,720,30,-7.264014000000003,0.041666666666666664
fit,fisvdd_revision,tau_residual_ms,720,31,-7.101045999999997,0.043055555555555555
fit,fisvdd_revision,tau_residual_ms,720,32,-6.411733999999996,0.044444444444444446
fit,fisvdd_revision,tau_residual_ms,720,33,-6.313974999999999,0.04583333333333333
fit,fisvdd_revision,tau_residual_ms,720,34,-6.26679,0.04722222222222222
fit,fisvdd_revision,tau_residual_ms,720,35,-5.829447999999999,0.04861111111111111
fit,fisvdd_revision,tau_residual_ms,720,36,-5.703825999999992,0.05
fit,fisvdd_revision,tau_residual_ms,720,37,-5.464663000000002,0.05138888888888889
fit,fisvdd_revision,tau_residual_ms,720,38,-5.352947999999998,0.05277777777777778
fit,fisvdd_revision,tau_residual_ms,720,39,-4.7551950000000005,0.05416666666666667
fit,fisvdd_revision,tau_residual_ms,720,40,-4.665555999999995,0.05555555555555555
fit,fisvdd_revision,tau_residual_ms,720,41,-4.657845999999992,0.05694444444444444
fit,fisvdd_revision,tau_residual_ms,720,42,-4.650604999999999,0.058333333333333334
fit,fisvdd_revision,tau_residual_ms,720,43,-4.62133399999999,0.059722222222222225
fit,fisvdd_revision,tau_residual_ms,720,44,-4.619878999999997,0.06111111111111111
fit,fisvdd_revision,tau_residual_ms,720,45,-4.600499999999997,0.0625
fit,fisvdd_revision,tau_residual_ms,720,46,-4.590507000000002,0.06388888888888888
fit,fisvdd_revision,tau_residual_ms,720,47,-4.5583680000000015,0.06527777777777778
fit,fisvdd_revision,tau_residual_ms,720,48,-4.553107999999995,0.06666666666666667
fit,fisvdd_revision,tau_residual_ms,720,49,-4.546025,0.06805555555555555
fit,fisvdd_revision,tau_residual_ms,720,50,-4.534516999999994,0.06944444444444445
fit,fisvdd_revision,tau_residual_ms,720,51,-4.527535,0.07083333333333333
fit,fisvdd_revision,tau_residual_ms,720,52,-4.515298999999999,0.07222222222222222
fit,fisvdd_revision,tau_residual_ms,720,53,-4.5048809999999975,0.07361111111111111
fit,fisvdd_revision,tau_residual_ms,720,54,-4.484043999999997,0.075
fit,fisvdd_revision,tau_residual_ms,720,55,-4.476440999999994,0.0763888888888889
fit,fisvdd_revision,tau_residual_ms,720,56,-4.458578000000003,0.07777777777777778
fit,fisvdd_revision,tau_residual_ms,720,57,-4.452067999999997,0.07916666666666666
fit,fisvdd_revision,tau_residual_ms,720,58,-4.381545000000003,0.08055555555555556
fit,fisvdd_revision,tau_residual_ms,720,59,-4.375506999999999,0.08194444444444444
fit,fisvdd_revision,tau_residual_ms,720,60,-4.371178999999998,0.08333333333333333
fit,fisvdd_revision,tau_residual_ms,720,61,-4.365555999999998,0.08472222222222223
fit,fisvdd_revision,tau_residual_ms,720,62,-4.339049000000003,0.08611111111111111
fit,fisvdd_revision,tau_residual_ms,720,63,-4.324466000000001,0.0875
fit,fisvdd_revision,tau_residual_ms,720,64,-4.294877,0.08888888888888889
fit,fisvdd_revision,tau_residual_ms,720,65,-4.2805019999999985,0.09027777777777778
fit,fisvdd_revision,tau_residual_ms,720,66,-4.276911999999996,0.09166666666666666
fit,fisvdd_revision,tau_residual_ms,720,67,-4.253316999999996,0.09305555555555556
fit,fisvdd_revision,tau_residual_ms,720,68,-4.2487879999999905,0.09444444444444444
fit,fisvdd_revision,tau_residual_ms,720,69,-4.248476999999994,0.09583333333333334
fit,fisvdd_revision,tau_residual_ms,720,70,-3.9814930000000004,0.09722222222222222
fit,fisvdd_revision,tau_residual_ms,720,71,-3.9548329999999936,0.09861111111111111
fit,fisvdd_revision,tau_residual_ms,720,72,-3.876131000000001,0.1
fit,fisvdd_revision,tau_residual_ms,720,73,-3.3150369999999967,0.10138888888888889
fit,fisvdd_revision,tau_residual_ms,720,74,-3.302431999999996,0.10277777777777777
fit,fisvdd_revision,tau_residual_ms,720,75,-3.2782139999999984,0.10416666666666667
fit,fisvdd_revision,tau_residual_ms,720,76,-3.268318999999998,0.10555555555555556
fit,fisvdd_revision,tau_residual_ms,720,77,-3.2538399999999967,0.10694444444444444
fit,fisvdd_revision,tau_residual_ms,720,78,-3.253580999999997,0.10833333333333334
fit,fisvdd_revision,tau_residual_ms,720,79,-3.248007000000001,0.10972222222222222
fit,fisvdd_revision,tau_residual_ms,720,80,-3.247171999999999,0.1111111111111111
fit,fisvdd_revision,tau_residual_ms,720,81,-3.2456689999999995,0.1125
fit,fisvdd_revision,tau_residual_ms,720,82,-3.2340540000000004,0.11388888888888889
fit,fisvdd_revision,tau_residual_ms,720,83,-3.230454999999999,0.11527777777777778
fit,fisvdd_revision,tau_residual_ms,720,84,-3.222856,0.11666666666666667
fit,fisvdd_revision,tau_residual_ms,720,85,-3.2188930000000013,0.11805555555555555
fit,fisvdd_revision,tau_residual_ms,720,86,-3.216498999999999,0.11944444444444445
fit,fisvdd_revision,tau_residual_ms,720,87,-3.205196000000001,0.12083333333333333
fit,fisvdd_revision,tau_residual_ms,720,88,-3.2019650000000013,0.12222222222222222
fit,fisvdd_revision,tau_residual_ms,720,89,-3.1991019999999963,0.12361111111111112
fit,fisvdd_revision,tau_residual_ms,720,90,-3.198476999999997,0.125
fit,fisvdd_revision,tau_residual_ms,720,91,-3.196083999999999,0.12638888888888888
fit,fisvdd_revision,tau_residual_ms,720,92,-3.190407999999998,0.12777777777777777
fit,fisvdd_revision,tau_residual_ms,720,93,-3.188839999999999,0.12916666666666668
fit,fisvdd_revision,tau_residual_ms,720,94,-3.1810860000000005,0.13055555555555556
fit,fisvdd_revision,tau_residual_ms,720,95,-3.178789000000002,0.13194444444444445
fit,fisvdd_revision,tau_residual_ms,720,96,-3.1690479999999965,0.13333333333333333
fit,fisvdd_revision,tau_residual_ms,720,97,-3.156714000000001,0.13472222222222222
fit,fisvdd_revision,tau_residual_ms,720,98,-3.1565499999999957,0.1361111111111111
fit,fisvdd_revision,tau_residual_ms,720,99,-3.1554099999999963,0.1375
fit,fisvdd_revision,tau_residual_ms,720,100,-3.1507179999999977,0.1388888888888889
fit,fisvdd_revision,tau_residual_ms,720,101,-3.1471739999999997,0.14027777777777778
fit,fisvdd_revision,tau_residual_ms,720,102,-3.1450919999999982,0.14166666666666666
fit,fisvdd_revision,tau_residual_ms,720,103,-3.136761,0.14305555555555555
fit,fisvdd_revision,tau_residual_ms,720,104,-3.1342659999999967,0.14444444444444443
fit,fisvdd_revision,tau_residual_ms,720,105,-3.131757999999998,0.14583333333333334
fit,fisvdd_revision,tau_residual_ms,720,106,-3.1265,0.14722222222222223
fit,fisvdd_revision,tau_residual_ms,720,107,-3.126292999999997,0.1486111111111111
fit,fisvdd_revision,tau_residual_ms,720,108,-3.1157210000000006,0.15
fit,fisvdd_revision,tau_residual_ms,720,109,-3.1105659999999986,0.15138888888888888
fit,fisvdd_revision,tau_residual_ms,720,110,-3.1035869999999974,0.1527777777777778
fit,fisvdd_revision,tau_residual_ms,720,111,-3.0988940000000014,0.15416666666666667
fit,fisvdd_revision,tau_residual_ms,720,112,-3.098011999999997,0.15555555555555556
fit,fisvdd_revision,tau_residual_ms,720,113,-3.0939520000000016,0.15694444444444444
fit,fisvdd_revision,tau_residual_ms,720,114,-3.0907750000000007,0.15833333333333333
fit,fisvdd_revision,tau_residual_ms,720,115,-3.086548999999998,0.1597222222222222
fit,fisvdd_revision,tau_residual_ms,720,116,-3.0838490000000007,0.16111111111111112
fit,fisvdd_revision,tau_residual_ms,720,117,-3.083269999999999,0.1625
fit,fisvdd_revision,tau_residual_ms,720,118,-3.083115999999997,0.1638888888888889
fit,fisvdd_revision,tau_residual_ms,720,119,-3.0787910000000025,0.16527777777777777
fit,fisvdd_revision,tau_residual_ms,720,120,-3.0786389999999955,0.16666666666666666
fit,fisvdd_revision,tau_residual_ms,720,121,-3.057178999999998,0.16805555555555557
fit,fisvdd_revision,tau_residual_ms,720,122,-3.055982,0.16944444444444445
fit,fisvdd_revision,tau_residual_ms,720,123,-3.0527529999999956,0.17083333333333334
fit,fisvdd_revision,tau_residual_ms,720,124,-3.045097999999996,0.17222222222222222
fit,fisvdd_revision,tau_residual_ms,720,125,-3.035254000000002,0.1736111111111111
fit,fisvdd_revision,tau_residual_ms,720,126,-3.029572999999999,0.175
fit,fisvdd_revision,tau_residual_ms,720,127,-3.0293649999999985,0.1763888888888889
fit,fisvdd_revision,tau_residual_ms,720,128,-3.026972999999998,0.17777777777777778
fit,fisvdd_revision,tau_residual_ms,720,129,-3.0253019999999964,0.17916666666666667
fit,fisvdd_revision,tau_residual_ms,720,130,-3.0210889999999964,0.18055555555555555
fit,fisvdd_revision,tau_residual_ms,720,131,-3.020350999999998,0.18194444444444444
fit,fisvdd_revision,tau_residual_ms,720,132,-3.018429999999995,0.18333333333333332
fit,fisvdd_revision,tau_residual_ms,720,133,-3.0149389999999983,0.18472222222222223
fit,fisvdd_revision,tau_residual_ms,720,134,-3.009366,0.18611111111111112
fit,fisvdd_revision,tau_residual_ms,720,135,-2.994728000000002,0.1875
fit,fisvdd_revision,tau_residual_ms,720,136,-2.9902990000000003,0.18888888888888888
fit,fisvdd_revision,tau_residual_ms,720,137,-2.988790999999999,0.19027777777777777
fit,fisvdd_revision,tau_residual_ms,720,138,-2.968427999999996,0.19166666666666668
fit,fisvdd_revision,tau_residual_ms,720,139,-2.809207999999998,0.19305555555555556
fit,fisvdd_revision,tau_residual_ms,720,140,-2.777222,0.19444444444444445
fit,fisvdd_revision,tau_residual_ms,720,141,-2.7699820000000006,0.19583333333333333
fit,fisvdd_revision,tau_residual_ms,720,142,-2.764565000000001,0.19722222222222222
fit,fisvdd_revision,tau_residual_ms,720,143,-2.7603980000000004,0.1986111111111111
fit,fisvdd_revision,tau_residual_ms,720,144,-2.75788,0.2
fit,fisvdd_revision,tau_residual_ms,720,145,-2.7566490000000012,0.2013888888888889
fit,fisvdd_revision,tau_residual_ms,720,146,-2.7561280000000004,0.20277777777777778
fit,fisvdd_revision,tau_residual_ms,720,147,-2.7529510000000013,0.20416666666666666
fit,fisvdd_revision,tau_residual_ms,720,148,-2.7482110000000013,0.20555555555555555
fit,fisvdd_revision,tau_residual_ms,720,149,-2.7443050000000007,0.20694444444444443
fit,fisvdd_revision,tau_residual_ms,720,150,-2.7368050000000004,0.20833333333333334
fit,fisvdd_revision,tau_residual_ms,720,151,-2.733836,0.20972222222222223
fit,fisvdd_revision,tau_residual_ms,720,152,-2.731753000000001,0.2111111111111111
fit,fisvdd_revision,tau_residual_ms,720,153,-2.722046000000006,0.2125
fit,fisvdd_revision,tau_residual_ms,720,154,-2.718472,0.21388888888888888
fit,fisvdd_revision,tau_residual_ms,720,155,-2.7180550000000014,0.2152777777777778
fit,fisvdd_revision,tau_residual_ms,720,156,-2.715191000000001,0.21666666666666667
fit,fisvdd_revision,tau_residual_ms,720,157,-2.715086000000001,0.21805555555555556
fit,fisvdd_revision,tau_residual_ms,720,158,-2.7119610000000005,0.21944444444444444
fit,fisvdd_revision,tau_residual_ms,720,159,-2.711545000000001,0.22083333333333333
fit,fisvdd_revision,tau_residual_ms,720,160,-2.7061280000000014,0.2222222222222222
