candidate_index,n_records,background,candidate_passed,action,validation_f1,is_light,is_high_utility,latency_upper_ms,thermal_upper_c_max_fit_state,in_near_cap_band,thermal_feasible
0,1,B0,1,fisvdd_revision,0.804179446,1,0,14.279547000,35.244638051,0,1
0,1,B0,1,lucid_revision,0.941963921,0,1,36.784473000,35.678822244,1,1
0,1,B0,1,tinydl_revision,0.956168592,0,1,13.665226000,36.229326190,0,1
0,1,B0,1,oi_svdd_as_elm_revision,0.950867587,0,1,15.532947000,36.636690791,0,1
1,1,B1,1,fisvdd_revision,0.804179446,1,0,14.953968000,36.300253719,0,1
1,1,B1,1,lucid_revision,0.941963921,0,1,37.087580000,36.734100481,1,1
1,1,B1,1,tinydl_revision,0.956168592,0,1,14.505307000,37.742401414,0,1
1,1,B1,1,oi_svdd_as_elm_revision,0.950867587,0,1,15.107619000,35.860729654,0,1
2,1,B2,1,fisvdd_revision,0.804179446,1,0,16.147028000,38.729270955,0,1
2,1,B2,1,lucid_revision,0.941963921,0,1,37.744152000,37.331877832,1,1
2,1,B2,1,tinydl_revision,0.956168592,0,1,14.076892000,37.882082393,0,1
2,1,B2,1,oi_svdd_as_elm_revision,0.950867587,0,1,17.411990000,36.000391934,0,1
3,16,B0,0,fisvdd_revision,0.804179446,1,0,17.212056000,36.195140518,0,1
3,16,B0,0,lucid_revision,0.941963921,0,1,46.846548000,33.887660512,0,1
3,16,B0,0,tinydl_revision,0.956168592,0,1,15.703040000,35.806604311,0,1
3,16,B0,0,oi_svdd_as_elm_revision,0.950867587,0,1,16.439797000,34.840966678,0,1
4,16,B1,0,fisvdd_revision,0.804179446,1,0,16.203818000,36.335244807,0,1
4,16,B1,0,lucid_revision,0.941963921,0,1,46.549689000,35.400543467,0,1
4,16,B1,0,tinydl_revision,0.956168592,0,1,32.177579000,36.414944311,0,1
4,16,B1,0,oi_svdd_as_elm_revision,0.950867587,0,1,16.902762000,35.895932496,0,1
5,16,B2,0,fisvdd_revision,0.804179446,1,0,16.270209000,37.389918525,0,1
5,16,B2,0,lucid_revision,0.941963921,0,1,47.159678000,35.998870354,0,1
5,16,B2,0,tinydl_revision,0.956168592,0,1,17.167238000,37.459348480,0,1
5,16,B2,0,oi_svdd_as_elm_revision,0.950867587,0,1,16.894283000,36.493336671,0,1
6,64,B0,0,fisvdd_revision,0.804179446,1,0,22.046104000,35.756953532,0,1
6,64,B0,0,lucid_revision,0.941963921,0,1,81.912365000,33.926941984,0,1
6,64,B0,0,tinydl_revision,0.956168592,0,1,19.480935000,36.741397562,0,1
6,64,B0,0,oi_svdd_as_elm_revision,0.950867587,0,1,22.304209000,34.860841366,0,1
7,64,B1,0,fisvdd_revision,0.804179446,1,0,21.416523000,36.355157041,0,1
7,64,B1,0,lucid_revision,0.941963921,0,1,82.691110000,35.894576862,0,1
7,64,B1,0,tinydl_revision,0.956168592,0,1,19.252161000,36.423850188,0,1
7,64,B1,0,oi_svdd_as_elm_revision,0.950867587,0,1,21.973568000,35.916406907,0,1
8,64,B2,0,fisvdd_revision,0.804179446,1,0,20.584605000,36.036241704,0,1
8,64,B2,0,lucid_revision,0.941963921,0,1,79.090611000,38.323270182,0,1
8,64,B2,0,tinydl_revision,0.956168592,0,1,19.409841000,37.020642447,0,1
8,64,B2,0,oi_svdd_as_elm_revision,0.950867587,0,1,24.238255000,38.344173164,0,1
9,256,B0,0,fisvdd_revision,0.804179446,1,0,35.649482000,35.326069806,0,1
9,256,B0,0,lucid_revision,0.941963921,0,1,209.857556000,36.305861988,0,1
9,256,B0,0,tinydl_revision,0.956168592,0,1,34.914395000,36.310015473,0,1
9,256,B0,0,oi_svdd_as_elm_revision,0.950867587,0,1,41.217933000,36.262716970,1,1
10,256,B1,0,fisvdd_revision,0.804179446,1,0,36.904510000,35.924691158,1,1
10,256,B1,0,lucid_revision,0.941963921,0,1,210.901404000,37.361099058,0,1
10,256,B1,0,tinydl_revision,0.956168592,0,1,35.143767000,37.822688699,0,1
10,256,B1,0,oi_svdd_as_elm_revision,0.950867587,0,1,42.655736000,36.402056057,1,1
11,256,B2,0,fisvdd_revision,0.804179446,1,0,36.987400000,36.978578954,1,1
11,256,B2,0,lucid_revision,0.941963921,0,1,199.600291000,38.873975819,0,1
11,256,B2,0,tinydl_revision,0.956168592,0,1,34.730300000,37.047143187,0,1
11,256,B2,0,oi_svdd_as_elm_revision,0.950867587,0,1,41.755930000,37.914650817,1,1
12,512,B0,0,fisvdd_revision,0.804179446,1,0,57.502176000,36.720923781,0,1
12,512,B0,0,lucid_revision,0.941963921,0,1,372.003553000,37.331116267,0,1
12,512,B0,0,tinydl_revision,0.956168592,0,1,54.268055000,36.330483160,0,1
12,512,B0,0,oi_svdd_as_elm_revision,0.950867587,0,1,64.911024000,35.371994564,0,1
13,512,B1,0,fisvdd_revision,0.804179446,1,0,58.262481000,36.402653551,0,1
