block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,lucid_revision,n16,B0,2026-09-09T12:49:57Z,2026-09-09T12:50:02Z,0x0,0x0,31.634,31.096,40,40,1,
1,lucid_revision,n64,B0,2026-09-09T12:50:02Z,2026-09-09T12:50:06Z,0x0,0x0,31.634,32.172,40,40,1,
2,lucid_revision,n512,B2,2026-09-09T12:50:06Z,2026-09-09T12:50:22Z,0x0,0x0,31.634,36.476,40,40,1,
3,oi_svdd_as_elm_revision,n1,B0,2026-09-09T12:50:22Z,2026-09-09T12:50:26Z,0x0,0x0,36.476,33.248,40,40,1,
4,fisvdd_revision,n1024,B1,2026-09-09T12:50:26Z,2026-09-09T12:50:31Z,0x0,0x0,33.248,34.862,40,40,1,
5,oi_svdd_as_elm_revision,n512,B2,2026-09-09T12:50:31Z,2026-09-09T12:50:36Z,0x0,0x0,34.324,35.400,40,40,1,
6,tinydl_revision,n256,B0,2026-09-09T12:50:36Z,2026-09-09T12:50:41Z,0x0,0x0,35.400,33.786,40,40,1,
7,oi_svdd_as_elm_revision,n16,B2,2026-09-09T12:50:41Z,2026-09-09T12:50:45Z,0x0,0x0,33.248,34.324,40,40,1,
8,lucid_revision,n512,B1,2026-09-09T12:50:45Z,2026-09-09T12:51:01Z,0x0,0x0,34.862,35.938,40,40,1,
9,fisvdd_revision,n512,B0,2026-09-09T12:51:01Z,2026-09-09T12:51:05Z,0x0,0x0,36.476,34.324,40,40,1,
10,tinydl_revision,n64,B1,2026-09-09T12:51:05Z,2026-09-09T12:51:10Z,0x0,0x0,34.324,34.324,40,40,1,
11,lucid_revision,n1024,B2,2026-09-09T12:51:10Z,2026-09-09T12:51:39Z,0x0,0x0,34.324,38.090,40,40,1,
12,fisvdd_revision,n1,B2,2026-09-09T12:51:39Z,2026-09-09T12:51:44Z,0x0,0x0,38.628,36.476,40,40,1,
13,oi_svdd_as_elm_revision,n64,B2,2026-09-09T12:51:44Z,2026-09-09T12:51:49Z,0x0,0x0,36.476,35.400,40,40,1,
14,tinydl_revision,n1,B1,2026-09-09T12:51:49Z,2026-09-09T12:51:54Z,0x0,0x0,35.938,34.862,40,40,1,
15,tinydl_revision,n512,B1,2026-09-09T12:51:54Z,2026-09-09T12:51:59Z,0x0,0x0,34.862,35.400,40,40,1,
16,tinydl_revision,n16,B2,2026-09-09T12:51:59Z,2026-09-09T12:52:03Z,0x0,0x0,35.400,35.938,40,40,1,
17,tinydl_revision,n512,B2,2026-09-09T12:52:03Z,2026-09-09T12:52:08Z,0x0,0x0,35.400,35.938,40,40,1,
18,oi_svdd_as_elm_revision,n256,B2,2026-09-09T12:52:08Z,2026-09-09T12:52:13Z,0x0,0x0,35.938,35.400,40,40,1,
19,tinydl_revision,n64,B0,2026-09-09T12:52:13Z,2026-09-09T12:52:18Z,0x0,0x0,35.938,33.786,40,40,1,
