sample,timestamp_utc,temperature_c,throttled,load1
0,2026-09-09T12:49:28Z,33.248,0x0,0.87646484375
1,2026-09-09T12:49:29Z,32.172,0x0,0.87646484375
2,2026-09-09T12:49:30Z,32.172,0x0,0.87646484375
3,2026-09-09T12:49:31Z,32.172,0x0,0.87646484375
4,2026-09-09T12:49:32Z,32.172,0x0,0.80615234375
5,2026-09-09T12:49:33Z,32.172,0x0,0.80615234375
6,2026-09-09T12:49:34Z,32.172,0x0,0.80615234375
7,2026-09-09T12:49:35Z,31.634,0x0,0.80615234375
8,2026-09-09T12:49:36Z,32.172,0x0,0.80615234375
9,2026-09-09T12:49:37Z,32.172,0x0,0.7412109375
10,2026-09-09T12:49:38Z,32.172,0x0,0.7412109375
11,2026-09-09T12:49:39Z,32.172,0x0,0.7412109375
12,2026-09-09T12:49:40Z,32.172,0x0,0.7412109375
13,2026-09-09T12:49:41Z,31.096,0x0,0.7412109375
14,2026-09-09T12:49:42Z,31.634,0x0,0.681640625
15,2026-09-09T12:49:43Z,31.634,0x0,0.681640625
16,2026-09-09T12:49:44Z,31.634,0x0,0.681640625
17,2026-09-09T12:49:45Z,31.096,0x0,0.681640625
18,2026-09-09T12:49:46Z,32.172,0x0,0.681640625
19,2026-09-09T12:49:47Z,31.096,0x0,0.626953125
20,2026-09-09T12:49:48Z,31.096,0x0,0.626953125
21,2026-09-09T12:49:49Z,31.096,0x0,0.626953125
22,2026-09-09T12:49:50Z,31.096,0x0,0.626953125
23,2026-09-09T12:49:51Z,31.096,0x0,0.626953125
24,2026-09-09T12:49:52Z,31.634,0x0,0.57666015625
25,2026-09-09T12:49:53Z,31.634,0x0,0.57666015625
26,2026-09-09T12:49:54Z,31.096,0x0,0.57666015625
27,2026-09-09T12:49:55Z,31.634,0x0,0.57666015625
28,2026-09-09T12:49:56Z,31.634,0x0,0.57666015625
29,2026-09-09T12:49:57Z,31.634,0x0,0.5302734375
