run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,0,0,2026-09-09T12:49:58Z,947523405423,lucid_revision,n16,16,B0,0.0,31.634,31.096,1400.000,1400.000,1400.000,1400.000,1.881380,1.370658,0.357859,11.034117,0.188487,15.208642,101.901498,0.000000,0.695242112,0.589085778,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,1,1,2026-09-09T12:49:58Z,947625969829,lucid_revision,n16,16,B0,0.0,31.634,31.634,1400.000,1400.000,1400.000,1400.000,1.651384,1.317950,0.360047,10.196890,0.146612,14.001315,101.837801,0.000000,0.778853433,0.748287618,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,2,2,2026-09-09T12:49:58Z,947728551266,lucid_revision,n16,16,B0,0.0,31.634,31.096,1400.000,1400.000,1400.000,1400.000,1.608988,1.237430,0.346245,10.169650,0.140779,13.803818,101.834260,0.000000,0.637752703,0.532339781,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,3,3,2026-09-09T12:49:58Z,947831022027,lucid_revision,n16,16,B0,0.0,31.634,31.096,1400.000,1400.000,1400.000,1400.000,1.669352,1.246441,0.339162,10.270430,0.139477,13.961420,101.951863,0.000000,0.651448947,0.568166635,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,4,4,2026-09-09T12:49:58Z,947933609193,lucid_revision,n16,16,B0,0.0,31.634,31.634,1400.000,1400.000,1400.000,1400.000,1.552010,1.302326,0.344422,10.182306,0.141560,13.839183,101.712595,0.000000,0.795733907,0.703775727,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,5,5,2026-09-09T12:49:58Z,948035960998,lucid_revision,n16,16,B0,0.0,31.634,31.096,1400.000,1400.000,1400.000,1400.000,1.626071,1.248889,0.348641,10.299596,0.156561,14.052148,101.864103,0.000000,0.542964949,0.476344435,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,6,6,2026-09-09T12:49:58Z,948138495665,lucid_revision,n16,16,B0,0.0,31.096,32.172,1400.000,1400.000,1400.000,1400.000,1.665758,1.249722,0.340620,10.171421,0.143123,13.877202,101.925404,0.000000,0.725790313,0.698592804,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,7,7,2026-09-09T12:49:58Z,948241059185,lucid_revision,n16,16,B0,0.0,31.096,32.172,1400.000,1400.000,1400.000,1400.000,1.551281,1.244566,0.351089,10.083193,0.145362,13.725018,101.847959,0.000000,0.748108365,0.670063632,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,8,8,2026-09-09T12:49:59Z,948343540208,lucid_revision,n16,16,B0,0.0,31.096,31.096,1400.000,1400.000,1400.000,1400.000,1.680081,1.258004,0.349057,10.122047,0.147810,13.852412,101.919885,0.000000,0.719456925,0.686445212,1
pi3bplus_v2_fit_20260909T124920Z,pi3bplus,2,1,fit,true,0,9,9,2026-09-09T12:49:59Z,948446093991,lucid_revision,n16,16,B0,0.0,31.634,31.096,1400.000,1400.000,1400.000,1400.000,1.557634,1.326648,0.344839,10.092151,0.142186,13.755017,101.828948,0.000000,0.705647041,0.645334286,1
