device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,T_next_measured_C,T_next_hat_C,T_residual_C
pi3bplus,fit,lucid_revision,n16,B0,0,15.208642,15.208642,0.0,31.096,31.82894011526666,-0.7329401152666613
pi3bplus,fit,lucid_revision,n16,B0,1,14.001315,15.208642,-1.2073269999999994,31.634,31.828174781381144,-0.1941747813811432
pi3bplus,fit,lucid_revision,n16,B0,2,13.803818,15.208642,-1.4048239999999996,31.096,31.828049586511497,-0.7320495865114971
pi3bplus,fit,lucid_revision,n16,B0,3,13.96142,15.208642,-1.247221999999999,31.096,31.828149491633326,-0.7321494916333258
pi3bplus,fit,lucid_revision,n16,B0,4,13.839183,15.208642,-1.369458999999999,31.634,31.82807200465742,-0.19407200465742136
pi3bplus,fit,lucid_revision,n16,B0,5,14.052148,15.208642,-1.1564939999999986,31.096,31.828207004811418,-0.7322070048114178
pi3bplus,fit,lucid_revision,n16,B0,6,13.877202,15.208642,-1.3314399999999988,32.172,31.37037115493733,0.8016288450626661
pi3bplus,fit,lucid_revision,n16,B0,7,13.725018,15.208642,-1.483623999999999,32.172,31.370274684327434,0.801725315672563
pi3bplus,fit,lucid_revision,n16,B0,8,13.852412,15.208642,-1.35623,31.096,31.370355440365373,-0.2743554403653725
pi3bplus,fit,lucid_revision,n16,B0,9,13.755017,15.208642,-1.4536249999999988,31.096,31.828018651181672,-0.7320186511816722
pi3bplus,fit,lucid_revision,n16,B0,10,13.877047,15.208642,-1.331595,31.634,31.37037105668164,0.2636289433183592
pi3bplus,fit,lucid_revision,n16,B0,11,13.884859,15.208642,-1.3237829999999988,31.634,32.28582590928272,-0.6518259092827208
pi3bplus,fit,lucid_revision,n16,B0,12,13.755642,15.208642,-1.4529999999999994,32.172,31.828019047373992,0.3439809526260049
pi3bplus,fit,lucid_revision,n16,B0,13,13.831631,15.208642,-1.3770109999999995,31.634,31.828067217386447,-0.19406721738644706
pi3bplus,fit,lucid_revision,n16,B0,14,13.953451,15.208642,-1.255191,31.096,31.82814444002284,-0.7321444400228394
pi3bplus,fit,lucid_revision,n16,B0,15,13.742778,15.208642,-1.4658639999999998,31.634,32.285735843042346,-0.6517358430423457
pi3bplus,fit,lucid_revision,n16,B0,16,13.893141,15.208642,-1.3155009999999994,31.634,31.828106209049267,-0.19410620904926645
pi3bplus,fit,lucid_revision,n16,B0,17,13.891682,15.208642,-1.31696,32.172,31.828105284177923,0.3438947158220742
pi3bplus,fit,lucid_revision,n16,B0,18,13.785069,15.208642,-1.4235729999999993,31.634,32.28576265163302,-0.651762651633021
pi3bplus,fit,lucid_revision,n16,B0,19,13.854911,15.208642,-1.3537309999999998,32.172,32.285806925014825,-0.1138069250148277
pi3bplus,fit,lucid_revision,n16,B0,20,13.820746,15.208642,-1.3878959999999996,31.634,31.370335367044042,0.2636646329559582
pi3bplus,fit,lucid_revision,n16,B0,21,13.784653,15.208642,-1.4239889999999988,32.172,31.828037437670368,0.3439625623296294
pi3bplus,fit,lucid_revision,n16,B0,22,13.925484,15.208642,-1.2831579999999985,31.634,31.370401761269058,0.26359823873094257
pi3bplus,fit,lucid_revision,n16,B0,23,13.845068,15.208642,-1.3635739999999998,31.096,31.3703507849472,-0.2743507849471989
pi3bplus,fit,lucid_revision,n16,B0,24,13.838662,15.208642,-1.36998,31.096,31.37034672413445,-0.2743467241344497
pi3bplus,fit,lucid_revision,n16,B0,25,13.878401,15.208642,-1.3302409999999991,31.634,31.82809686524972,-0.19409686524971903
pi3bplus,fit,lucid_revision,n16,B0,26,13.77184,15.208642,-1.4368020000000001,31.634,32.28575426566802,-0.6517542656680178
pi3bplus,fit,lucid_revision,n16,B0,27,13.856943,15.208642,-1.351699,31.634,31.82808326285823,-0.19408326285822852
pi3bplus,fit,lucid_revision,n16,B0,28,13.836266,15.208642,-1.3723759999999992,32.172,31.3703452052916,0.8016547947083978
pi3bplus,fit,lucid_revision,n16,B0,29,13.732674,15.208642,-1.475968,32.172,32.28572943803891,-0.11372943803891644
pi3bplus,fit,lucid_revision,n16,B0,30,13.866162,15.208642,-1.3424800000000001,31.096,31.37036415659629,-0.2743641565962882
pi3bplus,fit,lucid_revision,n16,B0,31,13.748299,15.208642,-1.460343,31.096,31.370289442332677,-0.2742894423326767
pi3bplus,fit,lucid_revision,n16,B0,32,13.782309,15.208642,-1.4263329999999996,32.172,31.370311001533658,0.8016889984663393
pi3bplus,fit,lucid_revision,n16,B0,33,13.989493,15.208642,-1.2191489999999998,32.172,31.828167287324277,0.34383271267572013
pi3bplus,fit,lucid_revision,n16,B0,34,13.812516,15.208642,-1.3961259999999989,31.634,32.28578005049775,-0.6517800504977487
pi3bplus,fit,lucid_revision,n16,B0,35,13.815434,15.208642,-1.3932079999999996,32.172,32.28578190024043,-0.11378190024043278
pi3bplus,fit,lucid_revision,n16,B0,36,13.892516,15.208642,-1.3161259999999988,31.096,31.828105812856947,-0.7321058128569469
pi3bplus,fit,lucid_revision,n16,B0,37,13.75106,15.208642,-1.4575819999999986,31.096,32.285741093065944,-1.189741093065944
pi3bplus,fit,lucid_revision,n16,B0,38,13.873974,15.208642,-1.3346679999999989,32.172,31.370369108683263,0.8016308913167336
pi3bplus,fit,lucid_revision,n16,B0,39,14.132616,15.208642,-1.0760259999999988,31.634,31.828258014096477,-0.19425801409647647
pi3bplus,fit,lucid_revision,n64,B0,40,50.274459,50.274459,0.0,31.096,31.410543055751297,-0.3145430557512974
pi3bplus,fit,lucid_revision,n64,B0,41,46.523938,50.274459,-3.750520999999999,31.096,31.408165571598587,-0.3121655715985874
pi3bplus,fit,lucid_revision,n64,B0,42,48.085688,50.274459,-2.1887710000000027,31.096,32.32460547746808,-1.2286054774680828
pi3bplus,fit,lucid_revision,n64,B0,43,48.487714,50.274459,-1.7867450000000034,31.634,31.409410424332243,0.22458957566775695
pi3bplus,fit,lucid_revision,n64,B0,44,48.117094,50.274459,-2.1573649999999986,31.096,31.4091754854593,-0.3131754854593005
pi3bplus,fit,lucid_revision,n64,B0,45,48.339643,50.274459,-1.9348159999999979,32.172,32.32476646149883,-0.15276646149883533
pi3bplus,fit,lucid_revision,n64,B0,46,48.282768,50.274459,-1.991691000000003,31.096,31.409280507484112,-0.3132805074841123
pi3bplus,fit,lucid_revision,n64,B0,47,48.473183,50.274459,-1.8012760000000014,31.634,32.32485111353351,-0.6908511135335118
pi3bplus,fit,lucid_revision,n64,B0,48,48.158708,50.274459,-2.115751000000003,31.634,32.32465176540857,-0.6906517654085675
pi3bplus,fit,lucid_revision,n64,B0,49,48.607295,50.274459,-1.6671639999999996,32.172,32.324936128163394,-0.15293612816339675
pi3bplus,fit,lucid_revision,n64,B0,50,48.211415,50.274459,-2.063043999999998,32.172,32.32468517678188,-0.15268517678187976
pi3bplus,fit,lucid_revision,n64,B0,51,48.375789,50.274459,-1.8986700000000027,31.096,32.32478937472667,-1.22878937472667
pi3bplus,fit,lucid_revision,n64,B0,52,48.22678,50.274459,-2.0476790000000022,31.634,32.32469491677374,-0.6906949167737366
pi3bplus,fit,lucid_revision,n64,B0,53,48.310477,50.274459,-1.9639820000000014,32.172,32.32474797294677,-0.15274797294677
pi3bplus,fit,lucid_revision,n64,B0,54,48.209801,50.274459,-2.0646580000000014,32.172,32.32468415365484,-0.152684153654846
pi3bplus,fit,lucid_revision,n64,B0,55,48.470423,50.274459,-1.8040360000000035,32.172,31.40939946343415,0.7626005365658486
pi3bplus,fit,lucid_revision,n64,B0,56,48.153032,50.274459,-2.121426999999997,32.172,32.32464816734844,-0.15264816734844544
pi3bplus,fit,lucid_revision,n64,B0,57,48.41709,50.274459,-1.8573689999999985,32.172,32.32481555574872,-0.15281555574872385
pi3bplus,fit,lucid_revision,n64,B0,58,48.338185,50.274459,-1.9362739999999974,32.172,32.324765537261406,-0.15276553726140918
pi3bplus,fit,lucid_revision,n64,B0,59,48.46308,50.274459,-1.8113790000000023,31.634,32.32484470916399,-0.69084470916399
pi3bplus,fit,lucid_revision,n64,B0,60,48.306988,50.274459,-1.9674710000000033,32.172,32.32474576124279,-0.15274576124279093
pi3bplus,fit,lucid_revision,n64,B0,61,48.332822,50.274459,-1.941637,31.634,32.32476213761439,-0.6907621376143922
pi3bplus,fit,lucid_revision,n64,B0,62,48.168657,50.274459,-2.105801999999997,32.172,31.86693312189925,0.30506687810074595
pi3bplus,fit,lucid_revision,n64,B0,63,48.437716,50.274459,-1.8367429999999985,32.172,32.324828630729,-0.15282863072900454
pi3bplus,fit,lucid_revision,n64,B0,64,48.201937,50.274459,-2.0725219999999993,32.172,32.32467916860467,-0.15267916860467068
pi3bplus,fit,lucid_revision,n64,B0,65,48.405893,50.274459,-1.8685660000000013,32.172,32.32480845788417,-0.15280845788416997
pi3bplus,fit,lucid_revision,n64,B0,66,48.488757,50.274459,-1.7857020000000006,32.172,32.324860986012084,-0.15286098601208664
pi3bplus,fit,lucid_revision,n64,B0,67,48.877449,50.274459,-1.3970100000000016,32.172,32.325107380865035,-0.1531073808650376
pi3bplus,fit,lucid_revision,n64,B0,68,48.614484,50.274459,-1.6599750000000029,32.172,32.32494068532588,-0.15294068532588057
pi3bplus,fit,lucid_revision,n64,B0,69,48.577089,50.274459,-1.6973699999999994,32.172,32.32491698034732,-0.15291698034732093
pi3bplus,fit,lucid_revision,n64,B0,70,48.184959,50.274459,-2.089500000000001,32.172,32.324668406119685,-0.15266840611968746
pi3bplus,fit,lucid_revision,n64,B0,71,48.44756,50.274459,-1.8268989999999974,32.172,31.40938497040233,0.7626150295976686
pi3bplus,fit,lucid_revision,n64,B0,72,48.227147,50.274459,-2.047311999999998,32.172,32.32469514941786,-0.1526951494178661
pi3bplus,fit,lucid_revision,n64,B0,73,48.365686,50.274459,-1.9087730000000036,32.172,32.32478297035715,-0.15278297035715127
pi3bplus,fit,lucid_revision,n64,B0,74,48.208293,50.274459,-2.0661660000000026,32.172,31.40923329720792,0.7627667027920779
pi3bplus,fit,lucid_revision,n64,B0,75,48.46183,50.274459,-1.8126290000000012,32.172,32.32484391677936,-0.1528439167793607
pi3bplus,fit,lucid_revision,n64,B0,76,48.378915,50.274459,-1.895544000000001,32.172,32.32479135632215,-0.15279135632215457
pi3bplus,fit,lucid_revision,n64,B0,77,48.47881,50.274459,-1.7956489999999974,32.172,32.324854680532155,-0.15285468053215823
pi3bplus,fit,lucid_revision,n64,B0,78,48.370061,50.274459,-1.9043980000000005,32.172,32.32478574370335,-0.15278574370335463
pi3bplus,fit,lucid_revision,n64,B0,79,48.566152,50.274459,-1.7083069999999978,32.172,32.324910047298765,-0.1529100472987679
pi3bplus,fit,lucid_revision,n512,B2,80,386.213577,386.213577,0.0,32.71,32.84386883898865,-0.1338688389886471
pi3bplus,fit,lucid_revision,n512,B2,81,342.308613,386.213577,-43.90496400000001,33.248,32.81603714410275,0.4319628558972468
pi3bplus,fit,lucid_revision,n512,B2,82,355.507339,386.213577,-30.706237999999985,34.324,34.197578768957015,0.12642123104298264
pi3bplus,fit,lucid_revision,n512,B2,83,356.981173,386.213577,-29.232403999999974,33.786,33.74078809342571,0.04521190657429486
pi3bplus,fit,lucid_revision,n512,B2,84,355.269586,386.213577,-30.943990999999983,34.324,34.19742805549887,0.12657194450112996
pi3bplus,fit,lucid_revision,n512,B2,85,356.357175,386.213577,-29.856402000000003,34.324,34.65584243680087,-0.3318424368008692
pi3bplus,fit,lucid_revision,n512,B2,86,356.221136,386.213577,-29.992440999999985,34.324,34.65575620063084,-0.3317562006308421
pi3bplus,fit,lucid_revision,n512,B2,87,356.104058,386.213577,-30.109518999999977,34.862,34.65568198398477,0.20631801601523136
pi3bplus,fit,lucid_revision,n512,B2,88,356.089579,386.213577,-30.123997999999972,34.324,35.11339775589219,-0.789397755892189
pi3bplus,fit,lucid_revision,n512,B2,89,357.160035,386.213577,-29.053541999999993,34.862,35.11407632619647,-0.252076326196466
pi3bplus,fit,lucid_revision,n512,B2,90,357.079518,386.213577,-29.13405899999998,35.4,35.114025285849934,0.2859747141500648
pi3bplus,fit,lucid_revision,n512,B2,91,357.066862,386.213577,-29.146714999999972,35.4,35.11401726311404,0.28598273688595555
pi3bplus,fit,lucid_revision,n512,B2,92,356.932178,386.213577,-29.281398999999965,35.4,35.11393188588895,0.28606811411104616
pi3bplus,fit,lucid_revision,n512,B2,93,360.025159,386.213577,-26.188418000000013,34.324,34.65816760011348,-0.33416760011348146
pi3bplus,fit,lucid_revision,n512,B2,94,357.435455,386.213577,-28.778121999999996,34.862,35.57197586731312,-0.7099758673131191
pi3bplus,fit,lucid_revision,n512,B2,95,355.685378,386.213577,-30.528198999999972,35.938,35.11314152976467,0.8248584702353341
pi3bplus,fit,lucid_revision,n512,B2,96,355.080283,386.213577,-31.133293999999978,35.4,35.57048290564009,-0.1704829056400925
pi3bplus,fit,lucid_revision,n512,B2,97,358.446487,386.213577,-27.767089999999996,35.4,36.0303417185431,-0.6303417185431002
pi3bplus,fit,lucid_revision,n512,B2,98,355.241327,386.213577,-30.972249999999974,35.4,35.57058499267223,-0.17058499267223226
pi3bplus,fit,lucid_revision,n512,B2,99,364.425212,386.213577,-21.788365,35.938,35.57640672811853,0.3615932718814747
pi3bplus,fit,lucid_revision,n512,B2,100,356.559696,386.213577,-29.653881000000013,35.938,36.02914566719397,-0.09114566719397033
pi3bplus,fit,lucid_revision,n512,B2,101,356.653708,386.213577,-29.559868999999992,35.938,36.02920526212496,-0.09120526212495861
pi3bplus,fit,lucid_revision,n512,B2,102,358.503995,386.213577,-27.70958200000001,35.4,36.03037817330729,-0.6303781733072924
pi3bplus,fit,lucid_revision,n512,B2,103,358.250563,386.213577,-27.963013999999987,35.938,36.48794247106732,-0.5499424710673182
pi3bplus,fit,lucid_revision,n512,B2,104,357.206517,386.213577,-29.007059999999967,35.938,36.02955569200843,-0.09155569200842706
pi3bplus,fit,lucid_revision,n512,B2,105,356.977771,386.213577,-29.235805999999968,36.476,35.57168573789991,0.9043142621000868
pi3bplus,fit,lucid_revision,n512,B2,106,358.708218,386.213577,-27.505359,35.4,36.488232582097204,-1.0882325820972056
pi3bplus,fit,lucid_revision,n512,B2,107,355.425765,386.213577,-30.787811999999974,36.476,36.943876760112346,-0.4678767601123468
pi3bplus,fit,lucid_revision,n512,B2,108,356.727258,386.213577,-29.48631899999998,36.476,35.571526935779474,0.9044730642205252
pi3bplus,fit,lucid_revision,n512,B2,109,355.985865,386.213577,-30.227711999999997,35.938,35.57105696104572,0.3669430389542825
pi3bplus,fit,lucid_revision,n512,B2,110,356.823718,386.213577,-29.389859,35.938,36.94476293328768,-1.0067629332876749
pi3bplus,fit,lucid_revision,n512,B2,111,359.517433,386.213577,-26.696144000000004,36.476,36.488745549719205,-0.01274554971920594
pi3bplus,fit,lucid_revision,n512,B2,112,355.738425,386.213577,-30.47515199999998,35.4,36.48635000743776,-1.0863500074377583
pi3bplus,fit,lucid_revision,n512,B2,113,356.778358,386.213577,-29.43521899999996,35.938,36.48700922897721,-0.549009228977205
pi3bplus,fit,lucid_revision,n512,B2,114,356.29644,386.213577,-29.91713699999997,36.476,36.48670373744473,-0.010703737444728745
pi3bplus,fit,lucid_revision,n512,B2,115,358.478861,386.213577,-27.73471599999999,36.476,36.03036224067108,0.4456377593289176
pi3bplus,fit,lucid_revision,n512,B2,116,356.472638,386.213577,-29.74093899999997,36.476,36.4868154307142,-0.01081543071420299
pi3bplus,fit,lucid_revision,n512,B2,117,360.408992,386.213577,-25.804584999999975,37.014,36.489310715837114,0.5246892841628892
pi3bplus,fit,lucid_revision,n512,B2,118,355.918899,386.213577,-30.294677999999976,36.476,36.48646441129657,-0.010464411296574383
pi3bplus,fit,lucid_revision,n512,B2,119,358.09788,386.213577,-28.11569700000001,36.476,36.48784568413748,-0.011845684137483659
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,120,3.605211,4.421503,-0.8162920000000002,35.4,35.03485618810197,0.36514381189802947
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,121,3.44063,4.421503,-0.9808730000000003,35.4,35.03475185893828,0.3652481410617199
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,122,3.337559,4.421503,-1.0839440000000002,34.862,35.03468652143741,-0.17268652143740582
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,123,3.348652,4.421503,-1.0728510000000004,35.4,35.03469355337556,0.36530644662443734
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,124,3.310632,4.421503,-1.1108710000000004,34.862,35.03466945220468,-0.17266945220467989
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,125,3.288809,4.421503,-1.1326940000000003,34.324,35.03465561843688,-0.7106556184368813
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,126,3.376829,4.421503,-1.0446740000000005,34.324,34.57698646473587,-0.2529864647358693
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,127,3.313185,4.421503,-1.1083180000000006,34.324,34.576946120314005,-0.2529461203140073
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,128,3.351725,4.421503,-1.0697780000000003,34.324,35.03469550137393,-0.7106955013739338
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,129,3.29657,4.421503,-1.1249330000000004,34.862,34.11921063768046,0.7427893623195416
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,130,4.421503,4.421503,0.0,34.862,34.11992374137468,0.7420762586253247
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,131,3.393079,4.421503,-1.0284240000000002,34.324,34.57699676573604,-0.252996765736043
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,132,3.295996,4.421503,-1.1255070000000003,34.862,34.11921027381744,0.7427897261825649
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,133,3.271258,4.421503,-1.1502450000000004,34.324,34.11919459220868,0.20480540779131928
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,134,3.345059,4.421503,-1.0764440000000004,34.324,34.57696632548814,-0.25296632548813847
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,135,3.295788,4.421503,-1.1257150000000005,34.324,34.119210141964636,0.20478985803536176
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,136,3.347924,4.421503,-1.0735790000000005,34.324,34.11924319137665,0.2047568086233511
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,137,3.288913,4.421503,-1.1325900000000004,34.324,34.119205783849175,0.20479421615082316
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,138,3.315424,4.421503,-1.1060790000000003,34.324,34.11922258937629,0.2047774106237057
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,139,3.332819,4.421503,-1.0886840000000002,34.324,34.11923361620079,0.20476638379921042
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,140,3.306362,4.421503,-1.1151410000000004,33.786,34.119216844904685,-0.3332168449046833
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,141,3.328861,4.421503,-1.0926420000000006,33.786,33.20378120668,0.5822187933200027
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,142,3.35735,4.421503,-1.0641530000000006,33.786,33.66152421633361,0.12447578366639078
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,143,3.307246,4.421503,-1.1142570000000003,34.324,34.119217405279095,0.20478259472090343
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,144,3.364277,4.421503,-1.0572260000000004,34.324,33.66152860741227,0.6624713925877259
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,145,3.319642,4.421503,-1.1018610000000004,34.324,33.66150031294194,0.6624996870580588
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,146,3.283237,4.421503,-1.1382660000000002,34.324,34.11920218578905,0.20479781421094856
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,147,3.34683,4.421503,-1.0746730000000002,34.324,33.66151754762458,0.6624824523754214
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,148,3.301517,4.421503,-1.1199860000000004,34.324,33.66148882336482,0.6625111766351779
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,149,3.283341,4.421503,-1.1381620000000003,33.248,33.20375235120135,0.0442476487986454
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,150,3.373808,4.421503,-1.0476950000000005,33.786,33.66153464918659,0.12446535081340926
