action,workload_bin,background,fit_n,tau_hat_ms
fisvdd_revision,n1,B0,40,3.272850000
fisvdd_revision,n1,B1,40,3.947271000
fisvdd_revision,n1,B2,40,5.140331000
fisvdd_revision,n1024,B0,40,86.975766000
fisvdd_revision,n1024,B1,40,91.522977000
fisvdd_revision,n1024,B2,40,88.981928000
fisvdd_revision,n16,B0,40,6.205359000
fisvdd_revision,n16,B1,40,5.197121000
fisvdd_revision,n16,B2,40,5.263512000
fisvdd_revision,n256,B0,40,24.642785000
fisvdd_revision,n256,B1,40,25.897813000
fisvdd_revision,n256,B2,40,25.980703000
fisvdd_revision,n512,B0,40,46.495479000
fisvdd_revision,n512,B1,40,47.255784000
fisvdd_revision,n512,B2,40,47.482273000
fisvdd_revision,n64,B0,40,11.039407000
fisvdd_revision,n64,B1,40,10.409826000
fisvdd_revision,n64,B2,40,9.577908000
lucid_revision,n1,B0,40,5.146567000
lucid_revision,n1,B1,40,5.449674000
lucid_revision,n1,B2,40,6.106246000
lucid_revision,n1024,B0,40,725.202203000
lucid_revision,n1024,B1,40,719.780619000
lucid_revision,n1024,B2,40,753.575972000
lucid_revision,n16,B0,40,15.208642000
lucid_revision,n16,B1,40,14.911783000
lucid_revision,n16,B2,40,15.521772000
lucid_revision,n256,B0,40,178.219650000
lucid_revision,n256,B1,40,179.263498000
lucid_revision,n256,B2,40,167.962385000
lucid_revision,n512,B0,40,340.365647000
lucid_revision,n512,B1,40,372.673798000
lucid_revision,n512,B2,40,386.213577000
lucid_revision,n64,B0,40,50.274459000
lucid_revision,n64,B1,40,51.053204000
lucid_revision,n64,B2,40,47.452705000
oi_svdd_as_elm_revision,n1,B0,40,4.421503000
oi_svdd_as_elm_revision,n1,B1,40,3.996175000
oi_svdd_as_elm_revision,n1,B2,40,6.300546000
oi_svdd_as_elm_revision,n1024,B0,40,114.471804000
oi_svdd_as_elm_revision,n1024,B1,40,102.910100000
oi_svdd_as_elm_revision,n1024,B2,40,102.952674000
oi_svdd_as_elm_revision,n16,B0,40,5.328353000
oi_svdd_as_elm_revision,n16,B1,40,5.791318000
oi_svdd_as_elm_revision,n16,B2,40,5.782839000
oi_svdd_as_elm_revision,n256,B0,40,30.106489000
oi_svdd_as_elm_revision,n256,B1,40,31.544292000
oi_svdd_as_elm_revision,n256,B2,40,30.644486000
oi_svdd_as_elm_revision,n512,B0,40,53.799580000
oi_svdd_as_elm_revision,n512,B1,40,54.487461000
oi_svdd_as_elm_revision,n512,B2,40,56.252105000
oi_svdd_as_elm_revision,n64,B0,40,11.192765000
oi_svdd_as_elm_revision,n64,B1,40,10.862124000
oi_svdd_as_elm_revision,n64,B2,40,13.126811000
tinydl_revision,n1,B0,40,3.109409000
tinydl_revision,n1,B1,40,3.949490000
tinydl_revision,n1,B2,40,3.521075000
tinydl_revision,n1024,B0,40,81.487717000
tinydl_revision,n1024,B1,40,82.966181000
tinydl_revision,n1024,B2,40,82.732493000
tinydl_revision,n16,B0,40,5.147223000
tinydl_revision,n16,B1,40,21.621762000
tinydl_revision,n16,B2,40,6.611421000
tinydl_revision,n256,B0,40,24.358578000
tinydl_revision,n256,B1,40,24.587950000
tinydl_revision,n256,B2,40,24.174483000
tinydl_revision,n512,B0,40,43.712238000
tinydl_revision,n512,B1,40,44.922881000
tinydl_revision,n512,B2,40,44.005402000
tinydl_revision,n64,B0,40,8.925118000
tinydl_revision,n64,B1,40,8.696344000
tinydl_revision,n64,B2,40,8.854024000
