block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,oi_svdd_as_elm_revision,n16,B1,2026-09-09T12:58:40Z,2026-09-09T12:58:45Z,0x0,0x0,31.096,31.634,40,40,1,
1,lucid_revision,n1,B0,2026-09-09T12:58:45Z,2026-09-09T12:58:49Z,0x0,0x0,31.634,31.096,40,40,1,
2,fisvdd_revision,n64,B2,2026-09-09T12:58:49Z,2026-09-09T12:58:54Z,0x0,0x0,31.096,32.710,40,40,1,
3,tinydl_revision,n1,B2,2026-09-09T12:58:54Z,2026-09-09T12:58:59Z,0x0,0x0,32.710,33.248,40,40,1,
4,lucid_revision,n16,B1,2026-09-09T12:58:59Z,2026-09-09T12:59:04Z,0x0,0x0,32.710,33.248,40,40,1,
5,lucid_revision,n1,B2,2026-09-09T12:59:04Z,2026-09-09T12:59:08Z,0x0,0x0,32.710,33.248,40,40,1,
6,lucid_revision,n16,B0,2026-09-09T12:59:08Z,2026-09-09T12:59:13Z,0x0,0x0,33.248,31.634,40,40,1,
7,fisvdd_revision,n1,B0,2026-09-09T12:59:13Z,2026-09-09T12:59:18Z,0x0,0x0,31.634,31.634,40,40,1,
8,tinydl_revision,n256,B1,2026-09-09T12:59:18Z,2026-09-09T12:59:22Z,0x0,0x0,31.096,32.172,40,40,1,
9,tinydl_revision,n16,B1,2026-09-09T12:59:22Z,2026-09-09T12:59:27Z,0x0,0x0,32.172,32.172,40,40,1,
10,lucid_revision,n256,B2,2026-09-09T12:59:27Z,2026-09-09T12:59:35Z,0x0,0x0,32.172,35.400,40,40,1,
11,oi_svdd_as_elm_revision,n64,B2,2026-09-09T12:59:35Z,2026-09-09T12:59:40Z,0x0,0x0,35.400,34.324,40,40,1,
12,lucid_revision,n512,B0,2026-09-09T12:59:40Z,2026-09-09T12:59:55Z,0x0,0x0,34.324,34.324,40,40,1,
13,fisvdd_revision,n512,B2,2026-09-09T12:59:55Z,2026-09-09T13:00:00Z,0x0,0x0,34.324,35.400,40,40,1,
14,tinydl_revision,n16,B0,2026-09-09T13:00:00Z,2026-09-09T13:00:04Z,0x0,0x0,34.862,32.710,40,40,1,
15,oi_svdd_as_elm_revision,n512,B1,2026-09-09T13:00:04Z,2026-09-09T13:00:09Z,0x0,0x0,32.710,33.248,40,40,1,
16,lucid_revision,n64,B0,2026-09-09T13:00:09Z,2026-09-09T13:00:14Z,0x0,0x0,34.324,33.248,40,40,1,
17,oi_svdd_as_elm_revision,n256,B1,2026-09-09T13:00:14Z,2026-09-09T13:00:19Z,0x0,0x0,32.710,33.248,40,40,1,
18,tinydl_revision,n1024,B1,2026-09-09T13:00:19Z,2026-09-09T13:00:23Z,0x0,0x0,33.248,34.862,40,40,1,
19,fisvdd_revision,n64,B0,2026-09-09T13:00:23Z,2026-09-09T13:00:28Z,0x0,0x0,33.786,32.710,40,40,1,
20,tinydl_revision,n1,B0,2026-09-09T13:00:28Z,2026-09-09T13:00:33Z,0x0,0x0,32.172,32.172,40,40,1,
21,lucid_revision,n1024,B0,2026-09-09T13:00:33Z,2026-09-09T13:01:02Z,0x0,0x0,32.172,34.324,40,40,1,
22,tinydl_revision,n64,B1,2026-09-09T13:01:02Z,2026-09-09T13:01:07Z,0x0,0x0,34.324,33.786,40,40,1,
23,lucid_revision,n16,B2,2026-09-09T13:01:07Z,2026-09-09T13:01:12Z,0x0,0x0,33.786,34.862,40,40,1,
24,lucid_revision,n256,B1,2026-09-09T13:01:12Z,2026-09-09T13:01:19Z,0x0,0x0,34.324,34.862,40,40,1,
25,lucid_revision,n256,B0,2026-09-09T13:01:19Z,2026-09-09T13:01:26Z,0x0,0x0,34.324,34.324,40,40,1,
26,tinydl_revision,n1024,B0,2026-09-09T13:01:26Z,2026-09-09T13:01:31Z,0x0,0x0,34.862,34.324,40,40,1,
27,oi_svdd_as_elm_revision,n1,B1,2026-09-09T13:01:31Z,2026-09-09T13:01:36Z,0x0,0x0,34.324,33.786,40,40,1,
28,fisvdd_revision,n1,B2,2026-09-09T13:01:36Z,2026-09-09T13:01:40Z,0x0,0x0,34.324,34.324,40,40,1,
29,tinydl_revision,n512,B1,2026-09-09T13:01:40Z,2026-09-09T13:01:45Z,0x0,0x0,34.862,34.324,40,40,1,
30,lucid_revision,n512,B2,2026-09-09T13:01:45Z,2026-09-09T13:01:59Z,0x0,0x0,34.324,36.476,40,40,1,
31,lucid_revision,n64,B1,2026-09-09T13:01:59Z,2026-09-09T13:02:04Z,0x0,0x0,37.014,35.938,40,40,1,
32,lucid_revision,n1,B1,2026-09-09T13:02:04Z,2026-09-09T13:02:09Z,0x0,0x0,35.938,34.862,40,40,1,
33,tinydl_revision,n1,B1,2026-09-09T13:02:09Z,2026-09-09T13:02:13Z,0x0,0x0,34.324,34.324,40,40,1,
34,tinydl_revision,n512,B2,2026-09-09T13:02:13Z,2026-09-09T13:02:18Z,0x0,0x0,34.324,34.862,40,40,1,
35,lucid_revision,n1024,B1,2026-09-09T13:02:18Z,2026-09-09T13:02:47Z,0x0,0x0,35.400,36.476,40,40,1,
36,oi_svdd_as_elm_revision,n256,B2,2026-09-09T13:02:47Z,2026-09-09T13:02:52Z,0x0,0x0,36.476,36.476,40,40,1,
37,fisvdd_revision,n256,B1,2026-09-09T13:02:52Z,2026-09-09T13:02:57Z,0x0,0x0,36.476,35.400,40,40,1,
38,oi_svdd_as_elm_revision,n256,B0,2026-09-09T13:02:57Z,2026-09-09T13:03:02Z,0x0,0x0,35.400,34.324,40,40,1,
39,oi_svdd_as_elm_revision,n16,B2,2026-09-09T13:03:02Z,2026-09-09T13:03:06Z,0x0,0x0,34.324,34.862,40,40,1,
40,lucid_revision,n64,B2,2026-09-09T13:03:06Z,2026-09-09T13:03:11Z,0x0,0x0,34.862,34.862,40,40,1,
41,fisvdd_revision,n16,B1,2026-09-09T13:03:11Z,2026-09-09T13:03:16Z,0x0,0x0,35.400,34.324,40,40,1,
42,tinydl_revision,n256,B0,2026-09-09T13:03:16Z,2026-09-09T13:03:21Z,0x0,0x0,34.324,33.248,40,40,1,
43,oi_svdd_as_elm_revision,n64,B0,2026-09-09T13:03:21Z,2026-09-09T13:03:25Z,0x0,0x0,33.248,32.172,40,40,1,
44,oi_svdd_as_elm_revision,n1,B0,2026-09-09T13:03:25Z,2026-09-09T13:03:30Z,0x0,0x0,32.710,32.172,40,40,1,
45,tinydl_revision,n1024,B2,2026-09-09T13:03:30Z,2026-09-09T13:03:35Z,0x0,0x0,32.710,35.400,40,40,1,
46,fisvdd_revision,n256,B2,2026-09-09T13:03:35Z,2026-09-09T13:03:40Z,0x0,0x0,35.400,35.400,40,40,1,
47,lucid_revision,n512,B1,2026-09-09T13:03:40Z,2026-09-09T13:03:53Z,0x0,0x0,34.862,36.476,40,40,1,
48,fisvdd_revision,n1,B1,2026-09-09T13:03:53Z,2026-09-09T13:03:58Z,0x0,0x0,35.938,34.862,40,40,1,
49,oi_svdd_as_elm_revision,n512,B2,2026-09-09T13:03:58Z,2026-09-09T13:04:03Z,0x0,0x0,34.324,35.938,40,40,1,
50,tinydl_revision,n64,B2,2026-09-09T13:04:03Z,2026-09-09T13:04:08Z,0x0,0x0,35.938,34.862,40,40,1,
51,fisvdd_revision,n64,B1,2026-09-09T13:04:08Z,2026-09-09T13:04:13Z,0x0,0x0,34.862,34.324,40,40,1,
52,oi_svdd_as_elm_revision,n1024,B2,2026-09-09T13:04:13Z,2026-09-09T13:04:17Z,0x0,0x0,34.324,36.476,40,40,1,
53,tinydl_revision,n16,B2,2026-09-09T13:04:17Z,2026-09-09T13:04:22Z,0x0,0x0,36.476,35.400,40,40,1,
54,oi_svdd_as_elm_revision,n16,B0,2026-09-09T13:04:22Z,2026-09-09T13:04:27Z,0x0,0x0,35.400,33.786,40,40,1,
55,oi_svdd_as_elm_revision,n1024,B1,2026-09-09T13:04:27Z,2026-09-09T13:04:32Z,0x0,0x0,33.248,35.938,40,40,1,
56,tinydl_revision,n64,B0,2026-09-09T13:04:32Z,2026-09-09T13:04:36Z,0x0,0x0,35.400,33.248,40,40,1,
57,fisvdd_revision,n1024,B0,2026-09-09T13:04:36Z,2026-09-09T13:04:41Z,0x0,0x0,33.248,33.786,40,40,1,
58,fisvdd_revision,n1024,B1,2026-09-09T13:04:41Z,2026-09-09T13:04:46Z,0x0,0x0,34.324,35.400,40,40,1,
59,tinydl_revision,n512,B0,2026-09-09T13:04:46Z,2026-09-09T13:04:50Z,0x0,0x0,34.862,33.786,40,40,1,
60,lucid_revision,n1024,B2,2026-09-09T13:04:50Z,2026-09-09T13:05:20Z,0x0,0x0,33.248,38.090,40,40,1,
61,fisvdd_revision,n256,B0,2026-09-09T13:05:20Z,2026-09-09T13:05:24Z,0x0,0x0,37.552,34.862,40,40,1,
62,fisvdd_revision,n1024,B2,2026-09-09T13:05:24Z,2026-09-09T13:05:29Z,0x0,0x0,34.862,37.014,40,40,1,
63,tinydl_revision,n256,B2,2026-09-09T13:05:29Z,2026-09-09T13:05:34Z,0x0,0x0,36.476,36.476,40,40,1,
64,oi_svdd_as_elm_revision,n64,B1,2026-09-09T13:05:34Z,2026-09-09T13:05:39Z,0x0,0x0,35.400,34.862,40,40,1,
65,fisvdd_revision,n512,B1,2026-09-09T13:05:39Z,2026-09-09T13:05:44Z,0x0,0x0,34.324,35.400,40,40,1,
66,oi_svdd_as_elm_revision,n1,B2,2026-09-09T13:05:44Z,2026-09-09T13:05:48Z,0x0,0x0,35.400,34.862,40,40,1,
67,fisvdd_revision,n512,B0,2026-09-09T13:05:48Z,2026-09-09T13:05:53Z,0x0,0x0,35.400,34.324,40,40,1,
68,oi_svdd_as_elm_revision,n512,B0,2026-09-09T13:05:53Z,2026-09-09T13:05:58Z,0x0,0x0,33.786,33.786,40,40,1,
69,oi_svdd_as_elm_revision,n1024,B0,2026-09-09T13:05:58Z,2026-09-09T13:06:02Z,0x0,0x0,34.324,34.324,40,40,1,
70,fisvdd_revision,n16,B2,2026-09-09T13:06:02Z,2026-09-09T13:06:07Z,0x0,0x0,34.324,34.862,40,40,1,
71,fisvdd_revision,n16,B0,2026-09-09T13:06:07Z,2026-09-09T13:06:12Z,0x0,0x0,34.862,32.172,40,40,1,
