sample,timestamp_utc,temperature_c,throttled,load1
0,2026-09-09T12:58:10Z,32.172,0x0,0.47314453125
1,2026-09-09T12:58:11Z,31.096,0x0,0.47314453125
2,2026-09-09T12:58:12Z,31.096,0x0,0.43505859375
3,2026-09-09T12:58:13Z,31.096,0x0,0.43505859375
4,2026-09-09T12:58:14Z,31.096,0x0,0.43505859375
5,2026-09-09T12:58:15Z,31.096,0x0,0.43505859375
6,2026-09-09T12:58:16Z,31.096,0x0,0.43505859375
7,2026-09-09T12:58:17Z,31.096,0x0,0.39990234375
8,2026-09-09T12:58:18Z,30.558,0x0,0.39990234375
9,2026-09-09T12:58:19Z,31.096,0x0,0.39990234375
10,2026-09-09T12:58:20Z,30.558,0x0,0.39990234375
11,2026-09-09T12:58:21Z,30.558,0x0,0.39990234375
12,2026-09-09T12:58:22Z,30.558,0x0,0.36767578125
13,2026-09-09T12:58:23Z,30.558,0x0,0.36767578125
14,2026-09-09T12:58:24Z,30.558,0x0,0.36767578125
15,2026-09-09T12:58:25Z,31.096,0x0,0.36767578125
16,2026-09-09T12:58:26Z,31.096,0x0,0.36767578125
17,2026-09-09T12:58:27Z,31.096,0x0,0.337890625
18,2026-09-09T12:58:28Z,30.558,0x0,0.337890625
19,2026-09-09T12:58:29Z,30.558,0x0,0.337890625
20,2026-09-09T12:58:30Z,30.02,0x0,0.337890625
21,2026-09-09T12:58:31Z,30.558,0x0,0.337890625
22,2026-09-09T12:58:32Z,30.558,0x0,0.310546875
23,2026-09-09T12:58:33Z,30.558,0x0,0.310546875
24,2026-09-09T12:58:34Z,31.096,0x0,0.310546875
25,2026-09-09T12:58:35Z,31.096,0x0,0.310546875
26,2026-09-09T12:58:36Z,30.558,0x0,0.310546875
27,2026-09-09T12:58:37Z,30.558,0x0,0.28564453125
28,2026-09-09T12:58:38Z,30.02,0x0,0.28564453125
29,2026-09-09T12:58:39Z,30.02,0x0,0.28564453125
