run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,0,0,2026-09-09T12:30:54Z,7931083470282,lucid_revision,n1024,1024,B2,1.0,31.096,31.634,1400.000,1400.000,1400.000,1400.000,2.659612,84.087626,2.956848,685.996406,0.292550,780.619874,782.399025,680.619874,0.698750180,0.613396431,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,1,1,2026-09-09T12:30:55Z,7931867815175,lucid_revision,n1024,1024,B2,1.0,32.172,32.172,1400.000,1400.000,1400.000,1400.000,1.848369,67.164081,2.087429,607.212119,0.191404,681.625144,683.429034,581.625144,0.687106625,0.605109745,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,2,2,2026-09-09T12:30:55Z,7932553228879,lucid_revision,n1024,1024,B2,1.0,32.710,33.248,1400.000,1400.000,1400.000,1400.000,1.711287,68.241936,1.885399,632.082989,0.191404,707.307777,709.124636,607.307777,0.699075684,0.618255143,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,3,3,2026-09-09T12:30:56Z,7933264326882,lucid_revision,n1024,1024,B2,1.0,32.710,32.710,1400.000,1400.000,1400.000,1400.000,1.719985,70.351343,1.904775,638.768813,0.185727,716.143584,717.929245,616.143584,0.672197777,0.583397153,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,4,4,2026-09-09T12:30:57Z,7933984208505,lucid_revision,n1024,1024,B2,1.0,33.786,33.786,1400.000,1400.000,1400.000,1400.000,1.749672,69.376353,1.951805,634.642393,0.185363,711.513938,713.427619,611.513938,0.664791099,0.572223149,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,5,5,2026-09-09T12:30:57Z,7934699650950,lucid_revision,n1024,1024,B2,1.0,34.324,34.324,1400.000,1400.000,1400.000,1400.000,1.849410,68.859118,1.863317,635.514313,0.196665,711.461804,713.370484,611.461804,0.688289258,0.599393508,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,6,6,2026-09-09T12:30:58Z,7935414999073,lucid_revision,n1024,1024,B2,1.0,33.786,34.324,1400.000,1400.000,1400.000,1400.000,1.801286,67.638243,1.886962,638.396214,0.270935,713.111008,714.906981,613.111008,0.693112617,0.606397251,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,7,7,2026-09-09T12:30:59Z,7936131876089,lucid_revision,n1024,1024,B2,1.0,33.786,34.324,1400.000,1400.000,1400.000,1400.000,1.795140,67.184653,1.896389,637.770751,0.184842,711.959977,713.864387,611.959977,0.693412918,0.611869488,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,8,8,2026-09-09T12:31:00Z,7936847718375,lucid_revision,n1024,1024,B2,1.0,34.324,34.324,1400.000,1400.000,1400.000,1400.000,1.788734,68.069646,1.845244,634.357971,0.192342,709.437240,711.236078,609.437240,0.693686722,0.611511452,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,9,9,2026-09-09T12:31:00Z,7937560937248,lucid_revision,n1024,1024,B2,1.0,34.862,34.324,1400.000,1400.000,1400.000,1400.000,1.720245,67.164394,1.805400,635.601084,0.188592,709.667916,711.584825,609.667916,0.667116642,0.580330359,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,10,10,2026-09-09T12:31:01Z,7938274459191,lucid_revision,n1024,1024,B2,1.0,34.324,34.324,1400.000,1400.000,1400.000,1400.000,1.783890,67.675795,1.868420,638.142937,0.184529,712.843201,714.768600,612.843201,0.673156978,0.578404207,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,11,11,2026-09-09T12:31:02Z,7938991157513,lucid_revision,n1024,1024,B2,1.0,34.324,34.862,1400.000,1400.000,1400.000,1400.000,1.799046,68.097875,1.921077,634.174588,0.195727,709.338909,711.128789,609.338909,0.681452371,0.596843668,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,12,12,2026-09-09T12:31:02Z,7939704313576,lucid_revision,n1024,1024,B2,1.0,34.324,34.324,1400.000,1400.000,1400.000,1400.000,1.738214,67.741263,1.847483,635.060518,0.189322,709.805051,711.631128,609.805051,0.698215238,0.609759932,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,13,13,2026-09-09T12:31:03Z,7940418055988,lucid_revision,n1024,1024,B2,1.0,34.324,35.400,1400.000,1400.000,1400.000,1400.000,1.723318,67.178092,1.849254,635.201871,0.189738,709.317296,711.217435,609.317296,0.695970151,0.613113257,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,14,14,2026-09-09T12:31:04Z,7941131247103,lucid_revision,n1024,1024,B2,1.0,34.862,34.862,1400.000,1400.000,1400.000,1400.000,1.801390,68.196832,1.863838,639.460948,0.185623,714.682248,716.487075,614.682248,0.683359258,0.600121336,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,15,15,2026-09-09T12:31:05Z,7941849784889,lucid_revision,n1024,1024,B2,1.0,35.400,35.400,1400.000,1400.000,1400.000,1400.000,1.738213,67.157519,1.833629,635.407339,0.190675,709.534899,711.474986,609.534899,0.670738758,0.583284406,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,16,16,2026-09-09T12:31:05Z,7942563190535,lucid_revision,n1024,1024,B2,1.0,34.862,35.400,1400.000,1400.000,1400.000,1400.000,1.802692,67.733504,1.904306,638.191221,0.279945,713.086378,714.880789,613.086378,0.675246263,0.582045098,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,17,17,2026-09-09T12:31:06Z,7943279990057,lucid_revision,n1024,1024,B2,1.0,35.400,34.862,1400.000,1400.000,1400.000,1400.000,1.738317,67.079915,1.882170,636.812223,0.186092,710.873273,712.780808,610.873273,0.685304980,0.601260597,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,18,18,2026-09-09T12:31:07Z,7943994698139,lucid_revision,n1024,1024,B2,1.0,35.400,35.400,1400.000,1400.000,1400.000,1400.000,1.780349,68.245739,1.911077,639.673083,0.188592,714.947300,716.750565,614.947300,0.691083984,0.602660347,1
pi3bplus_v2_preflight_20260909T123046Z,pi3bplus,2,0,fit,false,0,19,19,2026-09-09T12:31:07Z,7944713485040,lucid_revision,n1024,1024,B2,1.0,35.400,35.400,1400.000,1400.000,1400.000,1400.000,1.725922,67.221060,1.860973,636.618476,0.194425,710.839108,712.632634,610.839108,0.704278163,0.624229679,1
