split,action,metric,n,rank,value,ecdf
fit,fisvdd_revision,tau_residual_ms,720,1,-6.2999030000000005,0.001388888888888889
fit,fisvdd_revision,tau_residual_ms,720,2,-6.288069,0.002777777777777778
fit,fisvdd_revision,tau_residual_ms,720,3,-6.2769580000000005,0.004166666666666667
fit,fisvdd_revision,tau_residual_ms,720,4,-6.27581,0.005555555555555556
fit,fisvdd_revision,tau_residual_ms,720,5,-6.269792000000001,0.006944444444444444
fit,fisvdd_revision,tau_residual_ms,720,6,-6.268199000000001,0.008333333333333333
fit,fisvdd_revision,tau_residual_ms,720,7,-6.261514,0.009722222222222222
fit,fisvdd_revision,tau_residual_ms,720,8,-6.2542740000000006,0.011111111111111112
fit,fisvdd_revision,tau_residual_ms,720,9,-6.252329,0.0125
fit,fisvdd_revision,tau_residual_ms,720,10,-6.247681,0.013888888888888888
fit,fisvdd_revision,tau_residual_ms,720,11,-6.245088000000001,0.015277777777777777
fit,fisvdd_revision,tau_residual_ms,720,12,-6.239625,0.016666666666666666
fit,fisvdd_revision,tau_residual_ms,720,13,-6.238515,0.018055555555555554
fit,fisvdd_revision,tau_residual_ms,720,14,-6.2307179999999995,0.019444444444444445
fit,fisvdd_revision,tau_residual_ms,720,15,-6.220237000000001,0.020833333333333332
fit,fisvdd_revision,tau_residual_ms,720,16,-6.2172,0.022222222222222223
fit,fisvdd_revision,tau_residual_ms,720,17,-6.2153670000000005,0.02361111111111111
fit,fisvdd_revision,tau_residual_ms,720,18,-6.214349,0.025
fit,fisvdd_revision,tau_residual_ms,720,19,-6.210570000000001,0.02638888888888889
fit,fisvdd_revision,tau_residual_ms,720,20,-6.199922000000001,0.027777777777777776
fit,fisvdd_revision,tau_residual_ms,720,21,-6.189553,0.029166666666666667
fit,fisvdd_revision,tau_residual_ms,720,22,-6.181053,0.030555555555555555
fit,fisvdd_revision,tau_residual_ms,720,23,-6.178609,0.03194444444444444
fit,fisvdd_revision,tau_residual_ms,720,24,-6.1752009999999995,0.03333333333333333
fit,fisvdd_revision,tau_residual_ms,720,25,-6.1751450000000006,0.034722222222222224
fit,fisvdd_revision,tau_residual_ms,720,26,-6.173534,0.03611111111111111
fit,fisvdd_revision,tau_residual_ms,720,27,-6.167127000000001,0.0375
fit,fisvdd_revision,tau_residual_ms,720,28,-6.165534000000001,0.03888888888888889
fit,fisvdd_revision,tau_residual_ms,720,29,-6.163553,0.04027777777777778
fit,fisvdd_revision,tau_residual_ms,720,30,-6.152868,0.041666666666666664
fit,fisvdd_revision,tau_residual_ms,720,31,-6.1500900000000005,0.043055555555555555
fit,fisvdd_revision,tau_residual_ms,720,32,-6.147943,0.044444444444444446
fit,fisvdd_revision,tau_residual_ms,720,33,-6.129091000000001,0.04583333333333333
fit,fisvdd_revision,tau_residual_ms,720,34,-6.119498,0.04722222222222222
fit,fisvdd_revision,tau_residual_ms,720,35,-5.981297,0.04861111111111111
fit,fisvdd_revision,tau_residual_ms,720,36,-5.967371,0.05
fit,fisvdd_revision,tau_residual_ms,720,37,-5.387104000000001,0.05138888888888889
fit,fisvdd_revision,tau_residual_ms,720,38,-5.204330000000001,0.05277777777777778
fit,fisvdd_revision,tau_residual_ms,720,39,-4.807912000000002,0.05416666666666667
fit,fisvdd_revision,tau_residual_ms,720,40,-4.772172000000001,0.05555555555555555
fit,fisvdd_revision,tau_residual_ms,720,41,-4.742449000000001,0.05694444444444444
fit,fisvdd_revision,tau_residual_ms,720,42,-4.738839000000002,0.058333333333333334
fit,fisvdd_revision,tau_residual_ms,720,43,-4.738283000000003,0.059722222222222225
fit,fisvdd_revision,tau_residual_ms,720,44,-4.737375,0.06111111111111111
fit,fisvdd_revision,tau_residual_ms,720,45,-4.7288580000000024,0.0625
fit,fisvdd_revision,tau_residual_ms,720,46,-4.727024,0.06388888888888888
fit,fisvdd_revision,tau_residual_ms,720,47,-4.722913000000002,0.06527777777777778
fit,fisvdd_revision,tau_residual_ms,720,48,-4.721783000000002,0.06666666666666667
fit,fisvdd_revision,tau_residual_ms,720,49,-4.713488000000002,0.06805555555555555
fit,fisvdd_revision,tau_residual_ms,720,50,-4.7083210000000015,0.06944444444444445
fit,fisvdd_revision,tau_residual_ms,720,51,-4.689599000000001,0.07083333333333333
fit,fisvdd_revision,tau_residual_ms,720,52,-4.6735250000000015,0.07222222222222222
fit,fisvdd_revision,tau_residual_ms,720,53,-4.646304000000001,0.07361111111111111
fit,fisvdd_revision,tau_residual_ms,720,54,-4.646267000000002,0.075
fit,fisvdd_revision,tau_residual_ms,720,55,-4.639822000000002,0.0763888888888889
fit,fisvdd_revision,tau_residual_ms,720,56,-4.635637000000003,0.07777777777777778
fit,fisvdd_revision,tau_residual_ms,720,57,-4.627471,0.07916666666666666
fit,fisvdd_revision,tau_residual_ms,720,58,-4.622619,0.08055555555555556
fit,fisvdd_revision,tau_residual_ms,720,59,-4.620804000000003,0.08194444444444444
fit,fisvdd_revision,tau_residual_ms,720,60,-4.600786000000003,0.08333333333333333
fit,fisvdd_revision,tau_residual_ms,720,61,-4.592286000000001,0.08472222222222223
fit,fisvdd_revision,tau_residual_ms,720,62,-4.591157000000003,0.08611111111111111
fit,fisvdd_revision,tau_residual_ms,720,63,-4.5887860000000025,0.0875
fit,fisvdd_revision,tau_residual_ms,720,64,-4.5862680000000005,0.08888888888888889
fit,fisvdd_revision,tau_residual_ms,720,65,-4.55312,0.09027777777777778
fit,fisvdd_revision,tau_residual_ms,720,66,-4.551231000000001,0.09166666666666666
fit,fisvdd_revision,tau_residual_ms,720,67,-4.529491,0.09305555555555556
fit,fisvdd_revision,tau_residual_ms,720,68,-4.502825000000001,0.09444444444444444
fit,fisvdd_revision,tau_residual_ms,720,69,-4.4876770000000015,0.09583333333333334
fit,fisvdd_revision,tau_residual_ms,720,70,-4.450066000000003,0.09722222222222222
fit,fisvdd_revision,tau_residual_ms,720,71,-4.3921230000000016,0.09861111111111111
fit,fisvdd_revision,tau_residual_ms,720,72,-4.357235000000003,0.1
fit,fisvdd_revision,tau_residual_ms,720,73,-4.188238000000002,0.10138888888888889
fit,fisvdd_revision,tau_residual_ms,720,74,-4.156905,0.10277777777777777
fit,fisvdd_revision,tau_residual_ms,720,75,-4.141461000000003,0.10416666666666667
fit,fisvdd_revision,tau_residual_ms,720,76,-4.141275,0.10555555555555556
fit,fisvdd_revision,tau_residual_ms,720,77,-4.0750550000000025,0.10694444444444444
fit,fisvdd_revision,tau_residual_ms,720,78,-4.025112,0.10833333333333334
fit,fisvdd_revision,tau_residual_ms,720,79,-3.3202909999999974,0.10972222222222222
fit,fisvdd_revision,tau_residual_ms,720,80,-3.2642179999999996,0.1111111111111111
fit,fisvdd_revision,tau_residual_ms,720,81,-3.254847999999999,0.1125
fit,fisvdd_revision,tau_residual_ms,720,82,-3.2541999999999973,0.11388888888888889
fit,fisvdd_revision,tau_residual_ms,720,83,-3.245384999999999,0.11527777777777778
fit,fisvdd_revision,tau_residual_ms,720,84,-3.2239039999999974,0.11666666666666667
fit,fisvdd_revision,tau_residual_ms,720,85,-3.210144999999997,0.11805555555555555
fit,fisvdd_revision,tau_residual_ms,720,86,-3.195089999999997,0.11944444444444445
fit,fisvdd_revision,tau_residual_ms,720,87,-3.193904,0.12083333333333333
fit,fisvdd_revision,tau_residual_ms,720,88,-3.1827189999999987,0.12222222222222222
fit,fisvdd_revision,tau_residual_ms,720,89,-3.176368,0.12361111111111112
fit,fisvdd_revision,tau_residual_ms,720,90,-3.1720159999999993,0.125
fit,fisvdd_revision,tau_residual_ms,720,91,-3.161942,0.12638888888888888
fit,fisvdd_revision,tau_residual_ms,720,92,-3.1458869999999983,0.12777777777777777
fit,fisvdd_revision,tau_residual_ms,720,93,-3.1449979999999975,0.12916666666666668
fit,fisvdd_revision,tau_residual_ms,720,94,-3.1326459999999976,0.13055555555555556
fit,fisvdd_revision,tau_residual_ms,720,95,-3.1325719999999997,0.13194444444444445
fit,fisvdd_revision,tau_residual_ms,720,96,-3.123776999999997,0.13333333333333333
fit,fisvdd_revision,tau_residual_ms,720,97,-3.118461,0.13472222222222222
fit,fisvdd_revision,tau_residual_ms,720,98,-3.1104619999999983,0.1361111111111111
fit,fisvdd_revision,tau_residual_ms,720,99,-3.103368999999997,0.1375
