block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,lucid_revision,n16,B0,2026-09-10T13:05:32Z,2026-09-10T13:05:33Z,0x0,0x0,34.563,33.589,5,5,1,
1,lucid_revision,n64,B0,2026-09-10T13:05:33Z,2026-09-10T13:05:33Z,0x0,0x0,33.589,33.102,5,5,1,
2,lucid_revision,n512,B2,2026-09-10T13:05:33Z,2026-09-10T13:05:35Z,0x0,0x0,33.102,35.537,5,5,1,
3,oi_svdd_as_elm_revision,n1,B0,2026-09-10T13:05:35Z,2026-09-10T13:05:35Z,0x0,0x0,35.537,34.563,5,5,1,
4,fisvdd_revision,n1024,B1,2026-09-10T13:05:35Z,2026-09-10T13:05:36Z,0x0,0x0,34.563,35.050,5,5,1,
5,oi_svdd_as_elm_revision,n512,B2,2026-09-10T13:05:36Z,2026-09-10T13:05:36Z,0x0,0x0,35.050,34.076,5,5,1,
6,tinydl_revision,n256,B0,2026-09-10T13:05:36Z,2026-09-10T13:05:37Z,0x0,0x0,34.076,33.589,5,5,1,
7,oi_svdd_as_elm_revision,n16,B2,2026-09-10T13:05:37Z,2026-09-10T13:05:38Z,0x0,0x0,33.589,35.050,5,5,1,
8,lucid_revision,n512,B1,2026-09-10T13:05:38Z,2026-09-10T13:05:39Z,0x0,0x0,35.050,36.511,5,5,1,
9,fisvdd_revision,n512,B0,2026-09-10T13:05:39Z,2026-09-10T13:05:39Z,0x0,0x0,36.511,35.050,5,5,1,
10,tinydl_revision,n64,B1,2026-09-10T13:05:39Z,2026-09-10T13:05:40Z,0x0,0x0,35.050,35.537,5,5,1,
11,lucid_revision,n1024,B2,2026-09-10T13:05:40Z,2026-09-10T13:05:42Z,0x0,0x0,35.537,36.024,5,5,1,
