run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,0,0,0,2026-09-10T13:05:32Z,171667997399044,lucid_revision,n16,16,B0,0.0,35.050,33.102,1800.000,1800.000,1800.000,1800.000,0.941501,0.622081,0.211330,5.043907,0.126942,7.157923,101.099839,0.000000,0.695242112,0.589085774,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,0,1,1,2026-09-10T13:05:32Z,171668098865505,lucid_revision,n16,16,B0,0.0,33.102,33.589,1800.000,1800.000,1800.000,1800.000,0.784448,0.607804,0.208385,4.269143,0.092924,6.154017,101.096932,0.000000,0.778853433,0.748287612,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,0,2,2,2026-09-10T13:05:33Z,171668200354745,lucid_revision,n16,16,B0,0.0,33.589,34.076,1800.000,1800.000,1800.000,1800.000,0.788782,0.538064,0.194626,4.241847,0.090073,6.030981,101.106524,0.000000,0.637752703,0.532339777,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,0,3,3,2026-09-10T13:05:33Z,171668301804244,lucid_revision,n16,16,B0,0.0,34.076,33.102,1800.000,1800.000,1800.000,1800.000,0.768634,0.540804,0.197459,4.242181,0.089091,6.014944,101.074524,0.000000,0.651448947,0.568166634,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,0,4,4,2026-09-10T13:05:33Z,171668403215336,lucid_revision,n16,16,B0,0.0,33.102,33.589,1800.000,1800.000,1800.000,1800.000,0.822133,0.537064,0.203404,4.207923,0.089350,6.041055,101.119801,0.000000,0.795733907,0.703775722,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,1,0,5,2026-09-10T13:05:33Z,171668559082572,lucid_revision,n64,64,B0,0.0,33.589,34.076,1800.000,1800.000,1800.000,1800.000,0.849985,1.897225,0.273810,19.962503,0.093295,23.307718,101.084673,0.000000,0.684080138,0.632861520,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,1,1,6,2026-09-10T13:05:33Z,171668660545219,lucid_revision,n64,64,B0,0.0,34.076,33.589,1800.000,1800.000,1800.000,1800.000,0.788134,1.745246,0.254662,17.719340,0.088461,20.843782,101.049229,0.000000,0.655614944,0.556026051,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,1,2,7,2026-09-10T13:05:33Z,171668761971404,lucid_revision,n64,64,B0,0.0,33.589,33.589,1800.000,1800.000,1800.000,1800.000,0.782171,1.792781,0.253717,18.897596,0.140460,22.117147,101.053303,0.000000,0.690023525,0.610271450,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,1,3,8,2026-09-10T13:05:33Z,171668863421718,lucid_revision,n64,64,B0,0.0,33.589,34.076,1800.000,1800.000,1800.000,1800.000,0.855873,1.719598,0.251829,19.045037,0.089110,22.215923,100.924138,0.000000,0.642482481,0.529412672,1
pi4b8_dev_fit_smoke_20260910,pi4b8g,2,1,fit,false,1,4,9,2026-09-10T13:05:33Z,171668964753200,lucid_revision,n64,64,B0,0.0,34.076,33.589,1800.000,1800.000,1800.000,1800.000,0.781208,1.700802,0.253717,18.954317,0.088517,22.027168,101.041655,0.000000,0.718408371,0.642035583,1
