block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,tinydl_revision,n256,B0,2026-09-10T13:21:23Z,2026-09-10T13:21:28Z,0x0,0x0,34.563,34.563,40,40,1,
1,tinydl_revision,n16,B1,2026-09-10T13:21:28Z,2026-09-10T13:21:32Z,0x0,0x0,35.050,36.024,40,40,1,
2,fisvdd_revision,n64,B2,2026-09-10T13:21:32Z,2026-09-10T13:21:37Z,0x0,0x0,36.024,37.972,40,40,1,
3,oi_svdd_as_elm_revision,n1024,B0,2026-09-10T13:21:37Z,2026-09-10T13:21:42Z,0x0,0x0,37.972,37.972,40,40,1,
4,lucid_revision,n1,B1,2026-09-10T13:21:42Z,2026-09-10T13:21:46Z,0x0,0x0,37.972,37.972,40,40,1,
5,tinydl_revision,n16,B2,2026-09-10T13:21:46Z,2026-09-10T13:21:51Z,0x0,0x0,37.972,36.998,40,40,1,
6,oi_svdd_as_elm_revision,n512,B1,2026-09-10T13:21:51Z,2026-09-10T13:21:56Z,0x0,0x0,36.998,36.998,40,40,1,
7,tinydl_revision,n1024,B2,2026-09-10T13:21:56Z,2026-09-10T13:22:00Z,0x0,0x0,36.998,38.459,40,40,1,
8,tinydl_revision,n1,B1,2026-09-10T13:22:00Z,2026-09-10T13:22:05Z,0x0,0x0,38.459,36.998,40,40,1,
9,fisvdd_revision,n256,B1,2026-09-10T13:22:05Z,2026-09-10T13:22:10Z,0x0,0x0,36.998,37.485,40,40,1,
10,fisvdd_revision,n64,B0,2026-09-10T13:22:10Z,2026-09-10T13:22:14Z,0x0,0x0,37.485,36.511,40,40,1,
11,lucid_revision,n256,B2,2026-09-10T13:22:14Z,2026-09-10T13:22:19Z,0x0,0x0,36.511,38.946,40,40,1,
12,oi_svdd_as_elm_revision,n64,B1,2026-09-10T13:22:19Z,2026-09-10T13:22:24Z,0x0,0x0,38.946,37.972,40,40,1,
13,lucid_revision,n256,B0,2026-09-10T13:22:24Z,2026-09-10T13:22:28Z,0x0,0x0,37.972,39.433,40,40,1,
14,tinydl_revision,n256,B1,2026-09-10T13:22:28Z,2026-09-10T13:22:33Z,0x0,0x0,39.433,37.485,40,40,1,
15,tinydl_revision,n64,B2,2026-09-10T13:22:33Z,2026-09-10T13:22:37Z,0x0,0x0,37.485,37.972,40,40,1,
16,lucid_revision,n16,B0,2026-09-10T13:22:37Z,2026-09-10T13:22:42Z,0x0,0x0,37.972,36.998,40,40,1,
17,lucid_revision,n512,B2,2026-09-10T13:22:42Z,2026-09-10T13:22:49Z,0x0,0x0,36.998,40.894,40,40,1,
18,oi_svdd_as_elm_revision,n256,B0,2026-09-10T13:22:49Z,2026-09-10T13:22:54Z,0x0,0x0,40.894,36.998,40,40,1,
19,fisvdd_revision,n1,B0,2026-09-10T13:22:54Z,2026-09-10T13:22:58Z,0x0,0x0,36.998,37.485,40,40,1,
20,fisvdd_revision,n1024,B2,2026-09-10T13:22:58Z,2026-09-10T13:23:03Z,0x0,0x0,37.485,39.920,40,40,1,
21,tinydl_revision,n512,B1,2026-09-10T13:23:03Z,2026-09-10T13:23:08Z,0x0,0x0,39.920,38.459,40,40,1,
22,tinydl_revision,n64,B1,2026-09-10T13:23:08Z,2026-09-10T13:23:12Z,0x0,0x0,38.459,36.511,40,40,1,
23,fisvdd_revision,n512,B0,2026-09-10T13:23:12Z,2026-09-10T13:23:17Z,0x0,0x0,36.511,37.485,40,40,1,
24,oi_svdd_as_elm_revision,n256,B2,2026-09-10T13:23:17Z,2026-09-10T13:23:22Z,0x0,0x0,37.485,40.894,40,40,1,
25,oi_svdd_as_elm_revision,n16,B1,2026-09-10T13:23:22Z,2026-09-10T13:23:26Z,0x0,0x0,40.894,38.946,40,40,1,
26,fisvdd_revision,n512,B2,2026-09-10T13:23:26Z,2026-09-10T13:23:31Z,0x0,0x0,37.972,39.433,40,40,1,
27,tinydl_revision,n64,B0,2026-09-10T13:23:31Z,2026-09-10T13:23:35Z,0x0,0x0,39.433,36.511,40,40,1,
