run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,0,0,2026-09-10T13:21:24Z,172619330352548,tinydl_revision,n256,256,B0,0.0,35.050,34.563,1800.000,1800.000,1800.000,1800.000,0.959335,7.682329,0.439992,3.449254,0.124071,13.225806,101.084419,0.000000,0.665547763,0.649367287,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,1,1,2026-09-10T13:21:24Z,172619431953551,tinydl_revision,n256,256,B0,0.0,34.563,34.076,1800.000,1800.000,1800.000,1800.000,0.892947,6.941193,0.438733,3.425274,0.098109,12.460115,101.082141,0.000000,0.685525381,0.651012268,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,2,2,2026-09-10T13:21:24Z,172619533556961,tinydl_revision,n256,256,B0,0.0,34.076,35.050,1800.000,1800.000,1800.000,1800.000,0.845911,6.786919,0.404845,3.475551,0.099980,12.205176,101.087234,0.000000,0.723391826,0.685520764,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,3,3,2026-09-10T13:21:24Z,172619635146723,tinydl_revision,n256,256,B0,0.0,35.050,34.563,1800.000,1800.000,1800.000,1800.000,0.872374,6.730604,0.416511,3.464921,0.095535,12.175306,101.111456,0.000000,0.705336526,0.658394627,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,4,4,2026-09-10T13:21:24Z,172619736766393,tinydl_revision,n256,256,B0,0.0,34.563,35.050,1800.000,1800.000,1800.000,1800.000,0.824281,6.747938,0.411030,3.439532,0.095480,12.122566,100.899793,0.000000,0.654582577,0.639510518,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,5,5,2026-09-10T13:21:24Z,172619838205528,tinydl_revision,n256,256,B0,0.0,35.050,34.563,1800.000,1800.000,1800.000,1800.000,0.810912,6.805270,0.407197,3.452625,0.098739,12.172047,101.084030,0.000000,0.669470189,0.627332444,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,6,6,2026-09-10T13:21:24Z,172619939806586,tinydl_revision,n256,256,B0,0.0,34.563,34.563,1800.000,1800.000,1800.000,1800.000,0.879633,6.783160,0.409864,3.385737,0.129553,12.234398,101.097846,0.000000,0.677675582,0.670046619,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,7,7,2026-09-10T13:21:24Z,172620041414608,tinydl_revision,n256,256,B0,0.0,34.563,34.563,1800.000,1800.000,1800.000,1800.000,0.805653,6.813658,0.398956,3.439532,0.095591,12.128936,101.073808,0.000000,0.666093188,0.634548858,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,8,8,2026-09-10T13:21:25Z,172620142993407,tinydl_revision,n256,256,B0,0.0,34.563,35.050,1800.000,1800.000,1800.000,1800.000,0.811986,6.845250,0.404122,3.490921,0.095832,12.242879,101.122660,0.000000,0.672399980,0.632564047,1
pi4b8_coverage_20260910,pi4b8g,2,1,coverage,true,0,9,9,2026-09-10T13:21:25Z,172620244619521,tinydl_revision,n256,256,B0,0.0,35.050,33.589,1800.000,1800.000,1800.000,1800.000,0.820060,6.906991,0.400105,3.432977,0.096905,12.219323,101.084345,0.000000,0.705115130,0.666181010,1
