block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,lucid_revision,n16,B0,2026-09-10T13:06:52Z,2026-09-10T13:06:57Z,0x0,0x0,32.128,32.615,40,40,1,
1,lucid_revision,n64,B0,2026-09-10T13:06:57Z,2026-09-10T13:07:01Z,0x0,0x0,32.615,33.102,40,40,1,
2,lucid_revision,n512,B2,2026-09-10T13:07:01Z,2026-09-10T13:07:08Z,0x0,0x0,33.102,36.998,40,40,1,
3,oi_svdd_as_elm_revision,n1,B0,2026-09-10T13:07:08Z,2026-09-10T13:07:13Z,0x0,0x0,36.998,34.563,40,40,1,
4,fisvdd_revision,n1024,B1,2026-09-10T13:07:13Z,2026-09-10T13:07:18Z,0x0,0x0,34.563,36.511,40,40,1,
5,oi_svdd_as_elm_revision,n512,B2,2026-09-10T13:07:18Z,2026-09-10T13:07:22Z,0x0,0x0,36.511,36.998,40,40,1,
6,tinydl_revision,n256,B0,2026-09-10T13:07:22Z,2026-09-10T13:07:27Z,0x0,0x0,36.998,34.076,40,40,1,
7,oi_svdd_as_elm_revision,n16,B2,2026-09-10T13:07:27Z,2026-09-10T13:07:32Z,0x0,0x0,34.076,36.024,40,40,1,
8,lucid_revision,n512,B1,2026-09-10T13:07:32Z,2026-09-10T13:07:39Z,0x0,0x0,36.024,38.459,40,40,1,
9,fisvdd_revision,n512,B0,2026-09-10T13:07:39Z,2026-09-10T13:07:43Z,0x0,0x0,38.459,36.511,40,40,1,
10,tinydl_revision,n64,B1,2026-09-10T13:07:43Z,2026-09-10T13:07:48Z,0x0,0x0,36.511,36.024,40,40,1,
11,lucid_revision,n1024,B2,2026-09-10T13:07:48Z,2026-09-10T13:08:01Z,0x0,0x0,36.024,40.407,40,40,1,
12,fisvdd_revision,n1,B2,2026-09-10T13:08:01Z,2026-09-10T13:08:06Z,0x0,0x0,40.407,38.459,40,40,1,
13,oi_svdd_as_elm_revision,n64,B2,2026-09-10T13:08:06Z,2026-09-10T13:08:10Z,0x0,0x0,38.459,38.946,40,40,1,
14,tinydl_revision,n1,B1,2026-09-10T13:08:10Z,2026-09-10T13:08:15Z,0x0,0x0,38.946,37.485,40,40,1,
15,tinydl_revision,n512,B1,2026-09-10T13:08:15Z,2026-09-10T13:08:20Z,0x0,0x0,37.485,37.972,40,40,1,
16,tinydl_revision,n16,B2,2026-09-10T13:08:20Z,2026-09-10T13:08:24Z,0x0,0x0,37.972,38.459,40,40,1,
17,tinydl_revision,n512,B2,2026-09-10T13:08:24Z,2026-09-10T13:08:29Z,0x0,0x0,38.459,37.972,40,40,1,
18,oi_svdd_as_elm_revision,n256,B2,2026-09-10T13:08:29Z,2026-09-10T13:08:34Z,0x0,0x0,37.972,39.920,40,40,1,
19,tinydl_revision,n64,B0,2026-09-10T13:08:34Z,2026-09-10T13:08:38Z,0x0,0x0,38.946,36.024,40,40,1,
20,tinydl_revision,n64,B2,2026-09-10T13:08:38Z,2026-09-10T13:08:43Z,0x0,0x0,36.024,38.946,40,40,1,
21,tinydl_revision,n512,B0,2026-09-10T13:08:43Z,2026-09-10T13:08:48Z,0x0,0x0,38.946,36.511,40,40,1,
22,tinydl_revision,n1024,B1,2026-09-10T13:08:48Z,2026-09-10T13:08:52Z,0x0,0x0,36.511,38.946,40,40,1,
23,lucid_revision,n1,B0,2026-09-10T13:08:52Z,2026-09-10T13:08:57Z,0x0,0x0,38.946,36.511,40,40,1,
24,lucid_revision,n256,B0,2026-09-10T13:08:57Z,2026-09-10T13:09:01Z,0x0,0x0,36.511,36.998,40,40,1,
25,oi_svdd_as_elm_revision,n1024,B0,2026-09-10T13:09:01Z,2026-09-10T13:09:06Z,0x0,0x0,36.998,39.433,40,40,1,
26,tinydl_revision,n256,B2,2026-09-10T13:09:06Z,2026-09-10T13:09:11Z,0x0,0x0,39.433,37.972,40,40,1,
27,oi_svdd_as_elm_revision,n1024,B1,2026-09-10T13:09:11Z,2026-09-10T13:09:15Z,0x0,0x0,37.972,39.920,40,40,1,
28,lucid_revision,n512,B0,2026-09-10T13:09:15Z,2026-09-10T13:09:21Z,0x0,0x0,39.920,38.946,40,40,1,
29,lucid_revision,n1,B2,2026-09-10T13:09:21Z,2026-09-10T13:09:26Z,0x0,0x0,38.946,38.459,40,40,1,
30,fisvdd_revision,n16,B0,2026-09-10T13:09:26Z,2026-09-10T13:09:31Z,0x0,0x0,38.459,36.511,40,40,1,
31,fisvdd_revision,n256,B0,2026-09-10T13:09:31Z,2026-09-10T13:09:35Z,0x0,0x0,36.511,37.972,40,40,1,
32,lucid_revision,n1024,B1,2026-09-10T13:09:35Z,2026-09-10T13:09:48Z,0x0,0x0,37.972,40.407,40,40,1,
33,lucid_revision,n64,B2,2026-09-10T13:09:48Z,2026-09-10T13:09:53Z,0x0,0x0,40.407,40.407,40,40,1,
34,tinydl_revision,n1024,B0,2026-09-10T13:09:53Z,2026-09-10T13:09:58Z,0x0,0x0,40.407,36.998,40,40,1,
