sample,timestamp_utc,temperature_c,throttled,load1
0,2026-09-10T13:06:23Z,33.589,0x0,0.34033203125
1,2026-09-10T13:06:24Z,34.563,0x0,0.34033203125
2,2026-09-10T13:06:25Z,33.102,0x0,0.34033203125
3,2026-09-10T13:06:26Z,32.615,0x0,0.34033203125
4,2026-09-10T13:06:27Z,34.076,0x0,0.31298828125
5,2026-09-10T13:06:28Z,32.615,0x0,0.31298828125
6,2026-09-10T13:06:29Z,33.102,0x0,0.31298828125
7,2026-09-10T13:06:30Z,33.102,0x0,0.31298828125
8,2026-09-10T13:06:31Z,32.128,0x0,0.31298828125
9,2026-09-10T13:06:32Z,32.615,0x0,0.28759765625
10,2026-09-10T13:06:33Z,32.615,0x0,0.28759765625
11,2026-09-10T13:06:34Z,33.102,0x0,0.28759765625
12,2026-09-10T13:06:35Z,33.102,0x0,0.28759765625
13,2026-09-10T13:06:36Z,33.589,0x0,0.28759765625
14,2026-09-10T13:06:37Z,32.615,0x0,0.26416015625
15,2026-09-10T13:06:38Z,32.615,0x0,0.26416015625
16,2026-09-10T13:06:39Z,32.615,0x0,0.26416015625
17,2026-09-10T13:06:40Z,32.128,0x0,0.26416015625
18,2026-09-10T13:06:41Z,32.615,0x0,0.26416015625
19,2026-09-10T13:06:42Z,32.615,0x0,0.24267578125
20,2026-09-10T13:06:43Z,32.615,0x0,0.24267578125
21,2026-09-10T13:06:44Z,32.615,0x0,0.24267578125
22,2026-09-10T13:06:45Z,32.615,0x0,0.24267578125
23,2026-09-10T13:06:46Z,33.102,0x0,0.24267578125
24,2026-09-10T13:06:47Z,31.641,0x0,0.22314453125
25,2026-09-10T13:06:48Z,31.641,0x0,0.22314453125
26,2026-09-10T13:06:49Z,33.102,0x0,0.22314453125
27,2026-09-10T13:06:50Z,33.102,0x0,0.22314453125
28,2026-09-10T13:06:51Z,32.128,0x0,0.22314453125
29,2026-09-10T13:06:52Z,31.641,0x0,0.205078125
