run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,0,0,2026-09-10T13:06:53Z,171748376665106,lucid_revision,n16,16,B0,0.0,32.615,34.076,1800.000,1800.000,1800.000,1800.000,1.010834,0.641970,0.213200,4.902169,0.129146,7.124905,101.106153,0.000000,0.695242112,0.589085774,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,1,1,2026-09-10T13:06:53Z,171748478124715,lucid_revision,n16,16,B0,0.0,34.076,32.128,1800.000,1800.000,1800.000,1800.000,0.783393,0.563175,0.208071,4.316050,0.094387,6.155535,101.093599,0.000000,0.778853433,0.748287612,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,2,2,2026-09-10T13:06:53Z,171748579559604,lucid_revision,n16,16,B0,0.0,32.128,31.641,1800.000,1800.000,1800.000,1800.000,0.856633,0.564415,0.197386,4.245033,0.096424,6.138090,101.123134,0.000000,0.637752703,0.532339777,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,3,3,2026-09-10T13:06:53Z,171748681027713,lucid_revision,n16,16,B0,0.0,31.641,32.615,1800.000,1800.000,1800.000,1800.000,0.772282,0.550768,0.197200,4.202515,0.090536,5.990909,101.112562,0.000000,0.651448947,0.568166634,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,4,4,2026-09-10T13:06:53Z,171748782469028,lucid_revision,n16,16,B0,0.0,32.615,32.615,1800.000,1800.000,1800.000,1800.000,0.776004,0.557638,0.259643,4.205293,0.090721,6.068962,100.910879,0.000000,0.795733907,0.703775722,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,5,5,2026-09-10T13:06:53Z,171748883743511,lucid_revision,n16,16,B0,0.0,32.615,32.615,1800.000,1800.000,1800.000,1800.000,0.830633,0.560452,0.201737,4.218940,0.094332,6.080981,101.104728,0.000000,0.542964949,0.476344434,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,6,6,2026-09-10T13:06:53Z,171748985190955,lucid_revision,n16,16,B0,0.0,33.102,31.641,1800.000,1800.000,1800.000,1800.000,0.776097,0.556452,0.197607,4.206256,0.089794,6.002074,101.078561,0.000000,0.725790313,0.698592805,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,7,7,2026-09-10T13:06:53Z,171749086613306,lucid_revision,n16,16,B0,0.0,31.641,32.615,1800.000,1800.000,1800.000,1800.000,0.771689,0.552656,0.198274,4.254663,0.091573,6.118517,101.074580,0.000000,0.748108365,0.670063632,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,8,8,2026-09-10T13:06:54Z,171749188065139,lucid_revision,n16,16,B0,0.0,32.615,33.102,1800.000,1800.000,1800.000,1800.000,0.788059,0.576378,0.196404,4.194941,0.090424,6.022111,101.079191,0.000000,0.719456925,0.686445210,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,9,9,2026-09-10T13:06:54Z,171749289475527,lucid_revision,n16,16,B0,0.0,33.102,32.615,1800.000,1800.000,1800.000,1800.000,0.768060,0.567101,0.193089,4.216996,0.090035,6.009575,101.077266,0.000000,0.705647041,0.645334287,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,10,10,2026-09-10T13:06:54Z,171749390885749,lucid_revision,n16,16,B0,0.0,32.615,32.615,1800.000,1800.000,1800.000,1800.000,0.774837,0.620693,0.198367,4.204589,0.090554,6.069481,101.086747,0.000000,0.645552945,0.545854198,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,11,11,2026-09-10T13:06:54Z,171749492346526,lucid_revision,n16,16,B0,0.0,32.615,32.128,1800.000,1800.000,1800.000,1800.000,0.789801,0.555267,0.200071,4.200904,0.091165,6.016907,101.094821,0.000000,0.710391988,0.599858639,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,12,12,2026-09-10T13:06:54Z,171749593774507,lucid_revision,n16,16,B0,0.0,32.128,33.589,1800.000,1800.000,1800.000,1800.000,0.771227,0.558064,0.194570,4.216089,0.090609,6.006945,101.081784,0.000000,0.560867803,0.433057078,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,13,13,2026-09-10T13:06:54Z,171749695217784,lucid_revision,n16,16,B0,0.0,33.589,32.128,1800.000,1800.000,1800.000,1800.000,0.828615,0.563453,0.196793,4.198960,0.090591,6.056555,101.117338,0.000000,0.665098312,0.621094318,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,14,14,2026-09-10T13:06:54Z,171749796702838,lucid_revision,n16,16,B0,0.0,32.128,32.128,1800.000,1800.000,1800.000,1800.000,0.789949,0.549045,0.195052,4.196830,0.090646,6.000278,100.891713,0.000000,0.862282839,0.758701561,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,15,15,2026-09-10T13:06:54Z,171749897957692,lucid_revision,n16,16,B0,0.0,32.128,31.641,1800.000,1800.000,1800.000,1800.000,0.766541,0.565601,0.198422,4.228867,0.090517,6.019371,101.078414,0.000000,0.694237556,0.603845946,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,16,16,2026-09-10T13:06:54Z,171749999376099,lucid_revision,n16,16,B0,0.0,31.641,34.076,1800.000,1800.000,1800.000,1800.000,0.828652,0.566748,0.197015,4.202552,0.091276,6.066611,101.124932,0.000000,0.538475392,0.457443977,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,17,17,2026-09-10T13:06:54Z,171750100834506,lucid_revision,n16,16,B0,0.0,34.076,32.128,1800.000,1800.000,1800.000,1800.000,0.767356,0.555490,0.194423,4.201867,0.089536,5.985575,101.070302,0.000000,0.713855451,0.593964311,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,18,18,2026-09-10T13:06:55Z,171750202241450,lucid_revision,n16,16,B0,0.0,32.128,32.128,1800.000,1800.000,1800.000,1800.000,0.763208,0.557305,0.194293,4.255847,0.090683,6.041055,101.072988,0.000000,0.727128470,0.626680673,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,19,19,2026-09-10T13:06:55Z,171750303644246,lucid_revision,n16,16,B0,0.0,32.128,33.102,1800.000,1800.000,1800.000,1800.000,0.823429,0.564637,0.197015,4.210608,0.091442,6.061740,101.104358,0.000000,0.564168927,0.470083282,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,20,20,2026-09-10T13:06:55Z,171750405083912,lucid_revision,n16,16,B0,0.0,33.102,32.615,1800.000,1800.000,1800.000,1800.000,0.763930,0.555249,0.195940,4.203737,0.089369,5.985612,101.080673,0.000000,0.564777075,0.426922421,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,21,21,2026-09-10T13:06:55Z,171750506492338,lucid_revision,n16,16,B0,0.0,32.615,33.589,1800.000,1800.000,1800.000,1800.000,0.775097,0.558175,0.252977,4.209644,0.091758,6.065370,101.077691,0.000000,0.692686762,0.664123876,1
pi4b8_fit_20260910_v3,pi4b8g,2,1,fit,true,0,22,22,2026-09-10T13:06:55Z,171750607905097,lucid_revision,n16,16,B0,0.0,33.589,32.615,1800.000,1800.000,1800.000,1800.000,0.826022,0.559953,0.193941,4.207737,0.090184,6.055388,101.092506,0.000000,0.797123295,0.712635273,1
