block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
0,oi_svdd_as_elm_revision,n16,B1,2026-09-10T13:13:59Z,2026-09-10T13:14:03Z,0x0,0x0,34.563,35.537,40,40,1,
1,lucid_revision,n1,B0,2026-09-10T13:14:03Z,2026-09-10T13:14:08Z,0x0,0x0,35.537,34.563,40,40,1,
2,fisvdd_revision,n64,B2,2026-09-10T13:14:08Z,2026-09-10T13:14:13Z,0x0,0x0,34.563,36.511,40,40,1,
3,tinydl_revision,n1,B2,2026-09-10T13:14:13Z,2026-09-10T13:14:17Z,0x0,0x0,36.511,36.998,40,40,1,
4,lucid_revision,n16,B1,2026-09-10T13:14:17Z,2026-09-10T13:14:22Z,0x0,0x0,36.998,36.998,40,40,1,
5,lucid_revision,n1,B2,2026-09-10T13:14:22Z,2026-09-10T13:14:27Z,0x0,0x0,36.998,37.972,40,40,1,
6,lucid_revision,n16,B0,2026-09-10T13:14:27Z,2026-09-10T13:14:31Z,0x0,0x0,37.972,35.050,40,40,1,
7,fisvdd_revision,n1,B0,2026-09-10T13:14:31Z,2026-09-10T13:14:36Z,0x0,0x0,35.050,35.050,40,40,1,
8,tinydl_revision,n256,B1,2026-09-10T13:14:36Z,2026-09-10T13:14:40Z,0x0,0x0,35.050,36.024,40,40,1,
9,tinydl_revision,n16,B1,2026-09-10T13:14:40Z,2026-09-10T13:14:45Z,0x0,0x0,36.024,36.511,40,40,1,
10,lucid_revision,n256,B2,2026-09-10T13:14:45Z,2026-09-10T13:14:50Z,0x0,0x0,36.511,39.433,40,40,1,
11,oi_svdd_as_elm_revision,n64,B2,2026-09-10T13:14:50Z,2026-09-10T13:14:54Z,0x0,0x0,39.433,38.459,40,40,1,
12,lucid_revision,n512,B0,2026-09-10T13:14:54Z,2026-09-10T13:15:01Z,0x0,0x0,38.459,38.459,40,40,1,
13,fisvdd_revision,n512,B2,2026-09-10T13:15:01Z,2026-09-10T13:15:06Z,0x0,0x0,38.459,39.433,40,40,1,
14,tinydl_revision,n16,B0,2026-09-10T13:15:06Z,2026-09-10T13:15:11Z,0x0,0x0,39.433,36.998,40,40,1,
15,oi_svdd_as_elm_revision,n512,B1,2026-09-10T13:15:11Z,2026-09-10T13:15:15Z,0x0,0x0,36.998,37.972,40,40,1,
16,lucid_revision,n64,B0,2026-09-10T13:15:15Z,2026-09-10T13:15:20Z,0x0,0x0,37.972,36.998,40,40,1,
17,oi_svdd_as_elm_revision,n256,B1,2026-09-10T13:15:20Z,2026-09-10T13:15:24Z,0x0,0x0,36.998,37.485,40,40,1,
18,tinydl_revision,n1024,B1,2026-09-10T13:15:24Z,2026-09-10T13:15:29Z,0x0,0x0,37.485,38.459,40,40,1,
19,fisvdd_revision,n64,B0,2026-09-10T13:15:29Z,2026-09-10T13:15:34Z,0x0,0x0,38.459,36.024,40,40,1,
20,tinydl_revision,n1,B0,2026-09-10T13:15:34Z,2026-09-10T13:15:38Z,0x0,0x0,36.024,36.024,40,40,1,
21,lucid_revision,n1024,B0,2026-09-10T13:15:38Z,2026-09-10T13:15:51Z,0x0,0x0,36.024,39.920,40,40,1,
22,tinydl_revision,n64,B1,2026-09-10T13:15:51Z,2026-09-10T13:15:56Z,0x0,0x0,39.920,37.972,40,40,1,
23,lucid_revision,n16,B2,2026-09-10T13:15:56Z,2026-09-10T13:16:01Z,0x0,0x0,37.972,39.920,40,40,1,
24,lucid_revision,n256,B1,2026-09-10T13:16:01Z,2026-09-10T13:16:05Z,0x0,0x0,39.920,39.920,40,40,1,
25,lucid_revision,n256,B0,2026-09-10T13:16:05Z,2026-09-10T13:16:10Z,0x0,0x0,39.920,38.459,40,40,1,
26,tinydl_revision,n1024,B0,2026-09-10T13:16:10Z,2026-09-10T13:16:15Z,0x0,0x0,38.459,37.485,40,40,1,
27,oi_svdd_as_elm_revision,n1,B1,2026-09-10T13:16:15Z,2026-09-10T13:16:19Z,0x0,0x0,37.485,37.485,40,40,1,
28,fisvdd_revision,n1,B2,2026-09-10T13:16:19Z,2026-09-10T13:16:24Z,0x0,0x0,37.485,37.972,40,40,1,
29,tinydl_revision,n512,B1,2026-09-10T13:16:24Z,2026-09-10T13:16:28Z,0x0,0x0,37.972,37.485,40,40,1,
30,lucid_revision,n512,B2,2026-09-10T13:16:28Z,2026-09-10T13:16:35Z,0x0,0x0,37.485,40.407,40,40,1,
31,lucid_revision,n64,B1,2026-09-10T13:16:35Z,2026-09-10T13:16:39Z,0x0,0x0,41.381,39.433,40,40,1,
32,lucid_revision,n1,B1,2026-09-10T13:16:39Z,2026-09-10T13:16:44Z,0x0,0x0,39.433,38.946,40,40,1,
33,tinydl_revision,n1,B1,2026-09-10T13:16:44Z,2026-09-10T13:16:49Z,0x0,0x0,38.946,37.972,40,40,1,
34,tinydl_revision,n512,B2,2026-09-10T13:16:49Z,2026-09-10T13:16:53Z,0x0,0x0,37.972,39.433,40,40,1,
35,lucid_revision,n1024,B1,2026-09-10T13:16:53Z,2026-09-10T13:17:06Z,0x0,0x0,39.433,40.894,40,40,1,
36,oi_svdd_as_elm_revision,n256,B2,2026-09-10T13:17:06Z,2026-09-10T13:17:11Z,0x0,0x0,40.894,41.381,40,40,1,
37,fisvdd_revision,n256,B1,2026-09-10T13:17:11Z,2026-09-10T13:17:16Z,0x0,0x0,41.381,39.433,40,40,1,
38,oi_svdd_as_elm_revision,n256,B0,2026-09-10T13:17:16Z,2026-09-10T13:17:20Z,0x0,0x0,39.433,38.946,40,40,1,
39,oi_svdd_as_elm_revision,n16,B2,2026-09-10T13:17:20Z,2026-09-10T13:17:25Z,0x0,0x0,38.946,39.433,40,40,1,
40,lucid_revision,n64,B2,2026-09-10T13:17:25Z,2026-09-10T13:17:30Z,0x0,0x0,39.433,39.920,40,40,1,
41,fisvdd_revision,n16,B1,2026-09-10T13:17:30Z,2026-09-10T13:17:34Z,0x0,0x0,39.920,38.946,40,40,1,
42,tinydl_revision,n256,B0,2026-09-10T13:17:34Z,2026-09-10T13:17:39Z,0x0,0x0,38.946,37.485,40,40,1,
43,oi_svdd_as_elm_revision,n64,B0,2026-09-10T13:17:39Z,2026-09-10T13:17:43Z,0x0,0x0,37.485,36.511,40,40,1,
44,oi_svdd_as_elm_revision,n1,B0,2026-09-10T13:17:43Z,2026-09-10T13:17:48Z,0x0,0x0,36.511,37.972,40,40,1,
45,tinydl_revision,n1024,B2,2026-09-10T13:17:48Z,2026-09-10T13:17:53Z,0x0,0x0,37.972,39.920,40,40,1,
46,fisvdd_revision,n256,B2,2026-09-10T13:17:53Z,2026-09-10T13:17:57Z,0x0,0x0,39.920,39.920,40,40,1,
47,lucid_revision,n512,B1,2026-09-10T13:17:57Z,2026-09-10T13:18:03Z,0x0,0x0,39.920,40.894,40,40,1,
48,fisvdd_revision,n1,B1,2026-09-10T13:18:03Z,2026-09-10T13:18:08Z,0x0,0x0,40.894,39.920,40,40,1,
49,oi_svdd_as_elm_revision,n512,B2,2026-09-10T13:18:08Z,2026-09-10T13:18:13Z,0x0,0x0,39.920,40.407,40,40,1,
50,tinydl_revision,n64,B2,2026-09-10T13:18:13Z,2026-09-10T13:18:17Z,0x0,0x0,40.407,39.433,40,40,1,
51,fisvdd_revision,n64,B1,2026-09-10T13:18:17Z,2026-09-10T13:18:22Z,0x0,0x0,39.433,38.946,40,40,1,
