sample,timestamp_utc,temperature_c,throttled,load1
0,2026-09-10T13:13:29Z,35.537,0x0,0.4765625
1,2026-09-10T13:13:30Z,34.076,0x0,0.4765625
2,2026-09-10T13:13:31Z,36.024,0x0,0.4765625
3,2026-09-10T13:13:32Z,35.537,0x0,0.43798828125
4,2026-09-10T13:13:33Z,34.563,0x0,0.43798828125
5,2026-09-10T13:13:34Z,35.05,0x0,0.43798828125
6,2026-09-10T13:13:35Z,35.05,0x0,0.43798828125
7,2026-09-10T13:13:36Z,35.05,0x0,0.43798828125
8,2026-09-10T13:13:37Z,34.563,0x0,0.40283203125
9,2026-09-10T13:13:38Z,35.537,0x0,0.40283203125
10,2026-09-10T13:13:39Z,34.563,0x0,0.40283203125
11,2026-09-10T13:13:40Z,35.05,0x0,0.40283203125
12,2026-09-10T13:13:41Z,35.05,0x0,0.40283203125
13,2026-09-10T13:13:42Z,34.563,0x0,0.3701171875
14,2026-09-10T13:13:43Z,35.05,0x0,0.3701171875
15,2026-09-10T13:13:44Z,35.05,0x0,0.3701171875
16,2026-09-10T13:13:45Z,35.05,0x0,0.3701171875
17,2026-09-10T13:13:46Z,35.05,0x0,0.3701171875
18,2026-09-10T13:13:47Z,34.563,0x0,0.34033203125
19,2026-09-10T13:13:48Z,34.563,0x0,0.34033203125
20,2026-09-10T13:13:49Z,35.05,0x0,0.34033203125
21,2026-09-10T13:13:50Z,34.076,0x0,0.34033203125
22,2026-09-10T13:13:51Z,34.076,0x0,0.34033203125
23,2026-09-10T13:13:52Z,34.563,0x0,0.31298828125
24,2026-09-10T13:13:53Z,34.563,0x0,0.31298828125
25,2026-09-10T13:13:54Z,34.563,0x0,0.31298828125
26,2026-09-10T13:13:55Z,34.076,0x0,0.31298828125
27,2026-09-10T13:13:56Z,35.537,0x0,0.31298828125
28,2026-09-10T13:13:57Z,34.076,0x0,0.28759765625
29,2026-09-10T13:13:58Z,34.563,0x0,0.28759765625
