run_id,device_id,protocol_version,round,split,formal,block_index,window_in_block,obs_id,wall_start_utc,mono_start_ns,action,workload_bin,n_records,background,background_duty,T_start_C,T_end_C,cpu_freq_start_min_mhz,cpu_freq_start_max_mhz,cpu_freq_end_min_mhz,cpu_freq_end_max_mhz,telemetry_ms,feature_ms,risk_ms,inference_ms,controller_basic_ms,end_to_end_ms,window_elapsed_ms,deadline_overrun_ms,mean_risk,mean_action_probability,valid
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,0,0,2026-09-10T13:13:59Z,172174834559870,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.050,35.050,1800.000,1800.000,1800.000,1800.000,1.036724,0.709229,0.215330,1.421680,0.100609,3.698883,101.021983,0.000000,0.756212084,0.701728936,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,1,1,2026-09-10T13:13:59Z,172174935964865,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.050,34.563,1800.000,1800.000,1800.000,1800.000,0.826505,0.576953,0.209052,1.432347,0.074258,3.385833,100.995484,0.000000,0.634295428,0.556511932,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,2,2,2026-09-10T13:13:59Z,172175037304806,oi_svdd_as_elm_revision,n16,16,B1,0.5,34.563,34.076,1800.000,1800.000,1800.000,1800.000,0.765488,0.556157,0.197553,1.495402,0.073536,3.250150,101.015520,0.000000,0.589518220,0.575289364,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,3,3,2026-09-10T13:14:00Z,172175138666469,oi_svdd_as_elm_revision,n16,16,B1,0.5,34.076,35.050,1800.000,1800.000,1800.000,1800.000,0.771450,0.596231,0.197942,1.377996,0.071239,3.179892,100.997224,0.000000,0.760372680,0.710536669,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,4,4,2026-09-10T13:14:00Z,172175239998483,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.050,35.537,1800.000,1800.000,1800.000,1800.000,0.777431,0.557898,0.200793,1.386255,0.071461,3.189226,100.893022,0.000000,0.679237841,0.647267789,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,5,5,2026-09-10T13:14:00Z,172175341259851,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.537,34.563,1800.000,1800.000,1800.000,1800.000,0.772653,0.573639,0.202275,1.452884,0.077332,3.245724,101.008631,0.000000,0.533465898,0.503721045,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,6,6,2026-09-10T13:14:00Z,172175442612421,oi_svdd_as_elm_revision,n16,16,B1,0.5,34.563,35.050,1800.000,1800.000,1800.000,1800.000,0.770969,0.554472,0.201182,1.397292,0.071295,3.213521,100.995391,0.000000,0.806706958,0.768448728,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,7,7,2026-09-10T13:14:00Z,172175543933862,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.050,35.050,1800.000,1800.000,1800.000,1800.000,0.824690,0.559861,0.193553,1.376830,0.071239,3.190040,101.029557,0.000000,0.740074109,0.698837629,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,8,8,2026-09-10T13:14:00Z,172175645292895,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.050,35.537,1800.000,1800.000,1800.000,1800.000,0.764655,0.555547,0.194497,1.428754,0.072147,3.178114,100.999816,0.000000,0.718778305,0.625878958,1
pi4b8_margin_20260910,pi4b8g,2,1,margin,true,0,9,9,2026-09-10T13:14:00Z,172175746621650,oi_svdd_as_elm_revision,n16,16,B1,0.5,35.537,36.024,1800.000,1800.000,1800.000,1800.000,0.759451,0.558527,0.198515,1.373978,0.071536,3.176726,101.005261,0.000000,0.525231275,0.508828484,1
