device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,T_next_measured_C,T_next_hat_C,T_residual_C
pi4b8g,fit,lucid_revision,n16,B0,0,7.124905,7.124905,0.0,34.076,33.23556866874669,0.8404313312533134
pi4b8g,fit,lucid_revision,n16,B0,1,6.155535,7.124905,-0.9693699999999996,32.128,34.42846319329388,-2.3004631932938793
pi4b8g,fit,lucid_revision,n16,B0,2,6.13809,7.124905,-0.986815,31.641,32.83553138196632,-1.1945313819663212
pi4b8g,fit,lucid_revision,n16,B0,3,5.990909,7.124905,-1.1339959999999998,32.615,32.43703613228489,0.17796386771511408
pi4b8g,fit,lucid_revision,n16,B0,4,6.068962,7.124905,-1.055943,32.615,33.23362936747927,-0.6186293674792651
pi4b8g,fit,lucid_revision,n16,B0,5,6.080981,7.124905,-1.0439239999999996,32.615,33.233651441077875,-0.6186514410778727
pi4b8g,fit,lucid_revision,n16,B0,6,6.002074,7.124905,-1.1228309999999997,31.641,33.63173146688363,-1.9907314668836307
pi4b8g,fit,lucid_revision,n16,B0,7,6.118517,7.124905,-1.0063880000000003,32.615,32.43727049186314,0.1777295081368635
pi4b8g,fit,lucid_revision,n16,B0,8,6.022111,7.124905,-1.1027940000000003,33.102,33.23354332286921,-0.1315433228692129
pi4b8g,fit,lucid_revision,n16,B0,9,6.009575,7.124905,-1.1153300000000002,32.615,33.63174524291018,-1.0167452429101758
pi4b8g,fit,lucid_revision,n16,B0,10,6.069481,7.124905,-1.0554240000000004,32.615,33.23363032065322,-0.6186303206532173
pi4b8g,fit,lucid_revision,n16,B0,11,6.016907,7.124905,-1.1079980000000003,32.128,33.23353376541791,-1.1055337654179098
pi4b8g,fit,lucid_revision,n16,B0,12,6.006945,7.124905,-1.11796,33.589,32.83529052648007,0.7537094735199261
pi4b8g,fit,lucid_revision,n16,B0,13,6.056555,7.124905,-1.0683499999999997,32.128,34.03005646757671,-1.9020564675767133
