action,workload_bin,background,fit_n,tau_hat_ms
fisvdd_revision,n1,B0,40,2.466047000
fisvdd_revision,n1,B1,40,1.904798000
fisvdd_revision,n1,B2,40,2.052518000
fisvdd_revision,n1024,B0,40,52.118728000
fisvdd_revision,n1024,B1,40,52.577197000
fisvdd_revision,n1024,B2,40,52.308850000
fisvdd_revision,n16,B0,40,2.511620000
fisvdd_revision,n16,B1,40,2.599026000
fisvdd_revision,n16,B2,40,3.496565000
fisvdd_revision,n256,B0,40,15.421864000
fisvdd_revision,n256,B1,40,14.019053000
fisvdd_revision,n256,B2,40,20.108055000
fisvdd_revision,n512,B0,40,29.248146000
fisvdd_revision,n512,B1,40,30.724378000
fisvdd_revision,n512,B2,40,27.349458000
fisvdd_revision,n64,B0,40,4.837551000
fisvdd_revision,n64,B1,40,4.947160000
fisvdd_revision,n64,B2,40,4.889236000
lucid_revision,n1,B0,40,2.713653000
lucid_revision,n1,B1,40,2.125090000
lucid_revision,n1,B2,40,2.046443000
lucid_revision,n1024,B0,40,318.610957000
lucid_revision,n1024,B1,40,320.641715000
lucid_revision,n1024,B2,40,336.759825000
lucid_revision,n16,B0,40,7.124905000
lucid_revision,n16,B1,40,7.483120000
lucid_revision,n16,B2,40,6.303917000
lucid_revision,n256,B0,40,77.750640000
lucid_revision,n256,B1,40,77.103300000
lucid_revision,n256,B2,40,69.136743000
lucid_revision,n512,B0,40,144.695924000
lucid_revision,n512,B1,40,168.015604000
lucid_revision,n512,B2,40,172.212620000
lucid_revision,n64,B0,40,23.556491000
lucid_revision,n64,B1,40,20.509900000
lucid_revision,n64,B2,40,20.521918000
oi_svdd_as_elm_revision,n1,B0,40,2.008500000
oi_svdd_as_elm_revision,n1,B1,40,1.960427000
oi_svdd_as_elm_revision,n1,B2,40,2.325735000
oi_svdd_as_elm_revision,n1024,B0,40,98.488498000
oi_svdd_as_elm_revision,n1024,B1,40,98.029488000
oi_svdd_as_elm_revision,n1024,B2,40,98.029358000
oi_svdd_as_elm_revision,n16,B0,40,4.163822000
oi_svdd_as_elm_revision,n16,B1,40,4.382059000
oi_svdd_as_elm_revision,n16,B2,40,3.470714000
oi_svdd_as_elm_revision,n256,B0,40,27.087648000
oi_svdd_as_elm_revision,n256,B1,40,25.768173000
oi_svdd_as_elm_revision,n256,B2,40,26.965707000
oi_svdd_as_elm_revision,n512,B0,40,52.474813000
oi_svdd_as_elm_revision,n512,B1,40,50.732994000
oi_svdd_as_elm_revision,n512,B2,40,50.516328000
oi_svdd_as_elm_revision,n64,B0,40,7.962409000
oi_svdd_as_elm_revision,n64,B1,40,8.744468000
oi_svdd_as_elm_revision,n64,B2,40,7.865966000
tinydl_revision,n1,B0,40,1.821281000
tinydl_revision,n1,B1,40,2.287884000
tinydl_revision,n1,B2,40,4.854762000
tinydl_revision,n1024,B0,40,45.981300000
tinydl_revision,n1024,B1,40,45.918356000
tinydl_revision,n1024,B2,40,45.518468000
tinydl_revision,n16,B0,40,3.036999000
tinydl_revision,n16,B1,40,2.437473000
tinydl_revision,n16,B2,40,2.709488000
tinydl_revision,n256,B0,40,12.731431000
tinydl_revision,n256,B1,40,13.563453000
tinydl_revision,n256,B2,40,13.347087000
tinydl_revision,n512,B0,40,24.598436000
tinydl_revision,n512,B1,40,23.984650000
tinydl_revision,n512,B2,40,24.106426000
tinydl_revision,n64,B0,40,4.335679000
tinydl_revision,n64,B1,40,5.721395000
tinydl_revision,n64,B2,40,5.477103000
