global_order,seed_block,within_seed_order,seed,regime,policy,training_seed,planned_run_id,windows,decision_window_ms,n_records,background,attempt,status
1,0,0,4101,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4101_a1,600,100.0,1,B0,1,PLANNED
2,0,1,4101,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4101_a1,600,100.0,1,B0,1,PLANNED
3,0,2,4101,natural,Static-Light,,pi3bplus_natural_static_light_s4101_a1,600,100.0,1,B0,1,PLANNED
4,0,3,4101,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4101_a1,600,100.0,1,B0,1,PLANNED
5,0,4,4101,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4101_a1,600,100.0,1,B0,1,PLANNED
6,0,5,4101,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4101_a1,600,100.0,1,B0,1,PLANNED
7,0,6,4101,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4101_a1,600,100.0,1,B0,1,PLANNED
8,0,7,4101,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4101_a1,600,100.0,1,B0,1,PLANNED
9,0,8,4101,near_cap,FSSQL-R,3101,pi3bplus_near_cap_fssql_r_s4101_a1,600,100.0,1,B0,1,PLANNED
10,0,9,4101,natural,Unshielded-Q,3101,pi3bplus_natural_unshielded_q_s4101_a1,600,100.0,1,B0,1,PLANNED
11,0,10,4101,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4101_a1,600,100.0,1,B0,1,PLANNED
12,0,11,4101,near_cap,Unshielded-Q,3101,pi3bplus_near_cap_unshielded_q_s4101_a1,600,100.0,1,B0,1,PLANNED
13,0,12,4101,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4101_a1,600,100.0,1,B0,1,PLANNED
14,0,13,4101,natural,FSSQL-R,3101,pi3bplus_natural_fssql_r_s4101_a1,600,100.0,1,B0,1,PLANNED
15,0,14,4101,natural,Round-Robin,,pi3bplus_natural_round_robin_s4101_a1,600,100.0,1,B0,1,PLANNED
16,0,15,4101,natural,Threshold,,pi3bplus_natural_threshold_s4101_a1,600,100.0,1,B0,1,PLANNED
17,1,0,4102,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4102_a1,600,100.0,1,B0,1,PLANNED
18,1,1,4102,natural,FSSQL-R,3102,pi3bplus_natural_fssql_r_s4102_a1,600,100.0,1,B0,1,PLANNED
19,1,2,4102,natural,Round-Robin,,pi3bplus_natural_round_robin_s4102_a1,600,100.0,1,B0,1,PLANNED
20,1,3,4102,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4102_a1,600,100.0,1,B0,1,PLANNED
21,1,4,4102,natural,Unshielded-Q,3102,pi3bplus_natural_unshielded_q_s4102_a1,600,100.0,1,B0,1,PLANNED
22,1,5,4102,near_cap,Unshielded-Q,3102,pi3bplus_near_cap_unshielded_q_s4102_a1,600,100.0,1,B0,1,PLANNED
23,1,6,4102,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4102_a1,600,100.0,1,B0,1,PLANNED
24,1,7,4102,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4102_a1,600,100.0,1,B0,1,PLANNED
25,1,8,4102,natural,Static-Light,,pi3bplus_natural_static_light_s4102_a1,600,100.0,1,B0,1,PLANNED
26,1,9,4102,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4102_a1,600,100.0,1,B0,1,PLANNED
27,1,10,4102,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4102_a1,600,100.0,1,B0,1,PLANNED
28,1,11,4102,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4102_a1,600,100.0,1,B0,1,PLANNED
29,1,12,4102,natural,Threshold,,pi3bplus_natural_threshold_s4102_a1,600,100.0,1,B0,1,PLANNED
30,1,13,4102,near_cap,FSSQL-R,3102,pi3bplus_near_cap_fssql_r_s4102_a1,600,100.0,1,B0,1,PLANNED
31,1,14,4102,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4102_a1,600,100.0,1,B0,1,PLANNED
32,1,15,4102,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4102_a1,600,100.0,1,B0,1,PLANNED
33,2,0,4103,natural,Round-Robin,,pi3bplus_natural_round_robin_s4103_a1,600,100.0,1,B0,1,PLANNED
34,2,1,4103,natural,Static-Light,,pi3bplus_natural_static_light_s4103_a1,600,100.0,1,B0,1,PLANNED
35,2,2,4103,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4103_a1,600,100.0,1,B0,1,PLANNED
36,2,3,4103,natural,Threshold,,pi3bplus_natural_threshold_s4103_a1,600,100.0,1,B0,1,PLANNED
37,2,4,4103,natural,Unshielded-Q,3103,pi3bplus_natural_unshielded_q_s4103_a1,600,100.0,1,B0,1,PLANNED
38,2,5,4103,near_cap,FSSQL-R,3103,pi3bplus_near_cap_fssql_r_s4103_a1,600,100.0,1,B0,1,PLANNED
39,2,6,4103,natural,FSSQL-R,3103,pi3bplus_natural_fssql_r_s4103_a1,600,100.0,1,B0,1,PLANNED
40,2,7,4103,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4103_a1,600,100.0,1,B0,1,PLANNED
41,2,8,4103,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4103_a1,600,100.0,1,B0,1,PLANNED
42,2,9,4103,near_cap,Unshielded-Q,3103,pi3bplus_near_cap_unshielded_q_s4103_a1,600,100.0,1,B0,1,PLANNED
43,2,10,4103,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4103_a1,600,100.0,1,B0,1,PLANNED
44,2,11,4103,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4103_a1,600,100.0,1,B0,1,PLANNED
45,2,12,4103,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4103_a1,600,100.0,1,B0,1,PLANNED
46,2,13,4103,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4103_a1,600,100.0,1,B0,1,PLANNED
47,2,14,4103,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4103_a1,600,100.0,1,B0,1,PLANNED
48,2,15,4103,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4103_a1,600,100.0,1,B0,1,PLANNED
49,3,0,4104,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4104_a1,600,100.0,1,B0,1,PLANNED
50,3,1,4104,natural,Round-Robin,,pi3bplus_natural_round_robin_s4104_a1,600,100.0,1,B0,1,PLANNED
51,3,2,4104,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4104_a1,600,100.0,1,B0,1,PLANNED
52,3,3,4104,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4104_a1,600,100.0,1,B0,1,PLANNED
53,3,4,4104,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4104_a1,600,100.0,1,B0,1,PLANNED
