global_order,seed_block,within_seed_order,seed,regime,policy,training_seed,planned_run_id,windows,decision_window_ms,n_records,background,attempt,status
1,0,0,4101,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4101_a1,600,100.0,16,B0,1,PLANNED
2,0,1,4101,binding_resource,Unshielded-Q,3101,pi3bplus_stress_v3_unshielded_q_s4101_a1,600,100.0,16,B0,1,PLANNED
3,0,2,4101,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4101_a1,600,100.0,16,B0,1,PLANNED
4,0,3,4101,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4101_a1,600,100.0,16,B0,1,PLANNED
5,0,4,4101,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4101_a1,600,100.0,16,B0,1,PLANNED
6,0,5,4101,binding_resource,FSSQL-R,3101,pi3bplus_stress_v3_fssql_r_s4101_a1,600,100.0,16,B0,1,PLANNED
7,1,0,4102,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4102_a1,600,100.0,16,B0,1,PLANNED
8,1,1,4102,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4102_a1,600,100.0,16,B0,1,PLANNED
9,1,2,4102,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4102_a1,600,100.0,16,B0,1,PLANNED
10,1,3,4102,binding_resource,FSSQL-R,3102,pi3bplus_stress_v3_fssql_r_s4102_a1,600,100.0,16,B0,1,PLANNED
11,1,4,4102,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4102_a1,600,100.0,16,B0,1,PLANNED
12,1,5,4102,binding_resource,Unshielded-Q,3102,pi3bplus_stress_v3_unshielded_q_s4102_a1,600,100.0,16,B0,1,PLANNED
13,2,0,4103,binding_resource,FSSQL-R,3103,pi3bplus_stress_v3_fssql_r_s4103_a1,600,100.0,16,B0,1,PLANNED
14,2,1,4103,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4103_a1,600,100.0,16,B0,1,PLANNED
15,2,2,4103,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4103_a1,600,100.0,16,B0,1,PLANNED
16,2,3,4103,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4103_a1,600,100.0,16,B0,1,PLANNED
17,2,4,4103,binding_resource,Unshielded-Q,3103,pi3bplus_stress_v3_unshielded_q_s4103_a1,600,100.0,16,B0,1,PLANNED
18,2,5,4103,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4103_a1,600,100.0,16,B0,1,PLANNED
19,3,0,4104,binding_resource,Unshielded-Q,3104,pi3bplus_stress_v3_unshielded_q_s4104_a1,600,100.0,16,B0,1,PLANNED
20,3,1,4104,binding_resource,FSSQL-R,3104,pi3bplus_stress_v3_fssql_r_s4104_a1,600,100.0,16,B0,1,PLANNED
21,3,2,4104,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4104_a1,600,100.0,16,B0,1,PLANNED
22,3,3,4104,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4104_a1,600,100.0,16,B0,1,PLANNED
23,3,4,4104,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4104_a1,600,100.0,16,B0,1,PLANNED
24,3,5,4104,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4104_a1,600,100.0,16,B0,1,PLANNED
25,4,0,4105,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4105_a1,600,100.0,16,B0,1,PLANNED
26,4,1,4105,binding_resource,FSSQL-R,3105,pi3bplus_stress_v3_fssql_r_s4105_a1,600,100.0,16,B0,1,PLANNED
27,4,2,4105,binding_resource,Unshielded-Q,3105,pi3bplus_stress_v3_unshielded_q_s4105_a1,600,100.0,16,B0,1,PLANNED
28,4,3,4105,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4105_a1,600,100.0,16,B0,1,PLANNED
29,4,4,4105,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4105_a1,600,100.0,16,B0,1,PLANNED
30,4,5,4105,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4105_a1,600,100.0,16,B0,1,PLANNED
31,5,0,4106,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4106_a1,600,100.0,16,B0,1,PLANNED
32,5,1,4106,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4106_a1,600,100.0,16,B0,1,PLANNED
33,5,2,4106,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4106_a1,600,100.0,16,B0,1,PLANNED
34,5,3,4106,binding_resource,Unshielded-Q,3106,pi3bplus_stress_v3_unshielded_q_s4106_a1,600,100.0,16,B0,1,PLANNED
35,5,4,4106,binding_resource,FSSQL-R,3106,pi3bplus_stress_v3_fssql_r_s4106_a1,600,100.0,16,B0,1,PLANNED
36,5,5,4106,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4106_a1,600,100.0,16,B0,1,PLANNED
37,6,0,4107,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4107_a1,600,100.0,16,B0,1,PLANNED
38,6,1,4107,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4107_a1,600,100.0,16,B0,1,PLANNED
39,6,2,4107,binding_resource,FSSQL-R,3107,pi3bplus_stress_v3_fssql_r_s4107_a1,600,100.0,16,B0,1,PLANNED
40,6,3,4107,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4107_a1,600,100.0,16,B0,1,PLANNED
41,6,4,4107,binding_resource,Unshielded-Q,3107,pi3bplus_stress_v3_unshielded_q_s4107_a1,600,100.0,16,B0,1,PLANNED
42,6,5,4107,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4107_a1,600,100.0,16,B0,1,PLANNED
43,7,0,4108,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4108_a1,600,100.0,16,B0,1,PLANNED
44,7,1,4108,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4108_a1,600,100.0,16,B0,1,PLANNED
45,7,2,4108,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4108_a1,600,100.0,16,B0,1,PLANNED
46,7,3,4108,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4108_a1,600,100.0,16,B0,1,PLANNED
47,7,4,4108,binding_resource,FSSQL-R,3108,pi3bplus_stress_v3_fssql_r_s4108_a1,600,100.0,16,B0,1,PLANNED
48,7,5,4108,binding_resource,Unshielded-Q,3108,pi3bplus_stress_v3_unshielded_q_s4108_a1,600,100.0,16,B0,1,PLANNED
49,8,0,4109,binding_resource,Unshielded-Q,3109,pi3bplus_stress_v3_unshielded_q_s4109_a1,600,100.0,16,B0,1,PLANNED
50,8,1,4109,binding_resource,FSSQL-R,3109,pi3bplus_stress_v3_fssql_r_s4109_a1,600,100.0,16,B0,1,PLANNED
51,8,2,4109,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4109_a1,600,100.0,16,B0,1,PLANNED
52,8,3,4109,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4109_a1,600,100.0,16,B0,1,PLANNED
53,8,4,4109,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4109_a1,600,100.0,16,B0,1,PLANNED
54,8,5,4109,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4109_a1,600,100.0,16,B0,1,PLANNED
55,9,0,4110,binding_resource,Unshielded-Q,3110,pi3bplus_stress_v3_unshielded_q_s4110_a1,600,100.0,16,B0,1,PLANNED
56,9,1,4110,binding_resource,Safe-Greedy,,pi3bplus_stress_v3_safe_greedy_s4110_a1,600,100.0,16,B0,1,PLANNED
57,9,2,4110,binding_resource,FSSQL-R,3110,pi3bplus_stress_v3_fssql_r_s4110_a1,600,100.0,16,B0,1,PLANNED
58,9,3,4110,binding_resource,Threshold,,pi3bplus_stress_v3_threshold_s4110_a1,600,100.0,16,B0,1,PLANNED
59,9,4,4110,binding_resource,Round-Robin,,pi3bplus_stress_v3_round_robin_s4110_a1,600,100.0,16,B0,1,PLANNED
60,9,5,4110,binding_resource,Static-Light,,pi3bplus_stress_v3_static_light_s4110_a1,600,100.0,16,B0,1,PLANNED
