source_row_index,source_id,attack_cat,label,feature_group_hex,fold,split
0,1,Normal,0,74378dfa765b5b20,2,model_train
1,2,Normal,0,743529457cf2f9b2,3,validation
2,3,Normal,0,49ef4f6d4b1d22e2,0,model_train
3,4,Normal,0,4f7bf1392b17766f,1,model_train
4,5,Normal,0,aacb9251836556e0,0,model_train
5,6,Normal,0,e2b750bc06b2d0d3,1,model_train
6,7,Normal,0,41931d4ba593e427,0,model_train
7,8,Normal,0,4658e8ad733ef3ec,2,model_train
8,9,Normal,0,d02f7eb1628e29b5,2,model_train
9,10,Normal,0,4e5cd049539fca48,1,model_train
10,11,Normal,0,fc55e3191ff1b9b6,3,validation
11,12,Normal,0,d65660dfd31c1f87,2,model_train
12,13,Normal,0,fefc99d9ab396554,4,scheduler_train
13,14,Normal,0,1d4b8500201fa838,3,validation
14,15,Normal,0,0622dc78ee2e9dfe,4,scheduler_train
15,16,Normal,0,dddebf46ac1e9ded,2,model_train
16,17,Normal,0,f0cfe53694f82cae,0,model_train
17,18,Normal,0,8dfe7f67eae5a9e5,3,validation
18,19,Normal,0,f918c1e9dacc0a07,4,scheduler_train
19,20,Normal,0,a39cbc4f49c168ec,2,model_train
20,21,Normal,0,700f756293a8452c,2,model_train
21,22,Normal,0,6ae75d8e323861f4,0,model_train
22,23,Normal,0,7ec2fa604bd46773,0,model_train
23,24,Normal,0,a30d0d4fedb665ca,0,model_train
24,25,Normal,0,2d8586ac403908a1,2,model_train
25,26,Normal,0,b213851ac1a07dfb,3,validation
26,27,Normal,0,f49cbd1a78a99111,1,model_train
27,28,Normal,0,e177b6146d571ffa,1,model_train
28,29,Normal,0,5823120c4227244e,2,model_train
29,30,Normal,0,e05f3dafdee40c9b,3,validation
30,31,Normal,0,f5b1ae81f0b0e6e6,2,model_train
31,32,Normal,0,9437877ce5ac1c8d,2,model_train
32,33,Normal,0,81c189b901bf405f,0,model_train
33,34,Normal,0,b86edc82667699e8,2,model_train
34,35,Normal,0,0982174988fd7885,2,model_train
35,36,Normal,0,2c003a17ad7b1769,3,validation
36,37,Normal,0,c381f7f76e36e9da,1,model_train
37,38,Normal,0,87567c4bf47e4a12,4,scheduler_train
38,39,Normal,0,b62e4001d0f13ff1,1,model_train
39,40,Normal,0,6a415464448e81ee,2,model_train
40,41,Normal,0,0a0854c3cfeaaa20,3,validation
41,42,Normal,0,2fa91637f612102e,4,scheduler_train
42,43,Normal,0,4c9e23bc0293ca96,0,model_train
43,44,Normal,0,c24ab0d9d0232834,4,scheduler_train
44,45,Normal,0,d6415ca659ff8350,2,model_train
45,46,Normal,0,7438babb8c70c1ac,0,model_train
46,47,Normal,0,40bbebcf038ed888,0,model_train
47,48,Normal,0,86bd294f3642fecc,2,model_train
48,49,Normal,0,8da97d8c8bbfe1b8,1,model_train
49,50,Normal,0,40fb9f248e294ec0,3,validation
50,51,Normal,0,e9f891dcd1d827f7,1,model_train
51,52,Normal,0,9a3028ecc40be47d,2,model_train
52,53,Normal,0,79095df9715840b7,4,scheduler_train
53,54,Normal,0,8785743913b10f02,3,validation
54,55,Normal,0,f8be5f6a890582b0,0,model_train
55,56,Normal,0,19f2830532e0ad40,3,validation
56,57,Normal,0,5d22109050c19632,1,model_train
57,58,Normal,0,720a099f4283c5b9,1,model_train
58,59,Normal,0,22772e2ba24031c8,1,model_train
59,60,Normal,0,1e3ce1442a43fe68,4,scheduler_train
60,61,Normal,0,a9ae1c9c0225da28,4,scheduler_train
61,62,Normal,0,d9144fa0beaae5b3,1,model_train
62,63,Normal,0,7086597c2fee6369,0,model_train
63,64,Normal,0,e986f20f7cf20556,2,model_train
64,65,Normal,0,94089f6ba397d7ba,2,model_train
65,66,Normal,0,d815074d80ce8f48,2,model_train
66,67,Normal,0,d815074d80ce8f48,2,model_train
67,68,Normal,0,728782d4c35954b4,2,model_train
68,69,Normal,0,00d5d994799a51cb,4,scheduler_train
69,70,Normal,0,b1a25ada3ada09a8,3,validation
70,71,Normal,0,700135ff1e31e4d0,0,model_train
71,72,Normal,0,796be32619aad6f1,0,model_train
72,73,Normal,0,410742803229736c,3,validation
73,74,Normal,0,eb320cdf99a512a9,0,model_train
74,75,Normal,0,9602680e11372f00,4,scheduler_train
75,76,Normal,0,1ee52133e3066db7,0,model_train
76,77,Normal,0,36a85ccbf5b2b1ba,3,validation
77,78,Normal,0,87167512ff4f0884,1,model_train
78,79,Normal,0,239cac62197862dd,4,scheduler_train
79,80,Normal,0,1124fc02f20bfdfb,4,scheduler_train
80,81,Normal,0,44fbb803ed971fee,4,scheduler_train
81,82,Normal,0,a415d12ad3e8c784,1,model_train
82,83,Normal,0,19278f053882e610,1,model_train
83,84,Normal,0,f7e9a15c4424b425,4,scheduler_train
84,85,Normal,0,05bcade370bbf03d,2,model_train
85,86,Normal,0,20c3a47c9025c77b,1,model_train
86,87,Normal,0,d3c4629a14ba7cf3,3,validation
87,88,Normal,0,926dbb1ee6f316c2,1,model_train
88,89,Normal,0,d9ccc32d2706f4a3,0,model_train
89,90,Normal,0,013ee2e9d6ee7b5d,4,scheduler_train
90,91,Normal,0,58b481fcefe88104,0,model_train
91,92,Normal,0,68ea48ce82865fff,4,scheduler_train
92,93,Normal,0,5baa7d3766f5d275,2,model_train
93,94,Normal,0,2ceeb9955093449c,3,validation
94,95,Normal,0,9a1910b45260b131,4,scheduler_train
95,96,Normal,0,fec6cebd1d0ff075,0,model_train
96,97,Normal,0,89ca5f4ffa8b5eb2,0,model_train
97,98,Normal,0,9c84cf57a98983dd,0,model_train
98,99,Normal,0,f87182057da38d0b,0,model_train
99,100,Normal,0,c009a3bdba66480d,2,model_train
100,101,Normal,0,0fdfcb43971f42f3,0,model_train
101,102,Normal,0,80d3e32d2c2a5d20,2,model_train
102,103,Normal,0,37fe4af6173ad9a7,1,model_train
103,104,Normal,0,55bef318e3e455e3,2,model_train
104,105,Normal,0,b4053929cd95b75b,2,model_train
105,106,Normal,0,1489e00ad392586e,0,model_train
106,107,Normal,0,497979c08d2fc3e6,4,scheduler_train
107,108,Normal,0,555b47c32b2d873d,2,model_train
108,109,Normal,0,11d4381466ce220f,1,model_train
109,110,Normal,0,af23888ab08cb816,1,model_train
110,111,Normal,0,34b586f4c66baa77,2,model_train
111,112,Normal,0,b43517ea475b387c,0,model_train
112,113,Normal,0,4f34c4bd83e5da17,2,model_train
113,114,Normal,0,f1d0094947eb05a2,1,model_train
114,115,Normal,0,d3c2068a0085d565,4,scheduler_train
115,116,Normal,0,9acc080814d1c9e8,3,validation
116,117,Normal,0,54d5fffccb2467fc,2,model_train
117,118,Normal,0,6eee83a3d2a3d8b7,3,validation
118,119,Normal,0,da647620299b3e07,3,validation
119,120,Normal,0,5e9b32f16f2bdb99,1,model_train
120,121,Normal,0,5cf0d9b9052388ee,2,model_train
121,122,Normal,0,2c2063b4ada70555,4,scheduler_train
122,123,Normal,0,3e5b8b1e54737894,1,model_train
123,124,Normal,0,d2df90b77b1e960d,4,scheduler_train
124,125,Normal,0,009fd4d79b4f3ca2,1,model_train
125,126,Normal,0,1f2aadbb56c60c90,3,validation
126,127,Normal,0,f179548907f09ff5,4,scheduler_train
127,128,Normal,0,808620bccdc1e615,3,validation
128,129,Normal,0,9eb657a20c7ccf14,4,scheduler_train
129,130,Normal,0,6815490abffbd22b,1,model_train
130,131,Normal,0,eb09a73c040e8556,2,model_train
131,132,Normal,0,5637e6abe0185d91,1,model_train
132,133,Normal,0,0bc639f00e7fc661,0,model_train
133,134,Normal,0,66b4998a64125f60,1,model_train
134,135,Normal,0,c26fa31f35bf5243,1,model_train
135,136,Normal,0,83a776bb054adde1,3,validation
136,137,Normal,0,66ec40aa0f48aaff,4,scheduler_train
137,138,Normal,0,922d67e7ca4f9120,1,model_train
138,139,Normal,0,0e3bdd0ed574227b,2,model_train
139,140,Normal,0,b67177c167b78c57,4,scheduler_train
140,141,Normal,0,b416777e93bc09eb,4,scheduler_train
141,142,Normal,0,1757857f8dd6d91c,3,validation
142,143,Normal,0,9368c8dd04ed38a2,4,scheduler_train
143,144,Normal,0,431ee8d9bb49249b,0,model_train
144,145,Normal,0,0956394060e8242c,0,model_train
145,146,Normal,0,73de6cac7a54500f,3,validation
146,147,Normal,0,3ed48c3e99d9f845,3,validation
147,148,Normal,0,56336d1a7accee96,1,model_train
148,149,Normal,0,f456d53f54a3570e,4,scheduler_train
149,150,Normal,0,42424c4e3f05debf,2,model_train
150,151,Normal,0,8aa45fc259b608ef,2,model_train
151,152,Normal,0,786cf2a5fc7bbbaf,1,model_train
152,153,Normal,0,4671505263a8c71f,3,validation
153,154,Normal,0,8c4f6f10ff934097,0,model_train
154,155,Normal,0,c0244b0a05c279b8,4,scheduler_train
155,156,Normal,0,648ffade8102a02a,4,scheduler_train
156,157,Normal,0,42597844367c0c40,3,validation
157,158,Normal,0,ce345c9743d12c8f,4,scheduler_train
158,159,Normal,0,0cbd7d29c105d3ba,4,scheduler_train
159,160,Normal,0,77653028f7cc8e91,1,model_train
160,161,Normal,0,3ef61befd852e741,1,model_train
161,162,Normal,0,501827e15d1b2bf5,3,validation
162,163,Normal,0,f1d9e4a9626898bc,2,model_train
163,164,Normal,0,db667d321dc9550a,3,validation
164,165,Normal,0,931815baf0e08651,4,scheduler_train
165,166,Normal,0,cac84e153371c401,3,validation
166,167,Normal,0,ddc401b1dcde2c6b,0,model_train
167,168,Normal,0,c75924fd61d3965c,2,model_train
168,169,Normal,0,7d62b61fd59d4699,1,model_train
169,170,Normal,0,77653028f7cc8e91,1,model_train
170,171,Normal,0,14773b8ab53403a6,3,validation
171,172,Normal,0,b947ebe0296e3e90,1,model_train
172,173,Normal,0,90339a0eea28f204,0,model_train
173,174,Normal,0,a46d88c2e410599a,2,model_train
174,175,Normal,0,347cab8e23abf9e2,0,model_train
175,176,Normal,0,f537289e24822e48,0,model_train
176,177,Normal,0,9273e229b94c1b17,1,model_train
177,178,Normal,0,89ba05e9ae28025e,4,scheduler_train
178,179,Normal,0,d1cc2906ba3f186f,3,validation
179,180,Normal,0,9f3fb200886714ab,1,model_train
180,181,Normal,0,9eb3cb81f736373d,3,validation
181,182,Normal,0,1c83947391f3504d,0,model_train
182,183,Normal,0,5003ee80d865b655,4,scheduler_train
183,184,Normal,0,8fab6df2f8253962,1,model_train
