runtime_sequence,source_row_index,source_id,feature_group_hex,attack_cat,label
0,156301,156302,1dd27bbf54731f58,Generic,1
1,94044,94045,32dc22accc34571b,Backdoor,1
2,53558,53559,c9fd3c1f9b2a4fab,DoS,1
3,136658,136659,c2feae9db9ac5f1b,Reconnaissance,1
4,107145,107146,f9b8ce2f5bf733c2,Normal,0
5,152955,152956,efe59a5af64f7b12,Exploits,1
6,148133,148134,3e69a414bf756f89,Generic,1
7,25565,25566,760169dcca264032,Normal,0
8,44887,44888,1467bfc8af5de0a6,Normal,0
9,45460,45461,e93edbe78ac650d4,Normal,0
10,31091,31092,76547675488a1ae5,Normal,0
11,149566,149567,039501cbd63ba11d,Generic,1
12,161530,161531,5563054ef7988d07,Generic,1
13,166243,166244,299e8cdfed6ba3a7,Generic,1
14,171685,171686,9c4f8954e22a48e3,Reconnaissance,1
15,34485,34486,75dae77eef1bc922,Normal,0
16,28199,28200,6ee3398369fbc92b,Normal,0
17,146497,146498,d0ec9f80a1c94452,Generic,1
18,15921,15922,2d1b647da5a5de1f,Normal,0
19,29730,29731,8c8f5086062ac570,Normal,0
20,98413,98414,bbf68adb4a6f83f9,Exploits,1
21,31277,31278,50aad3cdd6ca8a0f,Normal,0
22,1726,1727,dbee1bcfbea7de35,Normal,0
23,63057,63058,0bc6fc0271f31846,DoS,1
24,21680,21681,1791ce2510a69bea,Normal,0
25,32299,32300,e503717e6d5def79,Normal,0
26,110694,110695,7969725aae2d9763,Exploits,1
27,136518,136519,3ca3524dce34d7f7,Exploits,1
28,136114,136115,5e86c738051b3685,DoS,1
29,99340,99341,7d0b5ee751b64050,Reconnaissance,1
30,91201,91202,5595630a66396e00,Exploits,1
31,167256,167257,ca89b736e7f05c6e,Generic,1
32,130588,130589,315b5eb5efc70763,Generic,1
33,12567,12568,9cfff19e9521c6ce,Normal,0
34,108579,108580,a2a871f848218b98,Exploits,1
35,12816,12817,90d1c0a4d1d90146,Normal,0
36,127182,127183,dc09aa1deeb60bad,Exploits,1
37,32360,32361,7284ddd137fa9584,Normal,0
38,51222,51223,c4a6135f50bce19f,Exploits,1
39,89592,89593,31760219aeba5f45,Exploits,1
40,93562,93563,53d4d3d49c2346ad,Exploits,1
41,131365,131366,f02b0ba9cf8ae03a,Generic,1
42,131146,131147,a63bfba47a01b31a,Generic,1
43,23276,23277,0bde3c2f4804b567,Normal,0
44,28050,28051,7b3e6578c5674060,Normal,0
45,165546,165547,103a4dcf2475df94,Generic,1
46,147887,147888,d5fc547c9d2c09f7,Generic,1
47,114100,114101,c4eea69e1870ed34,Fuzzers,1
48,93600,93601,0ba6a9acd42d2bc8,Exploits,1
49,82994,82995,c09193ceb3e17fe4,DoS,1
50,50797,50798,e71b4426a4c29a8e,Exploits,1
51,139449,139450,9c4f8954e22a48e3,Reconnaissance,1
52,67032,67033,f9d6707738bacd8c,Exploits,1
53,99435,99436,3fa5008092ae8f0a,Fuzzers,1
54,118359,118360,7d6214c0599e5e71,Generic,1
55,51593,51594,5ec48a2561e29e89,Exploits,1
56,13367,13368,2275e600e19e86bf,Normal,0
57,40867,40868,9dcb47444f65c80c,Normal,0
58,159678,159679,d8e9284e1db96c5d,Generic,1
59,40856,40857,d4c5b6c74d3e3ae5,Normal,0
60,39048,39049,e936c98048364275,Normal,0
61,146641,146642,01c1d9d6e1b3504e,Generic,1
62,98811,98812,f339733b3df3b8b7,Reconnaissance,1
63,34874,34875,05a71ddf1157fef3,Normal,0
64,9650,9651,eae58933be0b9e21,Normal,0
65,4745,4746,a2b2c223b5f7acb7,Normal,0
66,132498,132499,d556429e7409a8bf,Reconnaissance,1
67,39540,39541,8bfc034d1d711af5,Normal,0
68,67811,67812,39533ff5dd8b6222,Fuzzers,1
69,82974,82975,57535fff218940bf,Exploits,1
70,120326,120327,528c7bb687d92128,Exploits,1
71,66266,66267,b3bfb6e4d1efdc32,Backdoor,1
72,142292,142293,e27e53a272de0df3,Exploits,1
73,102294,102295,f3272975aa371c5d,Exploits,1
74,97523,97524,5ac2e8c37e8c3397,Exploits,1
75,51687,51688,a99df38e9eb5c65d,Exploits,1
76,32614,32615,25dce6b065b4beae,Normal,0
77,39638,39639,238b7b58c1bdd09e,Normal,0
78,79990,79991,5c30e5a14cd09aaf,Fuzzers,1
79,15524,15525,d774d7bc4f0fd4da,Normal,0
