policy,seed,window,epsilon,learning_rate,rolling_reward,rolling_utility,td_abs_mean,q_update_abs_mean,visited_states,visited_state_actions,greedy_policy_change_rate
Unshielded-Q,3101,100,0.979100000,0.380730788,0.505423813,0.599129310,0.991563659,0.300872701,14,37,0.010156250
Unshielded-Q,3101,200,0.957988889,0.084879361,0.513243252,0.605578627,0.963884832,0.227164657,15,48,0.005468750
Unshielded-Q,3101,300,0.936877778,0.251188643,0.555534226,0.648514865,0.798207317,0.153136052,17,52,0.004687500
Unshielded-Q,3101,400,0.915766667,0.311129489,0.379828480,0.472901142,0.712278210,0.153032704,29,84,0.012500000
Unshielded-Q,3101,500,0.894655556,0.500000000,0.485091539,0.577552726,0.819147953,0.201848568,30,98,0.005468750
Unshielded-Q,3101,600,0.873544444,0.118456576,0.484967957,0.577706739,0.733547637,0.155199456,31,101,0.009375000
Unshielded-Q,3101,700,0.852433333,0.341278752,0.470844802,0.562431488,0.623689888,0.107089981,32,103,0.004687500
Unshielded-Q,3101,800,0.831322222,0.176537307,0.456803166,0.550943478,0.602770318,0.100600113,32,105,0.005468750
Unshielded-Q,3101,900,0.810211111,0.053414066,0.444537154,0.536844057,0.533552687,0.066913401,32,105,0.006250000
Unshielded-Q,3101,1000,0.789100000,0.069071825,0.537215684,0.631077637,0.581900725,0.070829787,32,106,0.005468750
Unshielded-Q,3101,1100,0.767988889,0.080960585,0.388295807,0.480352145,0.551912349,0.053638102,32,106,0.002343750
Unshielded-Q,3101,1200,0.746877778,0.144955933,0.373682835,0.463191927,0.630315247,0.072096379,34,108,0.003906250
Unshielded-Q,3101,1300,0.725766667,0.050073690,0.427656800,0.521289552,0.640417907,0.084020829,34,110,0.006250000
Unshielded-Q,3101,1400,0.704655556,0.065067757,0.490342112,0.583499598,0.580686220,0.055896412,34,111,0.001562500
Unshielded-Q,3101,1500,0.683544444,0.041503275,0.451168372,0.541857785,0.543501675,0.042763653,34,111,0.004687500
Unshielded-Q,3101,1600,0.662433333,0.051124255,0.478984585,0.569092271,0.526470866,0.048911602,34,113,0.003125000
Unshielded-Q,3101,1700,0.641322222,0.047591348,0.487147810,0.571286224,0.545522097,0.051874881,34,114,0.003125000
Unshielded-Q,3101,1800,0.620211111,0.046054066,0.531487414,0.615934954,0.527655465,0.044522285,34,115,0.003906250
Unshielded-Q,3101,1900,0.599100000,0.037037037,0.542212769,0.631397890,0.526542161,0.043310512,34,115,0.005468750
Unshielded-Q,3101,2000,0.577988889,0.042135326,0.457410351,0.541094584,0.503826009,0.035326728,34,115,0.002343750
Unshielded-Q,3101,2100,0.556877778,0.042135326,0.513944181,0.600306896,0.533153427,0.035905511,34,115,0.003906250
Unshielded-Q,3101,2200,0.535766667,0.068125609,0.554971070,0.636112438,0.526568521,0.031463358,34,115,0.001562500
Unshielded-Q,3101,2300,0.514655556,0.044642448,0.498822674,0.582264703,0.578661946,0.050888377,34,116,0.001562500
Unshielded-Q,3101,2400,0.493544444,0.042006864,0.523557487,0.606467010,0.520840499,0.030074644,34,116,0.000781250
Unshielded-Q,3101,2500,0.472433333,0.024285727,0.547986204,0.631825713,0.538669621,0.041731546,34,117,0.001562500
Unshielded-Q,3101,2600,0.451322222,0.031107849,0.480799870,0.564638615,0.509334318,0.031142445,34,117,0.002343750
Unshielded-Q,3101,2700,0.430211111,0.052698680,0.425380741,0.515455730,0.465697454,0.023109993,34,117,0.002343750
Unshielded-Q,3101,2800,0.409100000,0.032835689,0.553422851,0.636201139,0.481848839,0.026638558,34,117,0.001562500
Unshielded-Q,3101,2900,0.387988889,0.028686280,0.574922154,0.649876033,0.493615097,0.025540286,34,117,0.000781250
Unshielded-Q,3101,3000,0.366877778,0.049669323,0.526489688,0.606068098,0.524177829,0.028629615,34,117,0.000781250
Unshielded-Q,3101,3100,0.345766667,0.018133095,0.581611143,0.667971530,0.451532217,0.023548795,34,117,0.000781250
Unshielded-Q,3101,3200,0.324655556,0.017423094,0.508230290,0.597205297,0.448841770,0.024338415,34,117,0.000000000
Unshielded-Q,3101,3300,0.303544444,0.041379875,0.485846387,0.575006777,0.525193108,0.033195023,34,118,0.001562500
Unshielded-Q,3101,3400,0.282433333,0.035812952,0.494537852,0.576224625,0.458454624,0.034470043,34,119,0.001562500
Unshielded-Q,3101,3500,0.261322222,0.085725347,0.549271094,0.624778722,0.431692953,0.022241957,34,119,0.001562500
Unshielded-Q,3101,3600,0.240211111,0.034691128,0.551829808,0.627000185,0.449609803,0.017908275,34,119,0.000000000
Unshielded-Q,3101,3700,0.219100000,0.017866096,0.477860398,0.567539281,0.397975865,0.013449216,34,119,0.001562500
Unshielded-Q,3101,3800,0.197988889,0.025556070,0.494972226,0.590932600,0.395306197,0.015176939,34,119,0.000781250
Unshielded-Q,3101,3900,0.176877778,0.022837085,0.565710504,0.654838630,0.374777830,0.012191444,34,119,0.000000000
Unshielded-Q,3101,4000,0.155766667,0.012337778,0.550594792,0.626356600,0.413281253,0.013730448,34,119,0.000781250
Unshielded-Q,3101,4100,0.134655556,0.106181884,0.526488180,0.591961491,0.390689108,0.013271894,34,119,0.000781250
Unshielded-Q,3101,4200,0.113544444,0.019715560,0.530056205,0.593219399,0.398158324,0.011942297,34,119,0.000781250
Unshielded-Q,3101,4300,0.092433333,0.025320992,0.556521108,0.623927498,0.398722285,0.012061347,34,119,0.000000000
Unshielded-Q,3101,4400,0.071322222,0.023766724,0.553015057,0.618726176,0.386103548,0.009701810,34,119,0.000000000
Unshielded-Q,3101,4500,0.050211111,0.022253125,0.557061210,0.624028039,0.380490731,0.010688315,34,119,0.000000000
Unshielded-Q,3101,4600,0.050000000,0.010085729,0.535527183,0.598677636,0.359903101,0.008868744,34,119,0.000000000
Unshielded-Q,3101,4700,0.050000000,0.009761183,0.586057754,0.648789190,0.333981794,0.006552852,34,119,0.000000000
Unshielded-Q,3101,4800,0.050000000,0.009441502,0.529320360,0.592274985,0.363587416,0.006368260,34,119,0.000000000
Unshielded-Q,3101,4900,0.050000000,0.009821735,0.478103717,0.539862513,0.392752967,0.008358343,34,119,0.000000000
Unshielded-Q,3101,5000,0.050000000,0.009326330,0.546803066,0.611217033,0.344667178,0.006204046,34,119,0.000000000
Unshielded-Q,3101,5100,0.050000000,0.008916932,0.515745657,0.578500282,0.332418418,0.005064280,34,119,0.000000000
Unshielded-Q,3101,5200,0.050000000,0.008517516,0.528837131,0.590936810,0.358570782,0.005682371,34,119,0.000000000
Unshielded-Q,3101,5300,0.050000000,0.008476032,0.569384389,0.632547583,0.330590148,0.004980547,34,119,0.000000000
Unshielded-Q,3101,5400,0.050000000,0.027714195,0.540422043,0.603795684,0.369441860,0.005557359,34,119,0.000000000
Unshielded-Q,3101,5500,0.050000000,0.013126772,0.599857005,0.661384044,0.402869912,0.006853338,34,119,0.000000000
Unshielded-Q,3101,5600,0.050000000,0.007354966,0.630705281,0.692417701,0.445145798,0.006826943,34,119,0.000781250
Unshielded-Q,3101,5700,0.050000000,0.012337778,0.603139342,0.666325724,0.422338952,0.005681652,34,119,0.000000000
Unshielded-Q,3101,5800,0.050000000,0.006841341,0.562551584,0.625761154,0.411037086,0.005010612,34,119,0.000000000
Unshielded-Q,3101,5900,0.050000000,0.007554687,0.624967950,0.688518403,0.386043291,0.005313897,34,119,0.000000000
Unshielded-Q,3101,6000,0.050000000,0.007399514,0.506810138,0.576054561,0.436901317,0.007021992,34,119,0.000000000
Unshielded-Q,3102,100,0.979100000,0.225160006,0.414561618,0.504600608,1.025131915,0.348748937,13,40,0.007031250
Unshielded-Q,3102,200,0.957988889,0.084055278,0.481470569,0.575457067,0.739875140,0.171539103,13,44,0.003906250
Unshielded-Q,3102,300,0.936877778,0.089348483,0.530753762,0.622923536,0.666807213,0.122456129,15,49,0.007031250
Unshielded-Q,3102,400,0.915766667,0.500000000,0.374817755,0.466161439,0.653622247,0.151536582,26,86,0.012500000
Unshielded-Q,3102,500,0.894655556,0.182696677,0.483928596,0.577293659,0.720973838,0.183134039,28,93,0.013281250
Unshielded-Q,3102,600,0.873544444,0.182696677,0.528142192,0.617352067,0.771199319,0.160113202,28,95,0.003906250
Unshielded-Q,3102,700,0.852433333,0.135426976,0.492223305,0.583957150,0.750964873,0.131327388,30,98,0.003906250
Unshielded-Q,3102,800,0.831322222,0.122713300,0.424539897,0.519315860,0.657683164,0.085736183,30,98,0.003125000
Unshielded-Q,3102,900,0.810211111,0.152392396,0.461702746,0.556305617,0.619574826,0.074032292,30,98,0.002343750
Unshielded-Q,3102,1000,0.789100000,0.135426976,0.532260076,0.622842903,0.682452266,0.080832361,31,99,0.003125000
Unshielded-Q,3102,1100,0.767988889,0.069071825,0.462244455,0.552504878,0.667786666,0.068126912,31,99,0.000781250
Unshielded-Q,3102,1200,0.746877778,0.500000000,0.408800088,0.499766352,0.616849183,0.068405394,33,102,0.000781250
Unshielded-Q,3102,1300,0.725766667,0.111009778,0.505346927,0.602889379,0.576157973,0.057488131,34,103,0.003125000
Unshielded-Q,3102,1400,0.704655556,0.047413768,0.446860177,0.541688532,0.666271021,0.097907754,35,107,0.003125000
Unshielded-Q,3102,1500,0.683544444,0.120534855,0.471408870,0.564894272,0.509851594,0.043730128,35,107,0.003125000
Unshielded-Q,3102,1600,0.662433333,0.205268911,0.451978768,0.544111937,0.604641939,0.069411950,35,108,0.003906250
Unshielded-Q,3102,1700,0.641322222,0.064660232,0.425753814,0.516035320,0.523786486,0.057282848,35,110,0.003125000
Unshielded-Q,3102,1800,0.620211111,0.049870414,0.527673112,0.618179997,0.463316118,0.035427159,35,110,0.003125000
Unshielded-Q,3102,1900,0.599100000,0.032703730,0.532417691,0.623314042,0.495908750,0.048932354,35,111,0.004687500
Unshielded-Q,3102,2000,0.577988889,0.032379926,0.544294425,0.635598579,0.481013046,0.038129484,35,112,0.005468750
Unshielded-Q,3102,2100,0.556877778,0.037407722,0.515988301,0.606254648,0.471538932,0.049252224,35,113,0.003125000
Unshielded-Q,3102,2200,0.535766667,0.031636450,0.530226774,0.611898229,0.450409190,0.025301099,35,113,0.002343750
Unshielded-Q,3102,2300,0.514655556,0.028825987,0.501231850,0.581317507,0.495282214,0.031904861,35,113,0.000000000
Unshielded-Q,3102,2400,0.493544444,0.032444002,0.595535699,0.674722451,0.516070638,0.029228694,35,113,0.001562500
Unshielded-Q,3102,2500,0.472433333,0.051124255,0.400687422,0.491281060,0.534528864,0.049021642,36,115,0.001562500
Unshielded-Q,3102,2600,0.451322222,0.030768279,0.509501397,0.598502352,0.508802466,0.024700535,36,115,0.001562500
Unshielded-Q,3102,2700,0.430211111,0.033945031,0.447047676,0.536765493,0.448669389,0.025835649,36,115,0.001562500
Unshielded-Q,3102,2800,0.409100000,0.020299494,0.451353592,0.531019919,0.507106480,0.032485223,36,116,0.000000000
Unshielded-Q,3102,2900,0.387988889,0.030117820,0.475510659,0.550662020,0.479256780,0.024941971,36,116,0.000781250
Unshielded-Q,3102,3000,0.366877778,0.017698074,0.559042999,0.636540631,0.499226399,0.021960824,36,116,0.000000000
Unshielded-Q,3102,3100,0.345766667,0.021511729,0.512382859,0.597100065,0.448364666,0.019262513,36,116,0.000781250
Unshielded-Q,3102,3200,0.324655556,0.048506616,0.536384275,0.623094477,0.431661757,0.016503431,36,116,0.001562500
Unshielded-Q,3102,3300,0.303544444,0.035812952,0.534854077,0.618993480,0.446377975,0.016536354,36,116,0.000781250
Unshielded-Q,3102,3400,0.282433333,0.015498212,0.528990897,0.610729535,0.451072268,0.016835068,36,116,0.000781250
Unshielded-Q,3102,3500,0.261322222,0.014854871,0.540030826,0.613430630,0.481109865,0.033540293,36,117,0.000781250
Unshielded-Q,3102,3600,0.240211111,0.014108108,0.523974222,0.596055027,0.422782582,0.014158981,36,117,0.002343750
Unshielded-Q,3102,3700,0.219100000,0.024051362,0.545815548,0.630969256,0.438364035,0.014449370,36,117,0.000000000
Unshielded-Q,3102,3800,0.197988889,0.018354516,0.483992241,0.566390569,0.402718610,0.012849081,36,117,0.000000000
Unshielded-Q,3102,3900,0.176877778,0.076209004,0.486690166,0.570897829,0.424481598,0.012796471,36,117,0.000000000
Unshielded-Q,3102,4000,0.155766667,0.012461322,0.494483809,0.570220776,0.412035356,0.014472874,36,117,0.000000000
Unshielded-Q,3102,4100,0.134655556,0.072681477,0.496952953,0.566173650,0.399033318,0.012318813,36,117,0.000781250
Unshielded-Q,3102,4200,0.113544444,0.018539822,0.627264366,0.692252314,0.414078685,0.010368192,36,117,0.000000000
Unshielded-Q,3102,4300,0.092433333,0.028233322,0.490425641,0.573237701,0.437193697,0.011784226,36,117,0.001562500
Unshielded-Q,3102,4400,0.071322222,0.019715560,0.549571671,0.625368556,0.379703958,0.009097076,36,117,0.002343750
Unshielded-Q,3102,4500,0.050211111,0.052465843,0.525592420,0.597445326,0.381992281,0.009392490,36,117,0.000000000
Unshielded-Q,3102,4600,0.050000000,0.010169265,0.505914149,0.575802758,0.398770938,0.009490446,36,117,0.000000000
Unshielded-Q,3102,4700,0.050000000,0.009813780,0.594766102,0.661272510,0.416642255,0.008833569,36,117,0.000000000
Unshielded-Q,3102,4800,0.050000000,0.009455866,0.511848837,0.576976868,0.434728807,0.008578418,36,117,0.000000000
Unshielded-Q,3102,4900,0.050000000,0.009787387,0.543265491,0.615314225,0.358673726,0.007598157,36,117,0.000000000
Unshielded-Q,3102,5000,0.050000000,0.009417689,0.470346389,0.538234771,0.373743129,0.007761527,36,117,0.000000000
Unshielded-Q,3102,5100,0.050000000,0.009044460,0.557608927,0.628228736,0.364880295,0.006991519,36,117,0.000000000
Unshielded-Q,3102,5200,0.050000000,0.008664237,0.535258401,0.601337223,0.393446025,0.007109083,36,117,0.000000000
Unshielded-Q,3102,5300,0.050000000,0.008419201,0.562539228,0.625857924,0.417508001,0.016728376,36,118,0.000000000
Unshielded-Q,3102,5400,0.050000000,0.008182012,0.602771992,0.664530788,0.388784648,0.010822060,36,118,0.000000000
Unshielded-Q,3102,5500,0.050000000,0.018146725,0.483497029,0.552826503,0.391018043,0.005775653,36,118,0.000000000
Unshielded-Q,3102,5600,0.050000000,0.050697028,0.533616674,0.605647156,0.359699506,0.005723861,36,118,0.000000000
Unshielded-Q,3102,5700,0.050000000,0.007407009,0.512602245,0.583659861,0.367178491,0.006485244,36,118,0.000000000
Unshielded-Q,3102,5800,0.050000000,0.007581179,0.577058770,0.647470009,0.353823597,0.005453134,36,118,0.000000000
Unshielded-Q,3102,5900,0.050000000,0.012782512,0.569043806,0.633985917,0.370066668,0.006079580,36,118,0.000000000
Unshielded-Q,3102,6000,0.050000000,0.012537049,0.544972467,0.610451289,0.377663659,0.005602960,36,118,0.000000000
Unshielded-Q,3103,100,0.979100000,0.160941640,0.450049365,0.544901673,0.974538352,0.332637658,14,42,0.010937500
Unshielded-Q,3103,200,0.957988889,0.112753451,0.480575894,0.569830040,0.701645950,0.150304224,15,45,0.007812500
Unshielded-Q,3103,300,0.936877778,0.237227149,0.420039072,0.512114792,0.672851270,0.116845709,16,49,0.003906250
Unshielded-Q,3103,400,0.915766667,0.341278752,0.475566816,0.568794179,0.640733310,0.144532313,28,82,0.010156250
Unshielded-Q,3103,500,0.894655556,0.435275282,0.496019820,0.593040180,0.766449241,0.191573913,30,96,0.008593750
