policy,seed,window,epsilon,learning_rate,rolling_reward,rolling_utility,td_abs_mean,q_update_abs_mean,visited_states,visited_state_actions,greedy_policy_change_rate
Unshielded-Q,5101,100,0.979100000,0.500000000,0.492373553,0.589371750,0.892803191,0.282779389,13,39,0.007812500
Unshielded-Q,5101,200,0.957988889,0.138414549,0.576043303,0.673753052,0.825509632,0.164202828,14,43,0.001562500
Unshielded-Q,5101,300,0.936877778,0.500000000,0.416419183,0.512116163,0.661971760,0.110796076,14,45,0.006250000
Unshielded-Q,5101,400,0.915766667,0.311129489,0.458564656,0.555103979,0.691986131,0.166594581,25,80,0.012500000
Unshielded-Q,5101,500,0.894655556,0.160941640,0.378725975,0.478143149,0.816779230,0.196509589,28,90,0.010156250
Unshielded-Q,5101,600,0.873544444,0.122713300,0.509287071,0.606285832,0.774866689,0.158605158,28,95,0.005468750
Unshielded-Q,5101,700,0.852433333,0.065067757,0.453952531,0.550558683,0.717138134,0.140406991,29,101,0.009375000
Unshielded-Q,5101,800,0.831322222,0.065067757,0.467996844,0.567071919,0.687567842,0.112114859,31,103,0.007812500
Unshielded-Q,5101,900,0.810211111,0.051561219,0.450642899,0.551076115,0.664726009,0.112193097,31,106,0.008593750
Unshielded-Q,5101,1000,0.789100000,0.205268911,0.368156273,0.465386495,0.648373841,0.093228787,32,108,0.004687500
Unshielded-Q,5101,1100,0.767988889,0.058020477,0.476982371,0.573808961,0.587607939,0.082630989,32,111,0.003906250
Unshielded-Q,5101,1200,0.746877778,0.076209004,0.452324385,0.547250934,0.574170979,0.076671100,33,113,0.003906250
Unshielded-Q,5101,1300,0.725766667,0.044793607,0.482231040,0.579192547,0.546638732,0.064820385,33,113,0.001562500
Unshielded-Q,5101,1400,0.704655556,0.049669323,0.606313081,0.708963042,0.498490037,0.051943648,33,114,0.001562500
Unshielded-Q,5101,1500,0.683544444,0.064259443,0.524486260,0.625234789,0.502087434,0.048578629,33,115,0.000781250
Unshielded-Q,5101,1600,0.662433333,0.127403977,0.389273496,0.483055445,0.520536388,0.044003153,33,115,0.000000000
Unshielded-Q,5101,1700,0.641322222,0.141584591,0.590634670,0.683108279,0.498534299,0.034954810,33,115,0.001562500
Unshielded-Q,5101,1800,0.620211111,0.048886072,0.515188396,0.606024398,0.554854575,0.042901856,33,115,0.002343750
Unshielded-Q,5101,1900,0.599100000,0.039859966,0.467443506,0.568117179,0.509476278,0.035200520,33,115,0.001562500
Unshielded-Q,5101,2000,0.577988889,0.141584591,0.470149813,0.569856691,0.501855809,0.032295462,33,115,0.002343750
Unshielded-Q,5101,2100,0.556877778,0.030657269,0.494972610,0.595560833,0.532371756,0.044080467,33,117,0.002343750
Unshielded-Q,5101,2200,0.535766667,0.100541486,0.544023335,0.632617410,0.542721667,0.036583109,33,117,0.001562500
Unshielded-Q,5101,2300,0.514655556,0.031165421,0.462506208,0.552409803,0.548948141,0.040973006,33,117,0.002343750
Unshielded-Q,5101,2400,0.493544444,0.044793607,0.535615881,0.625523872,0.523881012,0.033588830,33,117,0.002343750
Unshielded-Q,5101,2500,0.472433333,0.077489880,0.525896854,0.626635821,0.467663504,0.027925952,33,117,0.002343750
Unshielded-Q,5101,2600,0.451322222,0.025254880,0.482757926,0.583311476,0.501219603,0.027584312,33,117,0.000781250
Unshielded-Q,5101,2700,0.430211111,0.036675989,0.489609930,0.587742271,0.488432844,0.025811413,33,117,0.000781250
Unshielded-Q,5101,2800,0.409100000,0.037037037,0.516172617,0.609236933,0.525515105,0.027179251,33,117,0.001562500
Unshielded-Q,5101,2900,0.387988889,0.051561219,0.500245704,0.592836982,0.512341239,0.024666628,33,117,0.001562500
Unshielded-Q,5101,3000,0.366877778,0.058948015,0.521051839,0.616832866,0.501709736,0.024449847,33,117,0.000781250
Unshielded-Q,5101,3100,0.345766667,0.017472242,0.473630926,0.575142200,0.508016926,0.025552072,33,117,0.000781250
Unshielded-Q,5101,3200,0.324655556,0.016871944,0.504595117,0.604129341,0.476912802,0.021195465,33,117,0.001562500
