global_order,run_id,status,start_utc,end_utc,output,failure_reason
1,pi3bplus_stress_v3_round_robin_s4101_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:38:47Z,2026-09-10T00:40:18Z,001_pi3bplus_stress_v3_round_robin_s4101_a1,
2,pi3bplus_stress_v3_unshielded_q_s4101_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:40:18Z,2026-09-10T00:41:49Z,002_pi3bplus_stress_v3_unshielded_q_s4101_a1,
3,pi3bplus_stress_v3_static_light_s4101_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:41:49Z,2026-09-10T00:43:20Z,003_pi3bplus_stress_v3_static_light_s4101_a1,
4,pi3bplus_stress_v3_threshold_s4101_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:43:20Z,2026-09-10T00:44:51Z,004_pi3bplus_stress_v3_threshold_s4101_a1,
5,pi3bplus_stress_v3_safe_greedy_s4101_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:44:51Z,2026-09-10T00:46:22Z,005_pi3bplus_stress_v3_safe_greedy_s4101_a1,
6,pi3bplus_stress_v3_fssql_r_s4101_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:46:22Z,2026-09-10T00:47:53Z,006_pi3bplus_stress_v3_fssql_r_s4101_a1,
7,pi3bplus_stress_v3_safe_greedy_s4102_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:47:53Z,2026-09-10T00:49:24Z,007_pi3bplus_stress_v3_safe_greedy_s4102_a1,
8,pi3bplus_stress_v3_threshold_s4102_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:49:24Z,2026-09-10T00:50:55Z,008_pi3bplus_stress_v3_threshold_s4102_a1,
9,pi3bplus_stress_v3_round_robin_s4102_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:50:55Z,2026-09-10T00:52:26Z,009_pi3bplus_stress_v3_round_robin_s4102_a1,
10,pi3bplus_stress_v3_fssql_r_s4102_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:52:26Z,2026-09-10T00:53:57Z,010_pi3bplus_stress_v3_fssql_r_s4102_a1,
11,pi3bplus_stress_v3_static_light_s4102_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:53:57Z,2026-09-10T00:55:28Z,011_pi3bplus_stress_v3_static_light_s4102_a1,
12,pi3bplus_stress_v3_unshielded_q_s4102_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:55:28Z,2026-09-10T00:56:59Z,012_pi3bplus_stress_v3_unshielded_q_s4102_a1,
13,pi3bplus_stress_v3_fssql_r_s4103_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:56:59Z,2026-09-10T00:58:29Z,013_pi3bplus_stress_v3_fssql_r_s4103_a1,
14,pi3bplus_stress_v3_round_robin_s4103_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T00:58:29Z,2026-09-10T01:00:00Z,014_pi3bplus_stress_v3_round_robin_s4103_a1,
