cell_run_id,accepted_attempt_id,execution_order,policy,condition,seed,tp,fp,fn,tn,precision,recall,f1,fpr,cumulative_reward,mean_reward,p50_e2e,p95_e2e,p99_e2e,max_e2e,mean_controller,p95_controller,p99_controller,mean_detector,switch_count,switch_rate,switch_cost,latency_violations,thermal_violations,safe_set_mean,mean_temperature,max_temperature,mean_power_W,peak_power_W,total_energy_J,total_energy_Wh,J_per_window,J_per_1000_records,J_per_correct_attack,action_composition
pi4b8_formal_01_static_light_n16_B0_s5101,pi4b8_formal_01_static_light_n16_B0_s5101,1,Static-Light,n16/B0,5101,381,57,13,149,0.8698630136986302,0.9670050761421319,0.9158653846153847,0.2766990291262136,324.0,0.54,4.249076489941217,5.077024654019623,7.390163741365538,16.4144629961811,4.410848455008818,5.077024654019623,7.390163741365538,0.6622790192583731,0,0.0,0.0,0,0,4.0,42.795735,46.738,3.506202586749921,4.463416759392,210.40817822138638,0.05844671617260733,0.35068029703564396,350.680297035644,0.5522524362766047,"{""lucid_revision"": 600}"
pi4b8_formal_02_static_light_n16_B2_s5101,pi4b8_formal_02_static_light_n16_B2_s5101,2,Static-Light,n16/B2,5101,382,49,9,160,0.8863109048723898,0.9769820971867008,0.9294403892944039,0.23444976076555024,333.0,0.555,5.019720993004739,13.917819551716093,21.965189208567605,48.92749199643731,6.773939710013413,13.917819551716093,21.965189208567605,0.9544886735966429,0,0.0,0.0,1,0,4.0,45.893055,50.147,3.5574941115680003,3.5574941115680003,213.50208504665807,0.05930613473518279,0.35583680841109677,355.83680841109674,0.5589059817975343,"{""lucid_revision"": 600}"
pi4b8_formal_03_threshold_n16_B1_s5101,pi4b8_formal_03_threshold_n16_B1_s5101,3,Threshold,n16/B1,5101,381,7,21,191,0.9819587628865979,0.9477611940298507,0.9645569620253164,0.03535353535353535,374.0,0.6233333333333333,5.4091779893497005,10.872299251786897,18.06437049963278,43.7037119991146,6.160616420044486,10.872299251786897,18.06437049963278,0.37529681164111633,2,0.0033333333333333335,0.0,1,0,4.0,49.073165,54.043,2.9704211831159997,2.9704211831159997,178.26246895061806,0.04951735248628279,0.2971041149176968,297.1041149176968,0.4678804959333807,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_04_safe_greedy_n16_B1_s5101,pi4b8_formal_04_safe_greedy_n16_B1_s5101,4,Safe-Greedy,n16/B1,5101,402,198,0,0,0.67,1.0,0.8023952095808384,1.0,204.0,0.34,3.8500004884554073,4.078542265051509,5.477827046706807,9.393953980179504,3.9316349000728223,4.078542265051509,5.477827046706807,0.43395476473961025,0,0.0,0.0,0,0,4.0,42.01734666666667,44.303,2.7501862087199997,2.7501862087199997,165.04039290789433,0.0458445535855262,0.2750673215131572,275.0673215131572,0.41054824106441373,"{""fisvdd_revision"": 600}"
pi4b8_formal_05_static_light_n16_B1_s5101,pi4b8_formal_05_static_light_n16_B1_s5101,5,Static-Light,n16/B1,5101,396,40,6,158,0.908256880733945,0.9850746268656716,0.9451073985680192,0.20202020202020202,356.0,0.5933333333333334,4.047062000609003,4.1742367058759555,5.276822320884093,9.505303984042257,4.09706360665344,4.1742367058759555,5.276822320884093,0.6180708919418976,0,0.0,0.0,0,0,4.0,40.23249166666667,42.355,2.7453186200340003,2.7453186200340003,164.74723475534643,0.045763120765374005,0.27457872459224403,274.57872459224404,0.41602837059430914,"{""lucid_revision"": 600}"
pi4b8_formal_06_fssql_r_n16_B0_s5101,pi4b8_formal_06_fssql_r_n16_B0_s5101,6,FSSQL-R,n16/B0,5101,393,46,1,160,0.8952164009111617,0.9974619289340102,0.943577430972389,0.22330097087378642,347.0,0.5783333333333334,4.005498019978404,4.159522108966485,5.618276931345461,8.092328003840521,4.05537171822895,4.159522108966485,5.618276931345461,0.5318745631666388,15,0.025,0.0,0,0,4.0,39.74955,41.381,3.1314691295759998,3.1314691295759998,187.91564259334157,0.052198789609261546,0.31319273765556926,313.19273765556926,0.47815685138254854,"{""oi_svdd_as_elm_revision"": 592, ""tinydl_revision"": 8}"
pi4b8_formal_07_threshold_n16_B2_s5101,pi4b8_formal_07_threshold_n16_B2_s5101,7,Threshold,n16/B2,5101,374,9,17,200,0.9765013054830287,0.9565217391304348,0.9664082687338501,0.0430622009569378,365.0,0.6083333333333333,3.7064109928905964,3.8386721091228537,4.933706815354526,9.109978011110798,3.751438732482105,3.8386721091228537,4.933706815354526,0.2869333512110946,2,0.0033333333333333335,0.0,0,0,4.0,39.450856666666674,41.381,2.7390647219699997,2.7390647219699997,164.35459454583588,0.04565405404050997,0.2739243242430598,273.9243242430598,0.43945078755571093,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_08_safe_greedy_n16_B0_s5101,pi4b8_formal_08_safe_greedy_n16_B0_s5101,8,Safe-Greedy,n16/B0,5101,394,206,0,0,0.6566666666666666,1.0,0.7927565392354123,1.0,188.0,0.31333333333333335,3.8569180032936856,3.9733398836688134,5.284921885177026,7.883351005148143,3.903597246632368,3.9733398836688134,5.284921885177026,0.42471363170382875,0,0.0,0.0,0,0,4.0,39.35995,41.381,2.7986614317479996,2.7986614317479996,167.9335224869983,0.046648200690832864,0.2798892041449972,279.88920414499717,0.42622721443400585,"{""fisvdd_revision"": 600}"
pi4b8_formal_09_threshold_n16_B0_s5101,pi4b8_formal_09_threshold_n16_B0_s5101,9,Threshold,n16/B0,5101,361,18,33,188,0.9525065963060686,0.916243654822335,0.9340232858990943,0.08737864077669903,343.0,0.5716666666666667,3.703540001879446,3.8521077411132865,4.993885846924968,9.057312010554597,3.7618084367810902,3.8521077411132865,4.993885846924968,0.28938929322369705,2,0.0033333333333333335,0.0,0,0,4.0,39.20329833333333,40.894,2.980976584464,2.980976584464,178.88955387495685,0.04969154274304357,0.2981492564582614,298.1492564582614,0.4955389304015425,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_10_fssql_r_n16_B2_s5101,pi4b8_formal_10_fssql_r_n16_B2_s5101,10,FSSQL-R,n16/B2,5101,389,38,2,171,0.9110070257611241,0.9948849104859335,0.9511002444987775,0.18181818181818182,351.0,0.585,4.028183000627905,4.172771508456208,5.034418415743858,5.6414619903080165,4.060864480416058,4.172771508456208,5.034418415743858,0.5313952666377494,21,0.035,0.0,0,0,4.0,39.159468333333336,40.894,2.738985947874,2.738985947874,164.3498276193197,0.04565272989425548,0.27391637936553287,273.91637936553286,0.4224931301267859,"{""oi_svdd_as_elm_revision"": 589, ""tinydl_revision"": 11}"
